Player,Salary,Year
Andrei Kirilenko,"$16,452,000 ",2010
Carlos Boozer,"$13,520,500 ",2010
Deron Williams,"$12,323,900 ",2010
Mehmet Okur,"$9,000,000 ",2010
Paul Millsap,"$7,692,932 ",2010
Kyle Korver,"$5,155,115 ",2010
C.J. Miles,"$3,700,000 ",2010
Ronnie Price,"$1,250,000 ",2010
Kosta Koufos,"$1,214,040 ",2010
Kyrylo Fesenko,"$870,000 ",2010
Wesley Matthews,"$457,588 ",2010
Sundiata Gaines,"$269,169 ",2010
Andrei Kirilenko,"$17,823,000 ",2011
Al Jefferson,"$13,000,000 ",2011
Mehmet Okur,"$9,945,000 ",2011
Devin Harris,"$8,981,000 ",2011
Paul Millsap,"$7,600,000 ",2011
Derrick Favors,"$4,133,280 ",2011
C.J. Miles,"$3,700,000 ",2011
Raja Bell,"$3,000,000 ",2011
Gordon Hayward,"$2,356,320 ",2011
Ronnie Price,"$1,380,000 ",2011
Earl Watson,"$1,229,255 ",2011
Francisco Elson,"$1,146,337 ",2011
Kyrylo Fesenko,"$1,087,500 ",2011
Jeremy Evans,"$473,604 ",2011
Al Jefferson,"$14,000,000 ",2012
Devin Harris,"$9,319,000 ",2012
Paul Millsap,"$8,103,435 ",2012
Derrick Favors,"$4,443,360 ",2012
Enes Kanter,"$4,133,280 ",2012
C.J. Miles,"$3,700,000 ",2012
Raja Bell,"$3,240,000 ",2012
Gordon Hayward,"$2,532,960 ",2012
Josh Howard,"$2,150,000 ",2012
Alec Burks,"$2,020,200 ",2012
Earl Watson,"$2,000,000 ",2012
Jeremy Evans,"$762,195 ",2012
DeMarre Carroll,"$544,331 ",2012
Al Jefferson,"$15,000,000 ",2013
Paul Millsap,"$8,603,633 ",2013
Mo Williams,"$8,500,000 ",2013
Marvin Williams,"$8,287,500 ",2013
Derrick Favors,"$4,753,320 ",2013
Enes Kanter,"$4,443,360 ",2013
Raja Bell,"$3,480,000 ",2013
Gordon Hayward,"$2,709,720 ",2013
Randy Foye,"$2,500,000 ",2013
Alec Burks,"$2,171,640 ",2013
Earl Watson,"$2,000,000 ",2013
Jeremy Evans,"$1,794,872 ",2013
Kevin Murphy,"$473,604 ",2013
Richard Jefferson,"$11,046,000 ",2014
Andris Biedrins,"$9,000,000 ",2014
Marvin Williams,"$7,500,000 ",2014
Derrick Favors,"$6,008,196 ",2014
Enes Kanter,"$4,505,280 ",2014
Brandon Rush,"$4,000,000 ",2014
Gordon Hayward,"$3,452,183 ",2014
Trey Burke,"$2,438,760 ",2014
Alec Burks,"$2,202,000 ",2014
Jeremy Evans,"$1,660,257 ",2014
John Lucas,"$1,600,000 ",2014
Rudy Gobert,"$1,078,800 ",2014
Erik Murphy,"$490,180 ",2014
Gordon Hayward,"$14,746,000 ",2015
Derrick Favors,"$12,833,333 ",2015
Kendrick Perkins,"$9,654,342 ",2015
Trevor Booker,"$5,000,000 ",2015
Dante Exum,"$3,615,000 ",2015
Alec Burks,"$3,034,356 ",2015
Trey Burke,"$2,548,560 ",2015
Jeremy Evans,"$1,794,871 ",2015
Rodney Hood,"$1,290,360 ",2015
