,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
4,Opponent,82.0,19805,3262,7188,0.454,1610,2152,0.748,1134,2792,3926,1728,1860,8134,1976,610,325,1579,,,,,,
5,Opponent/G,,241.5,39.8,87.7,0.454,19.6,26.2,0.748,13.8,34.0,47.9,21.1,22.7,99.2,1976,7.4,4.0,19.3,,,,,,
6,Lg Rank,,7,2,2,8.0,8,8,9.0,6,14,11,4,17,2,1976,2,4,11,,,,,,
7,Year/Year,,-0.4%,-0.0%,-0.8%,0.003,-0.7%,2.4%,-0.023,-8.2%,3.6%,-0.1%,-1.0%,-3.7%,-0.2%,1976,-14.2%,17.3%,-2.4%,,,,,,
0,Team,82.0,19780,3451,7688,0.449,1468,1993,0.737,1312,2563,3875,1845,1951,8370,1977,579,472,1356,,,,,,
1,Team/G,,241.2,42.1,93.8,0.449,17.9,24.3,0.737,16.0,31.3,47.3,22.5,23.8,102.1,1977,7.1,5.8,16.5,,,,,,
2,Lg Rank,,6,15,7,20.0,20,20,17.0,3,15,11,20,5,20,1977,21,5,1,,,,,,
3,Year/Year,,-0.1%,-1.3%,-0.3%,-0.005,9.1%,9.1%,-0.0,10.1%,-1.0%,2.5%,0.1%,4.3%,0.4%,1977,-9.2%,18.9%,2.0%,,,,,,
4,Opponent,82.0,19780,3265,7268,0.449,1748,2325,0.752,1202,2711,3913,1736,1908,8278,1977,660,389,1542,,,,,,
5,Opponent/G,,241.2,39.8,88.6,0.449,21.3,28.4,0.752,14.7,33.1,47.7,21.2,23.3,101.0,1977,8.0,4.7,18.8,,,,,,
6,Lg Rank,,6,1,6,1.0,13,12,10.0,11,15,15,1,20,2,1977,2,8,19,,,,,,
7,Year/Year,,-0.1%,0.1%,1.1%,-0.005,8.6%,8.0%,0.004,6.0%,-2.9%,-0.3%,0.5%,2.6%,1.8%,1977,8.2%,19.7%,-2.3%,,,,,,
0,Team,82.0,19880,3496,7707,0.454,1569,2116,0.741,1187,2676,3863,1740,1832,8561,1978,692,455,1382,,,,,,
1,Team/G,,242.4,42.6,94.0,0.454,19.1,25.8,0.741,14.5,32.6,47.1,21.2,22.3,104.4,1978,8.4,5.5,16.9,,,,,,
2,Lg Rank,,4,17,10,19.0,20,19,16.0,13,8,11,22,1,19,1978,16,7,2,,,,,,
3,Year/Year,,0.5%,1.3%,0.2%,0.005,6.9%,6.2%,0.005,-9.5%,4.4%,-0.3%,-5.7%,-6.1%,2.3%,1978,19.5%,-3.6%,1.9%,,,,,,
4,Opponent,82.0,19880,3474,7620,0.456,1574,2113,0.745,1214,2779,3993,1915,1952,8522,1978,690,446,1475,,,,,,
5,Opponent/G,,242.4,42.4,92.9,0.456,19.2,25.8,0.745,14.8,33.9,48.7,23.4,23.8,103.9,1978,8.4,5.4,18.0,,,,,,
6,Lg Rank,,4,5,9,2.0,5,5,5.0,11,19,19,3,19,4,1978,2,15,19,,,,,,
7,Year/Year,,0.5%,6.4%,4.8%,0.007,-10.0%,-9.1%,-0.007,1.0%,2.5%,2.0%,10.3%,2.3%,2.9%,1978,4.5%,14.7%,-4.3%,,,,,,
0,Team,82.0,19680,3556,7602,0.468,1620,2103,0.77,1229,2256,3485,1796,2027,8732,1979,688,334,1376,,,,,,
1,Team/G,,240.0,43.4,92.7,0.468,19.8,25.6,0.77,15.0,27.5,42.5,21.9,24.7,106.5,1979,8.4,4.1,16.8,,,,,,
2,Lg Rank,,21,14,7,21.0,17,19,4.0,11,22,21,21,10,20,1979,17,19,1,,,,,,
3,Year/Year,,-1.0%,1.7%,-1.4%,0.014,3.3%,-0.6%,0.029,3.5%,-15.7%,-9.8%,3.2%,10.6%,2.0%,1979,-0.6%,-26.6%,-0.4%,,,,,,
4,Opponent,82.0,19680,3600,7150,0.503,1837,2423,0.758,1123,2587,3710,2062,2001,9037,1979,658,503,1557,,,,,,
5,Opponent/G,,240.0,43.9,87.2,0.503,22.4,29.5,0.758,13.7,31.5,45.2,25.1,24.4,110.2,1979,8.0,6.1,19.0,,,,,,
6,Lg Rank,,21,9,4,21.0,16,17,17.0,4,18,13,6,17,10,1979,3,18,15,,,,,,
7,Year/Year,,-1.0%,3.6%,-6.2%,0.048,16.7%,14.7%,0.013,-7.5%,-6.9%,-7.1%,7.7%,2.5%,6.0%,1979,-4.6%,12.8%,5.6%,,,,,,
0,Team,82.0,19930,3811,8041,0.474,1702,2205,0.772,1307,2381,3688,2108,1934,9360,1980,764,342,1370,36.0,187.0,0.193,3775,7854,0.481
1,Team/G,,243.0,46.5,98.1,0.474,20.8,26.9,0.772,15.9,29.0,45.0,25.7,23.6,114.1,1980,9.3,4.2,16.7,0.4,2.3,0.193,46.0,95.8,0.481
2,Lg Rank,,1,3,1,15.0,12,14,8.0,7,17,10,13,9,3,1980,15,18,1,16.0,14.0,21.0,3,1,17.0
3,Year/Year,,1.3%,7.2%,5.8%,0.006,5.1%,4.9%,0.002,6.3%,5.5%,5.8%,17.4%,-4.6%,7.2%,1980,11.0%,2.4%,-0.4%,,,,6.2%,3.3%,0.013
4,Opponent,82.0,19930,3811,7610,0.501,1645,2150,0.765,1230,2638,3868,2208,2033,9332,1980,708,490,1667,65.0,223.0,0.291,3746,7387,0.507
5,Opponent/G,,243.0,46.5,92.8,0.501,20.1,26.2,0.765,15.0,32.2,47.2,26.9,24.8,113.8,1980,8.6,6.0,20.3,0.8,2.7,0.291,45.7,90.1,0.507
6,Lg Rank,,1,20,18,22.0,6,6,14.0,12,20,18,16,11,19,1980,4,18,5,13.0,14.0,16.0,20,18,21.0
7,Year/Year,,1.3%,5.9%,6.4%,-0.003,-10.5%,-11.3%,0.007,9.5%,2.0%,4.3%,7.1%,1.6%,3.3%,1980,7.6%,-2.6%,7.1%,,,,4.1%,3.3%,0.004
0,Team,82.0,19780,3556,7609,0.467,1486,1909,0.778,1258,2243,3501,2007,1995,8670,1981,632,322,1396,72,249,0.289,3484,7360,0.473
1,Team/G,,241.2,43.4,92.8,0.467,18.1,23.3,0.778,15.3,27.4,42.7,24.5,24.3,105.7,1981,7.7,3.9,17.0,0.9,3.0,0.289,42.5,89.8,0.473
2,Lg Rank,,11,12,2,21.0,23,23,2.0,6,18,15,16,7,17,1981,20,19,1,2,2,3.0,12,3,20.0
3,Year/Year,,-0.8%,-6.7%,-5.4%,-0.007,-12.7%,-13.4%,0.007,-3.7%,-5.8%,-5.1%,-4.8%,3.2%,-7.4%,1981,-17.3%,-5.8%,1.9%,100.0%,33.2%,0.097,-7.7%,-6.3%,-0.007
4,Opponent,82.0,19780,3608,7174,0.503,1800,2395,0.752,1158,2499,3657,2166,1956,9068,1981,681,454,1474,52,168,0.31,3556,7006,0.508
5,Opponent/G,,241.2,44.0,87.5,0.503,22.0,29.2,0.752,14.1,30.5,44.6,26.4,23.9,110.6,1981,8.3,5.5,18.0,0.6,2.0,0.31,43.4,85.4,0.508
6,Lg Rank,,11,18,10,17.0,13,14,14.0,9,19,19,18,19,20,1981,2,16,14,21,13,22.0,18,10,17.0
7,Year/Year,,-0.8%,-5.3%,-5.7%,0.002,9.4%,11.4%,-0.014,-5.9%,-5.3%,-5.5%,-1.9%,-3.8%,-2.8%,1981,-3.8%,-7.3%,-11.6%,-20.0%,-24.7%,0.018,-5.1%,-5.2%,0.0
0,Team,82.0,19805,3405,7334,0.464,1628,2179,0.747,1190,2170,3360,1871,2193,8463,1982,634,357,1319,25,137,0.182,3380,7197,0.47
1,Team/G,,241.5,41.5,89.4,0.464,19.9,26.6,0.747,14.5,26.5,41.0,22.8,26.7,103.2,1982,7.7,4.4,16.1,0.3,1.7,0.182,41.2,87.8,0.47
2,Lg Rank,,13,18,8,23.0,17,17,10.0,9,23,22,21,13,21,1982,19,19,3,21,19,22.0,18,5,23.0
3,Year/Year,,0.1%,-4.2%,-3.6%,-0.003,9.6%,14.1%,-0.031,-5.4%,-3.3%,-4.0%,-6.8%,9.9%,-2.4%,1982,0.3%,10.9%,-5.5%,-65.3%,-45.0%,-0.107,-3.0%,-2.2%,-0.004
4,Opponent,82.0,19805,3608,7044,0.512,1906,2529,0.754,1125,2529,3654,2169,2071,9161,1982,655,480,1405,39,131,0.298,3569,6913,0.516
5,Opponent/G,,241.5,44.0,85.9,0.512,23.2,30.8,0.754,13.7,30.8,44.6,26.5,25.3,111.7,1982,8.0,5.9,17.1,0.5,1.6,0.298,43.5,84.3,0.516
6,Lg Rank,,13,16,6,21.0,20,20,16.0,5,20,18,20,16,19,1982,5,17,14,4,1,18.0,16,9,21.0
