Player,Salary,Year
Donte Greene,"$971,160 ",2009
Will Solomon,"$711,517 ",2009
Larry Hughes,"$13,655,268 ",2010
Kenny Thomas,"$8,775,000 ",2010
Andres Nocioni,"$7,500,000 ",2010
Shareef Abdur-Rahim,"$6,600,000 ",2010
Beno Udrih,"$6,031,800 ",2010
Francisco Garcia,"$5,800,000 ",2010
Tyreke Evans,"$3,610,080 ",2010
Carl Landry,"$3,000,000 ",2010
Spencer Hawes,"$2,332,800 ",2010
Jason Thompson,"$2,035,920 ",2010
Mikki Moore,"$2,000,000 ",2010
Omri Casspi,"$1,167,000 ",2010
Donte Greene,"$1,044,000 ",2010
Sean May,"$884,881 ",2010
Joey Dorsey,"$881,000 ",2010
Ime Udoka,"$838,034 ",2010
Dominic McGuire,"$825,497 ",2010
Jon Brockman,"$457,588 ",2010
Desmond Mason,"$76,850 ",2010
Samuel Dalembert,"$13,428,129 ",2011
Beno Udrih,"$6,478,600 ",2011
Francisco Garcia,"$5,500,000 ",2011
Tyreke Evans,"$3,880,920 ",2011
DeMarcus Cousins,"$3,374,640 ",2011
Marquis Daniels,"$2,470,000 ",2011
Jason Thompson,"$2,178,000 ",2011
Omri Casspi,"$1,254,480 ",2011
Donte Greene,"$1,116,840 ",2011
Luther Head,"$992,680 ",2011
Antoine Wright,"$992,680 ",2011
Darnell Jackson,"$854,389 ",2011
Jermaine Taylor,"$780,871 ",2011
Marcus Thornton,"$762,195 ",2011
Hassan Whiteside,"$730,437 ",2011
Eugene Jeter,"$473,604 ",2011
John Salmons,"$8,500,000 ",2012
Marcus Thornton,"$7,000,000 ",2012
Francisco Garcia,"$5,800,000 ",2012
Chuck Hayes,"$5,250,000 ",2012
Tyreke Evans,"$4,151,640 ",2012
DeMarcus Cousins,"$3,627,720 ",2012
Jason Thompson,"$3,001,284 ",2012
Travis Outlaw,"$3,000,000 ",2012
J.J. Hickson,"$2,354,537 ",2012
Jimmer Fredette,"$2,238,360 ",2012
Donte Greene,"$2,015,896 ",2012
Tyler Honeycutt,"$775,000 ",2012
Hassan Whiteside,"$762,195 ",2012
Isaiah Thomas,"$473,604 ",2012
John Salmons,"$8,083,000 ",2013
Marcus Thornton,"$7,525,000 ",2013
Chuck Hayes,"$5,486,250 ",2013
