,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
4,Opponent,84.0,20360,3718,8183,0.454,104,369,0.282,3614,7814,0.463,1726,2298,0.751,1617,2719,4336,1918,1345,2180,9266,1972,,
5,Opponent/G,,242.4,44.3,97.4,0.454,1.2,4.4,0.282,43.0,93.0,0.463,20.5,27.4,0.751,19.3,32.4,51.6,22.8,16.0,26.0,110.3,1972,,
6,Lg Rank,,5,8,8,6.0,1,1,3.0,8,9,5.0,2,2,3.0,9,1,4,10,11,3,3,1972,,
7,Year/Year,,0.0%,-1.3%,-3.3%,0.009,-11.9%,-10.4%,-0.005,-1.0%,-2.9%,0.009,-6.6%,-7.7%,0.009,,,-6.8%,-1.8%,-12.4%,2.0%,-2.5%,1972,,
0,Team,84.0,20360,3668,7948,0.461,172,551,0.312,3496,7397,0.473,2123,2874,0.739,1612,2941,4553,1860,1609,2056,9631,1973,,
1,Team/G,,242.4,43.7,94.6,0.461,2.0,6.6,0.312,41.6,88.1,0.473,25.3,34.2,0.739,19.2,35.0,54.2,22.1,19.2,24.5,114.7,1973,,
2,Lg Rank,,1,4,2,7.0,1,1,3.0,6,6,7.0,4,3,6.0,1,1,1,10,7,2,3,1973,,
3,Year/Year,,0.0%,1.9%,1.8%,0.0,-21.8%,-26.5%,0.019,3.4%,4.8%,-0.007,2.8%,4.3%,-0.011,2.4%,-2.1%,-0.5%,7.5%,5.6%,7.8%,1.5%,1973,,
4,Opponent,84.0,20360,3741,8207,0.456,78,284,0.275,3663,7923,0.462,1891,2547,0.742,1647,2697,4344,2033,1538,2255,9451,1973,,
5,Opponent/G,,242.4,44.5,97.7,0.456,0.9,3.4,0.275,43.6,94.3,0.462,22.5,30.3,0.742,19.6,32.1,51.7,24.2,18.3,26.8,112.5,1973,,
6,Lg Rank,,1,8,10,2.0,1,2,4.0,9,10,2.0,2,2,3.0,10,6,10,6,7,3,6,1973,,
7,Year/Year,,0.0%,0.6%,0.3%,0.001,-25.0%,-23.0%,-0.007,1.4%,1.4%,-0.0,9.6%,10.8%,-0.009,1.9%,-0.8%,0.2%,6.0%,14.3%,3.4%,2.0%,1973,,
0,Team,84.0,20360,3546,7886,0.45,171,543,0.315,3375,7343,0.46,1625,2242,0.725,1474,2896,4370,1825,1554,1926,8888,1974,735.0,459.0
1,Team/G,,242.4,42.2,93.9,0.45,2.0,6.5,0.315,40.2,87.4,0.46,19.3,26.7,0.725,17.5,34.5,52.0,21.7,18.5,22.9,105.8,1974,8.8,5.5
2,Lg Rank,,1,7,5,8.0,2,2,3.0,7,6,7.0,4,4,10.0,2,2,2,8,7,3,7,1974,3.0,4.0
3,Year/Year,,0.0%,-3.3%,-0.8%,-0.012,-0.6%,-1.5%,0.003,-3.5%,-0.7%,-0.013,-23.5%,-22.0%,-0.014,-8.6%,-1.5%,-4.0%,-1.9%,-3.4%,-6.3%,-7.7%,1974,,
4,Opponent,84.0,20360,3606,8069,0.447,80,332,0.241,3526,7737,0.456,1524,2031,0.75,1468,2788,4256,1853,1473,2036,8816,1974,652.0,447.0
5,Opponent/G,,242.4,42.9,96.1,0.447,1.0,4.0,0.241,42.0,92.1,0.456,18.1,24.2,0.75,17.5,33.2,50.7,22.1,17.5,24.2,105.0,1974,7.8,5.3
6,Lg Rank,,1,7,9,3.0,2,3,1.0,7,9,3.0,4,4,2.0,9,8,9,5,5,4,5,1974,3.0,8.0
7,Year/Year,,0.0%,-3.6%,-1.7%,-0.009,2.6%,16.9%,-0.034,-3.7%,-2.3%,-0.007,-19.4%,-20.3%,0.008,-10.9%,3.4%,-2.0%,-8.9%,-4.2%,-9.7%,-6.7%,1974,,
0,Team,84.0,20260,3891,8365,0.465,224,718,0.312,3667,7647,0.48,1465,1969,0.744,1673,2565,4238,1927,1543,1946,9471,1975,890,413
1,Team/G,,241.2,46.3,99.6,0.465,2.7,8.5,0.312,43.7,91.0,0.48,17.4,23.4,0.744,19.9,30.5,50.5,22.9,18.4,23.2,112.8,1975,10.6,4.9
2,Lg Rank,,7,2,1,7.0,1,1,3.0,7,6,6.0,8,7,7.0,1,7,4,7,5,4,3,1975,3,5
3,Year/Year,,-0.5%,9.7%,6.1%,0.015,31.0%,32.2%,-0.003,8.7%,4.1%,0.02,-9.8%,-12.2%,0.019,13.5%,-11.4%,-3.0%,5.6%,-0.7%,1.0%,6.6%,1975,21.1%,-10.0%
4,Opponent,84.0,20260,3831,7848,0.488,75,262,0.286,3756,7586,0.495,1644,2127,0.773,1448,2746,4194,2055,1716,1906,9381,1975,684,414
5,Opponent/G,,241.2,45.6,93.4,0.488,0.9,3.1,0.286,44.7,90.3,0.495,19.6,25.3,0.773,17.2,32.7,49.9,24.5,20.4,22.7,111.7,1975,8.1,4.9
6,Lg Rank,,7,8,6,8.0,4,4,4.0,8,7,8.0,7,5,9.0,8,8,8,5,2,7,8,1975,2,7
7,Year/Year,,-0.5%,6.2%,-2.7%,0.041,-6.2%,-21.1%,0.045,6.5%,-2.0%,0.039,7.9%,4.7%,0.023,-1.4%,-1.5%,-1.5%,10.9%,16.5%,-6.4%,6.4%,1975,4.9%,-7.4%
0,Team,84.0,20335,3735,8525,0.438,250,771,0.324,3485,7754,0.449,1740,2253,0.772,1612,2740,4352,2087,1452,1981,9460,1976,941,459
1,Team/G,,242.1,44.5,101.5,0.438,3.0,9.2,0.324,41.5,92.3,0.449,20.7,26.8,0.772,19.2,32.6,51.8,24.8,17.3,23.6,112.6,1976,11.2,5.5
2,Lg Rank,,4,7,1,7.0,1,1,2.0,7,5,7.0,6,7,5.0,1,6,2,3,1,2,4,1976,1,7
3,Year/Year,,0.4%,-4.0%,1.9%,-0.027,11.6%,7.4%,0.012,-5.0%,1.4%,-0.03,18.8%,14.4%,0.028,-3.6%,6.8%,2.7%,8.3%,-5.9%,1.8%,-0.1%,1976,5.7%,11.1%
