,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Team/G,,244.0,38.1,83.5,0.456,4.1,11.5,0.354,34.1,72.1,0.473,23.3,30.2,0.771,13.8,29.1,42.9,20.6,7.4,4.3,15.7,24.5,103.6,1993
2,Lg Rank,,1,26,22,24.0,4,5,8.0,27,25,22.0,2,5,6.0,15,15,14,26,24,23,11,20,20,1993
3,Year/Year,,0.9%,-4.0%,-3.0%,-0.005,29.6%,25.2%,0.012,-6.8%,-6.3%,-0.003,3.8%,6.3%,-0.019,-4.5%,0.8%,-1.0%,-3.5%,-9.1%,-6.2%,-6.5%,10.6%,-1.3%,1993
4,Opponent,82.0,20005,3232,6791,0.476,265,781,0.339,2967,6010,0.494,1860,2416,0.77,1032,2424,3456,1965,656,426,1304,2053,8589,1993
5,Opponent/G,,244.0,39.4,82.8,0.476,3.2,9.5,0.339,36.2,73.3,0.494,22.7,29.5,0.77,12.6,29.6,42.1,24.0,8.0,5.2,15.9,25.0,104.7,1993
6,Lg Rank,,1,5,5,16.0,18,19,16.0,4,4,16.0,21,19,24.0,3,19,9,8,10,15,13,2,12,1993
7,Year/Year,,0.9%,-8.4%,-5.1%,-0.017,26.2%,28.9%,-0.007,-10.6%,-8.3%,-0.013,10.4%,7.8%,0.018,-9.0%,0.4%,-2.6%,-5.1%,-10.3%,-4.7%,-0.9%,4.3%,-4.1%,1993
0,Team,82.0,19805,3197,6896,0.464,337,997,0.338,2860,5899,0.485,1744,2223,0.785,1235,2407,3642,1856,643,374,1315,2024,8475,1994
1,Team/G,,241.5,39.0,84.1,0.464,4.1,12.2,0.338,34.9,71.9,0.485,21.3,27.1,0.785,15.1,29.4,44.4,22.6,7.8,4.6,16.0,24.7,103.4,1994
2,Lg Rank,,6,13,14,16.0,5,6,12.0,19,22,14.0,7,13,1.0,6,12,8,22,24,20,14,27,7,1994
3,Year/Year,,-1.0%,2.2%,0.7%,0.007,1.2%,6.1%,-0.016,2.4%,-0.2%,0.012,-8.6%,-10.2%,0.014,8.9%,1.0%,3.5%,10.0%,5.6%,6.9%,2.2%,0.6%,-0.2%,1994
4,Opponent,82.0,19805,3036,6641,0.457,295,892,0.331,2741,5749,0.477,1889,2527,0.748,1074,2266,3340,1821,689,438,1314,1946,8256,1994
5,Opponent/G,,241.5,37.0,81.0,0.457,3.6,10.9,0.331,33.4,70.1,0.477,23.0,30.8,0.748,13.1,27.6,40.7,22.2,8.4,5.3,16.0,23.7,100.7,1994
6,Lg Rank,,6,6,7,9.0,21,24,11.0,5,4,11.0,27,27,24.0,5,7,7,6,10,17,14,3,11,1994
7,Year/Year,,-1.0%,-6.1%,-2.2%,-0.019,11.3%,14.2%,-0.009,-7.6%,-4.3%,-0.017,1.6%,4.6%,-0.022,4.1%,-6.5%,-3.4%,-7.3%,5.0%,2.8%,0.8%,-5.2%,-3.9%,1994
0,Team,82.0,19805,3144,6738,0.467,436,1182,0.369,2708,5556,0.487,1569,2133,0.736,1092,2272,3364,1779,662,298,1291,2000,8293,1995
1,Team/G,,241.5,38.3,82.2,0.467,5.3,14.4,0.369,33.0,67.8,0.487,19.1,26.0,0.736,13.3,27.7,41.0,21.7,8.1,3.6,15.7,24.4,101.1,1995
2,Lg Rank,,17,14,11,14.0,14,17,10.0,13,8,16.0,16,16,15.0,11,19,16,22,14,27,9,18,14,1995
3,Year/Year,,0.0%,-1.7%,-2.3%,0.003,29.4%,18.6%,0.031,-5.3%,-5.8%,0.003,-10.0%,-4.0%,-0.049,-11.6%,-5.6%,-7.6%,-4.1%,3.0%,-20.3%,-1.8%,-1.2%,-2.1%,1995
4,Opponent,82.0,19805,3092,6566,0.471,511,1417,0.361,2581,5149,0.501,1732,2340,0.74,1036,2355,3391,1860,656,385,1332,1896,8427,1995
5,Opponent/G,,241.5,37.7,80.1,0.471,6.2,17.3,0.361,31.5,62.8,0.501,21.1,28.5,0.74,12.6,28.7,41.4,22.7,8.0,4.7,16.2,23.1,102.8,1995
6,Lg Rank,,17,13,12,18.0,24,24,14.0,8,5,20.0,18,19,16.0,8,16,12,12,12,7,11,18,16,1995
7,Year/Year,,0.0%,1.8%,-1.1%,0.014,73.2%,58.9%,0.03,-5.8%,-10.4%,0.024,-8.3%,-7.4%,-0.007,-3.5%,3.9%,1.5%,2.1%,-4.8%,-12.1%,1.4%,-2.6%,2.1%,1995
0,Team,82.0,19780,2902,6348,0.457,552,1458,0.379,2350,4890,0.481,1553,2187,0.71,999,2495,3494,1752,574,439,1394,2158,7909,1996
1,Team/G,,241.2,35.4,77.4,0.457,6.7,17.8,0.379,28.7,59.6,0.481,18.9,26.7,0.71,12.2,30.4,42.6,21.4,7.0,5.4,17.0,26.3,96.5,1996
2,Lg Rank,,17,24,26,21.0,8,8,7.0,26,25,18.0,16,15,26.0,14,5,8,23,27,10,24,29,23,1996
3,Year/Year,,-0.1%,-7.7%,-5.8%,-0.009,26.6%,23.4%,0.01,-13.2%,-12.0%,-0.007,-1.0%,2.5%,-0.025,-8.5%,9.8%,3.9%,-1.5%,-13.3%,47.3%,8.0%,7.9%,-4.6%,1996
4,Opponent,82.0,19780,2734,6303,0.434,446,1237,0.361,2288,5066,0.452,1878,2498,0.752,982,2315,3297,1645,662,403,1288,2031,7792,1996
5,Opponent/G,,241.2,33.3,76.9,0.434,5.4,15.1,0.361,27.9,61.8,0.452,22.9,30.5,0.752,12.0,28.2,40.2,20.1,8.1,4.9,15.7,24.8,95.0,1996
6,Lg Rank,,17,2,4,1.0,8,9,11.0,3,6,1.0,28,28,26.0,8,12,7,3,14,14,15,2,5,1996
7,Year/Year,,-0.1%,-11.6%,-4.0%,-0.037,-12.7%,-12.7%,-0.0,-11.4%,-1.6%,-0.05,8.4%,6.8%,0.012,-5.2%,-1.7%,-2.8%,-11.6%,0.9%,4.7%,-3.3%,7.1%,-7.5%,1996
0,Team,82.0,19805,2822,6235,0.453,678,1865,0.364,2144,4370,0.491,1454,2022,0.719,957,2402,3359,1735,650,439,1306,1919,7776,1997
1,Team/G,,241.5,34.4,76.0,0.453,8.3,22.7,0.364,26.1,53.3,0.491,17.7,24.7,0.719,11.7,29.3,41.0,21.2,7.9,5.4,15.9,23.4,94.8,1997
