,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
2,Lg Rank,,20,27,26,19.0,24,25,17.0,23,18,22.0,3,9,2.0,26,21,25,17,26,12,27,26,26,1994
3,Year/Year,,-0.6%,-1.9%,0.1%,-0.009,10.2%,-2.1%,0.037,-2.6%,0.3%,-0.014,-0.9%,2.5%,-0.027,5.3%,6.3%,6.0%,-1.7%,-7.6%,-3.3%,3.9%,-0.6%,-1.4%,1994
4,Opponent,82.0,19730,3244,6874,0.472,227,738,0.308,3017,6136,0.492,1783,2451,0.727,1102,2296,3398,2108,824,549,1164,1855,8498,1994
5,Opponent/G,,240.6,39.6,83.8,0.472,2.8,9.0,0.308,36.8,74.8,0.492,21.7,29.9,0.727,13.4,28.0,41.4,25.7,10.0,6.7,14.2,22.6,103.6,1994
6,Lg Rank,,20,13,10,17.0,2,7,5.0,17,13,19.0,24,24,9.0,12,8,9,20,24,26,26,12,16,1994
7,Year/Year,,-0.6%,-2.4%,0.9%,-0.016,9.1%,27.7%,-0.052,-3.1%,-1.6%,-0.008,-2.6%,1.6%,-0.031,-1.8%,-1.5%,-1.6%,-1.7%,12.3%,11.1%,-5.4%,-1.1%,-2.1%,1994
0,Team,82.0,19780,2792,6219,0.449,318,1016,0.313,2474,5203,0.475,1824,2355,0.775,883,2090,2973,1780,609,402,1400,2074,7726,1995
1,Team/G,,241.2,34.0,75.8,0.449,3.9,12.4,0.313,30.2,63.5,0.475,22.2,28.7,0.775,10.8,25.5,36.3,21.7,7.4,4.9,17.1,25.3,94.2,1995
2,Lg Rank,,21,26,27,21.0,26,23,27.0,24,23,21.0,4,7,3.0,24,26,27,21,24,14,25,24,26,1995
3,Year/Year,,0.3%,-6.5%,-4.8%,-0.008,73.8%,82.4%,-0.016,-11.7%,-13.0%,0.007,2.6%,2.3%,0.003,-10.8%,-10.8%,-10.8%,-9.5%,1.5%,-8.6%,-5.3%,2.9%,-2.6%,1995
4,Opponent,82.0,19780,3088,6509,0.474,468,1243,0.377,2620,5266,0.498,1820,2491,0.731,1169,2305,3474,2069,703,512,1323,1982,8464,1995
