,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
5,Opponent/G,,241.9,,,,,,,,,,,,119.5,1967,,,,,,,,,
6,Lg Rank,,2,,,,,,,,,,,,8,1967,,,,,,,,,
7,Year/Year,,0.6%,,,,,,,,,,,,1.1%,1967,,,,,,,,,
0,Team,82.0,19805,3632,8587,0.423,2334,3153,0.74,,,6029,1901,2265,9598,1968,,,,,,,,,
1,Team/G,,241.5,44.3,104.7,0.423,28.5,38.5,0.74,,,73.5,23.2,27.6,117.0,1968,,,,,,,,,
2,Lg Rank,,4,9,2,11.0,1,2,3.0,,,1,7,10,6,1968,,,,,,,,,
3,Year/Year,,-0.1%,-5.9%,-3.8%,-0.01,1.0%,3.1%,-0.015,,,-0.3%,0.1%,5.5%,-4.3%,1968,,,,,,,,,
4,Opponent,82.0,19805,,,,,,,,,,,,9647,1968,,,,,,,,,
5,Opponent/G,,241.5,,,,,,,,,,,,117.6,1968,,,,,,,,,
6,Lg Rank,,4,,,,,,,,,,,,8,1968,,,,,,,,,
7,Year/Year,,-0.1%,,,,,,,,,,,,-1.5%,1968,,,,,,,,,
0,Team,82.0,19905,3414,8218,0.415,2119,2949,0.719,,,5109,1822,2087,8947,1969,,,,,,,,,
1,Team/G,,242.7,41.6,100.2,0.415,25.8,36.0,0.719,,,62.3,22.2,25.5,109.1,1969,,,,,,,,,
2,Lg Rank,,1,13,7,14.0,4,8,8.0,,,1,11,8,13,1969,,,,,,,,,
3,Year/Year,,0.5%,-6.0%,-4.3%,-0.008,-9.2%,-6.5%,-0.022,,,-15.3%,-4.2%,-7.9%,-6.8%,1969,,,,,,,,,
4,Opponent,82.0,19905,,,,,,,,,,,,9081,1969,,,,,,,,,
5,Opponent/G,,242.7,,,,,,,,,,,,110.7,1969,,,,,,,,,
6,Lg Rank,,1,,,,,,,,,,,,6,1969,,,,,,,,,
7,Year/Year,,0.5%,,,,,,,,,,,,-5.9%,1969,,,,,,,,,
0,Team,82.0,19830,3555,8224,0.432,2004,2646,0.757,,,4772,1861,2050,9114,1970,,,,,,,,,
1,Team/G,,241.8,43.4,100.3,0.432,24.4,32.3,0.757,,,58.2,22.7,25.0,111.1,1970,,,,,,,,,
2,Lg Rank,,5,14,6,14.0,10,11,5.0,,,2,13,8,14,1970,,,,,,,,,
