,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
4,Opponent,84.0,20435,3616,7896,0.458,172,501,0.343,3444,7395,0.466,2041,2682,0.761,1456,2807,4263,1592,1636,2068,9445,1972,,
5,Opponent/G,,243.3,43.0,94.0,0.458,2.0,6.0,0.343,41.0,88.0,0.466,24.3,31.9,0.761,17.3,33.4,50.8,19.0,19.5,24.6,112.4,1972,,
6,Lg Rank,,1,5,4,8.0,11,9,11.0,3,3,8.0,5,4,8.0,5,5,2,1,2,11,5,1972,,
7,Year/Year,,0.9%,1.8%,2.2%,-0.002,42.1%,6.1%,0.087,0.4%,1.9%,-0.007,-5.2%,-7.1%,0.015,,,1.6%,-8.8%,-6.4%,-1.4%,0.7%,1972,,
0,Team,84.0,20210,3400,7073,0.481,49,174,0.282,3351,6899,0.486,1851,2513,0.737,1161,2673,3834,1899,1696,2112,8700,1973,,
1,Team/G,,240.6,40.5,84.2,0.481,0.6,2.1,0.282,39.9,82.1,0.486,22.0,29.9,0.737,13.8,31.8,45.6,22.6,20.2,25.1,103.6,1973,,
2,Lg Rank,,6,10,10,3.0,9,10,5.0,10,10,4.0,9,9,7.0,10,5,10,8,8,3,10,1973,,
3,Year/Year,,-1.1%,-8.0%,-8.1%,0.0,-46.7%,-45.3%,-0.008,-7.0%,-6.5%,-0.003,-7.0%,-2.9%,-0.032,-9.6%,-6.9%,-7.7%,3.1%,2.5%,2.3%,-8.2%,1973,,
4,Opponent,84.0,20210,3547,7611,0.466,94,309,0.304,3453,7302,0.473,2057,2738,0.751,1426,2685,4111,1894,1525,2044,9245,1973,,
5,Opponent/G,,240.6,42.2,90.6,0.466,1.1,3.7,0.304,41.1,86.9,0.473,24.5,32.6,0.751,17.0,32.0,48.9,22.5,18.2,24.3,110.1,1973,,
6,Lg Rank,,6,5,4,4.0,7,4,7.0,5,4,3.0,6,6,8.0,6,5,5,4,8,10,4,1973,,
7,Year/Year,,-1.1%,-1.9%,-3.6%,0.008,-45.3%,-38.3%,-0.039,0.3%,-1.3%,0.007,0.8%,2.1%,-0.01,-2.1%,-4.3%,-3.6%,19.0%,-6.8%,-1.2%,-2.1%,1973,,
0,Team,84.0,20285,3855,8038,0.48,81,256,0.316,3774,7782,0.485,1397,1852,0.754,1334,2772,4106,2025,1612,1979,9188,1974,828.0,568.0
1,Team/G,,241.5,45.9,95.7,0.48,1.0,3.0,0.316,44.9,92.6,0.485,16.6,22.0,0.754,15.9,33.0,48.9,24.1,19.2,23.6,109.4,1974,9.9,6.8
2,Lg Rank,,5,2,4,3.0,6,8,2.0,1,2,3.0,10,10,6.0,8,3,5,3,8,5,3,1974,2.0,1.0
3,Year/Year,,0.4%,13.4%,13.6%,-0.001,65.3%,47.1%,0.035,12.6%,12.8%,-0.001,-24.5%,-26.3%,0.018,14.9%,3.7%,7.1%,6.6%,-5.0%,-6.3%,5.6%,1974,,
4,Opponent,84.0,20285,3476,7809,0.445,110,387,0.284,3366,7422,0.454,1677,2261,0.742,1418,2698,4116,1858,1701,1839,8739,1974,739.0,329.0
5,Opponent/G,,241.5,41.4,93.0,0.445,1.3,4.6,0.284,40.1,88.4,0.454,20.0,26.9,0.742,16.9,32.1,49.0,22.1,20.3,21.9,104.0,1974,8.8,3.9
6,Lg Rank,,5,2,5,1.0,9,9,4.0,2,5,1.0,6,6,1.0,6,6,6,6,2,10,3,1974,6.0,3.0
7,Year/Year,,0.4%,-2.0%,2.6%,-0.021,17.0%,25.2%,-0.02,-2.5%,1.6%,-0.019,-18.5%,-17.4%,-0.01,-0.6%,0.5%,0.1%,-1.9%,11.5%,-10.0%,-5.5%,1974,,
0,Team,84.0,20385,3879,7943,0.488,69,252,0.274,3810,7691,0.495,1501,1929,0.778,1214,2776,3990,2007,1402,1947,9328,1975,917,516
1,Team/G,,242.7,46.2,94.6,0.488,0.8,3.0,0.274,45.4,91.6,0.495,17.9,23.0,0.778,14.5,33.0,47.5,23.9,16.7,23.2,111.0,1975,10.9,6.1
2,Lg Rank,,1,3,4,2.0,6,6,5.0,2,4,2.0,7,8,3.0,9,3,6,6,2,5,4,1975,2,1
3,Year/Year,,0.5%,0.6%,-1.2%,0.009,-14.8%,-1.6%,-0.043,1.0%,-1.2%,0.01,7.4%,4.2%,0.024,-9.0%,0.1%,-2.8%,-0.9%,-13.0%,-1.6%,1.5%,1975,10.7%,-9.2%
4,Opponent,84.0,20385,3501,7726,0.453,132,421,0.314,3369,7305,0.461,1551,2022,0.767,1326,2728,4054,1813,1707,1786,8685,1975,714,389
5,Opponent/G,,242.7,41.7,92.0,0.453,1.6,5.0,0.314,40.1,87.0,0.461,18.5,24.1,0.767,15.8,32.5,48.3,21.6,20.3,21.3,103.4,1975,8.5,4.6
6,Lg Rank,,1,2,4,2.0,10,10,7.0,2,2,2.0,3,3,5.0,4,7,6,1,3,10,3,1975,5,5
7,Year/Year,,0.5%,0.7%,-1.1%,0.008,20.0%,8.8%,0.029,0.1%,-1.6%,0.008,-7.5%,-10.6%,0.025,-6.5%,1.1%,-1.5%,-2.4%,0.4%,-2.9%,-0.6%,1975,-3.4%,18.2%
0,Team,84.0,20385,3752,8148,0.46,111,372,0.298,3641,7776,0.468,1775,2333,0.761,1493,2750,4243,1817,1529,2209,9390,1976,913,522
1,Team/G,,242.7,44.7,97.0,0.46,1.3,4.4,0.298,43.3,92.6,0.468,21.1,27.8,0.761,17.8,32.7,50.5,21.6,18.2,26.3,111.8,1976,10.9,6.2
2,Lg Rank,,3,6,3,6.0,3,3,4.0,5,4,6.0,5,5,7.0,3,5,4,7,3,7,5,1976,2,5
3,Year/Year,,0.0%,-3.3%,2.6%,-0.028,60.9%,47.6%,0.025,-4.4%,1.1%,-0.027,18.3%,20.9%,-0.017,23.0%,-0.9%,6.3%,-9.5%,9.1%,13.5%,0.7%,1976,-0.4%,1.2%
4,Opponent,84.0,20385,3552,7837,0.453,108,362,0.298,3444,7475,0.461,1930,2515,0.767,1434,2853,4287,1986,1716,2032,9142,1976,826,533
5,Opponent/G,,242.7,42.3,93.3,0.453,1.3,4.3,0.298,41.0,89.0,0.461,23.0,29.9,0.767,17.1,34.0,51.0,23.6,20.4,24.2,108.8,1976,9.8,6.3
6,Lg Rank,,3,2,2,3.0,7,7,5.0,2,2,3.0,8,8,6.0,6,8,8,4,3,8,2,1976,6,8
7,Year/Year,,0.0%,1.5%,1.4%,0.0,-18.2%,-14.0%,-0.015,2.2%,2.3%,-0.0,24.4%,24.4%,0.0,8.1%,4.6%,5.7%,9.5%,0.5%,13.8%,5.3%,1976,15.7%,37.0%
0,Team,82.0,19730,3096,7222,0.429,,,,,,,1673,2274,0.736,1157,2547,3704,1422,1630,2178,7865,1977,802,435
1,Team/G,,240.6,37.8,88.1,0.429,,,,,,,20.4,27.7,0.736,14.1,31.1,45.2,17.3,19.9,26.6,95.9,1977,9.8,5.3
2,Lg Rank,,15,22,20,22.0,,,,,,,11,10,20.0,19,17,18,22,8,18,22,1977,10,10
3,Year/Year,,-0.9%,-15.5%,-9.2%,-0.032,,,,,,,-3.4%,-0.2%,-0.025,-20.6%,-5.1%,-10.6%,-19.8%,9.2%,1.0%,-14.2%,1977,-10.0%,-14.6%
4,Opponent,82.0,19730,3279,7074,0.464,,,,,,,1863,2488,0.749,1149,2937,4086,1910,1735,1970,8421,1977,778,512
5,Opponent/G,,240.6,40.0,86.3,0.464,,,,,,,22.7,30.3,0.749,14.0,35.8,49.8,23.3,21.2,24.0,102.7,1977,9.5,6.2
6,Lg Rank,,15,2,1,11.0,,,,,,,16,17,8.0,6,22,20,10,11,16,3,1977,12,22
7,Year/Year,,-0.9%,-5.4%,-7.5%,0.01,,,,,,,-1.1%,1.3%,-0.019,-17.9%,5.5%,-2.4%,-1.5%,3.6%,-0.7%,-5.6%,1977,-3.5%,-1.6%
0,Team,82.0,19905,3547,8004,0.443,,,,,,,1652,2304,0.717,1306,2595,3901,1879,1774,2312,8746,1978,857,631
1,Team/G,,242.7,43.3,97.6,0.443,,,,,,,20.1,28.1,0.717,15.9,31.6,47.6,22.9,21.6,28.2,106.7,1978,10.5,7.7
2,Lg Rank,,3,14,1,22.0,,,,,,,17,12,20.0,5,15,8,19,21,21,14,1978,6,1
3,Year/Year,,0.9%,14.6%,10.8%,0.014,,,,,,,-1.3%,1.3%,-0.019,12.9%,1.9%,5.3%,32.1%,8.8%,6.2%,11.2%,1978,6.9%,45.1%
4,Opponent,82.0,19905,3544,7620,0.465,,,,,,,2135,2830,0.754,1312,2996,4308,2073,1864,1999,9223,1978,852,560
5,Opponent/G,,242.7,43.2,92.9,0.465,,,,,,,26.0,34.5,0.754,16.0,36.5,52.5,25.3,22.7,24.4,112.5,1978,10.4,6.8
6,Lg Rank,,3,7,9,9.0,,,,,,,21,21,13.0,18,22,22,10,3,16,20,1978,18,22
7,Year/Year,,0.9%,8.1%,7.7%,0.002,,,,,,,14.6%,13.7%,0.006,14.2%,2.0%,5.4%,8.5%,7.4%,1.5%,9.5%,1978,9.5%,9.4%
0,Team,82.0,19755,3464,7523,0.46,,,,,,,1904,2613,0.729,1241,2370,3611,1907,1861,2329,8832,1979,853,619
1,Team/G,,240.9,42.2,91.7,0.46,,,,,,,23.2,31.9,0.729,15.1,28.9,44.0,23.3,22.7,28.4,107.7,1979,10.4,7.5
2,Lg Rank,,15,22,10,22.0,,,,,,,4,2,19.0,9,19,16,20,22,20,17,1979,3,1
3,Year/Year,,-0.8%,-2.3%,-6.0%,0.017,,,,,,,15.3%,13.4%,0.012,-5.0%,-8.7%,-7.4%,1.5%,4.9%,0.7%,1.0%,1979,-0.5%,-1.9%
4,Opponent,82.0,19755,3507,7306,0.48,,,,,,,2160,2861,0.755,1234,2667,3901,2185,1919,2208,9174,1979,861,492
5,Opponent/G,,240.9,42.8,89.1,0.48,,,,,,,26.3,34.9,0.755,15.0,32.5,47.6,26.6,23.4,26.9,111.9,1979,10.5,6.0
6,Lg Rank,,15,6,6,7.0,,,,,,,21,21,14.0,14,22,19,16,1,3,16,1979,20,17
7,Year/Year,,-0.8%,-1.0%,-4.1%,0.015,,,,,,,1.2%,1.1%,0.001,-5.9%,-11.0%,-9.4%,5.4%,3.0%,10.5%,-0.5%,1979,1.1%,-12.1%
0,Team,82.0,19805,3456,7504,0.461,85.0,298.0,0.285,3371,7206,0.468,1882,2406,0.782,1229,2535,3764,2094,1702,2181,8879,1980,869,581
1,Team/G,,241.5,42.1,91.5,0.461,1.0,3.6,0.285,41.1,87.9,0.468,23.0,29.3,0.782,15.0,30.9,45.9,25.5,20.8,26.6,108.3,1980,10.6,7.1
2,Lg Rank,,12,18,9,21.0,5.0,5.0,8.0,18,12,20.0,6,8,3.0,12,5,6,14,20,21,13,1980,4,2
3,Year/Year,,0.3%,-0.2%,-0.3%,0.0,,,,-2.7%,-4.2%,0.007,-1.2%,-7.9%,0.054,-1.0%,7.0%,4.2%,9.8%,-8.5%,-6.4%,0.5%,1980,1.9%,-6.1%
4,Opponent,82.0,19805,3480,7427,0.469,58.0,208.0,0.279,3422,7219,0.474,1957,2572,0.761,1285,2596,3881,2189,1692,2042,8975,1980,849,514
