,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
0,Team,82.0,19855,3374,7083,0.476,145,449,0.323,3229,6634,0.487,2000,2607,0.767,1169,2409,3578,1991,1617,2353,8893,1987,643,397
1,Team/G,,242.1,41.1,86.4,0.476,1.8,5.5,0.323,39.4,80.9,0.487,24.4,31.8,0.767,14.3,29.4,43.6,24.3,19.7,28.7,108.5,1987,7.8,4.8
2,Lg Rank,,5,18,20,12.0,6,5,7.0,22,21,12.0,5,5,10.0,17,12,16,18,22,23,13,1987,20,15
3,Year/Year,,0.3%,-4.9%,-3.0%,-0.01,237.2%,109.8%,0.122,-7.9%,-6.4%,-0.008,10.5%,8.8%,0.012,-1.2%,-3.0%,-2.4%,-6.4%,2.7%,10.5%,-0.6%,1987,-14.2%,15.1%
4,Opponent,82.0,19855,3418,7125,0.48,118,366,0.322,3300,6759,0.488,2353,3018,0.78,1129,2352,3481,1958,1357,2126,9307,1987,814,566
5,Opponent/G,,242.1,41.7,86.9,0.48,1.4,4.5,0.322,40.2,82.4,0.488,28.7,36.8,0.78,13.8,28.7,42.5,23.9,16.5,25.9,113.5,1987,9.9,6.9
6,Lg Rank,,5,8,5,12.0,12,10,20.0,8,5,10.0,23,23,23.0,4,9,5,2,16,4,17,1987,23,23
7,Year/Year,,0.3%,-2.5%,0.0%,-0.012,22.9%,15.8%,0.019,-3.2%,-0.7%,-0.012,17.2%,15.1%,0.014,9.0%,-0.7%,2.2%,-3.0%,-10.9%,6.2%,2.1%,1987,4.0%,45.1%
0,Team,82.0,19780,3208,6857,0.468,137,455,0.301,3071,6402,0.48,1682,2308,0.729,1075,2262,3337,1795,1503,2042,8235,1988,727,385
1,Team/G,,241.2,39.1,83.6,0.468,1.7,5.5,0.301,37.5,78.1,0.48,20.5,28.1,0.729,13.1,27.6,40.7,21.9,18.3,24.9,100.4,1988,8.9,4.7
2,Lg Rank,,9,22,21,20.0,10,9,15.0,22,21,19.0,20,15,22.0,19,21,22,23,21,17,22,1988,8,18
3,Year/Year,,-0.4%,-4.9%,-3.2%,-0.009,-5.5%,1.3%,-0.022,-4.9%,-3.5%,-0.007,-15.9%,-11.5%,-0.038,-8.0%,-6.1%,-6.7%,-9.8%,-7.1%,-13.2%,-7.4%,1988,13.1%,-3.0%
4,Opponent,82.0,19780,3437,6918,0.497,131,363,0.361,3306,6555,0.504,1895,2419,0.783,1034,2461,3495,1993,1433,1942,8900,1988,809,522
5,Opponent/G,,241.2,41.9,84.4,0.497,1.6,4.4,0.361,40.3,79.9,0.504,23.1,29.5,0.783,12.6,30.0,42.6,24.3,17.5,23.7,108.5,1988,9.9,6.4
6,Lg Rank,,9,10,4,19.0,14,1,23.0,11,4,18.0,15,14,22.0,2,17,10,8,8,17,15,1988,22,20
7,Year/Year,,-0.4%,0.6%,-2.9%,0.017,11.0%,-0.8%,0.038,0.2%,-3.0%,0.016,-19.5%,-19.8%,0.004,-8.4%,4.6%,0.4%,1.8%,5.6%,-8.7%,-4.4%,1988,-0.6%,-7.8%
0,Team,82.0,19805,3333,7226,0.461,187,568,0.329,3146,6658,0.473,1653,2260,0.731,1204,2419,3623,1793,1449,1966,8506,1989,773,431
1,Team/G,,241.5,40.6,88.1,0.461,2.3,6.9,0.329,38.4,81.2,0.473,20.2,27.6,0.731,14.7,29.5,44.2,21.9,17.7,24.0,103.7,1989,9.4,5.3
2,Lg Rank,,10,22,13,22.0,11,11,9.0,21,14,21.0,20,20,22.0,11,13,11,25,17,15,23,1989,12,11
3,Year/Year,,0.1%,3.9%,5.4%,-0.007,36.5%,24.8%,0.028,2.4%,4.0%,-0.007,-1.7%,-2.1%,0.003,12.0%,6.9%,8.6%,-0.1%,-3.6%,-3.7%,3.3%,1989,6.3%,11.9%
4,Opponent,82.0,19805,3560,7162,0.497,158,512,0.309,3402,6650,0.512,1749,2286,0.765,1030,2476,3506,2134,1376,1834,9027,1989,744,485
5,Opponent/G,,241.5,43.4,87.3,0.497,1.9,6.2,0.309,41.5,81.1,0.512,21.3,27.9,0.765,12.6,30.2,42.8,26.0,16.8,22.4,110.1,1989,9.1,5.9
6,Lg Rank,,10,17,9,23.0,8,9,9.0,17,9,23.0,8,6,9.0,1,18,9,18,15,21,13,1989,14,18
7,Year/Year,,0.1%,3.6%,3.5%,0.0,20.6%,41.0%,-0.052,2.9%,1.4%,0.007,-7.7%,-5.5%,-0.018,-0.4%,0.6%,0.3%,7.1%,-4.0%,-5.6%,1.4%,1989,-8.0%,-7.1%
0,Team,82.0,19705,3157,7415,0.426,140,506,0.277,3017,6909,0.437,1754,2350,0.746,1363,2324,3687,1475,1360,1952,8208,1990,774,481
1,Team/G,,240.3,38.5,90.4,0.426,1.7,6.2,0.277,36.8,84.3,0.437,21.4,28.7,0.746,16.6,28.3,45.0,18.0,16.6,23.8,100.1,1990,9.4,5.9
2,Lg Rank,,25,26,5,27.0,19,17,22.0,25,6,27.0,14,11,20.0,1,20,7,27,19,17,26,1990,9,9
3,Year/Year,,-0.5%,-5.3%,2.6%,-0.035,-25.1%,-10.9%,-0.053,-4.1%,3.8%,-0.036,6.1%,4.0%,0.015,13.2%,-3.9%,1.8%,-17.7%,-6.1%,-0.7%,-3.5%,1990,0.1%,11.6%
4,Opponent,82.0,19705,3403,7020,0.485,141,420,0.336,3262,6600,0.494,1906,2491,0.765,1144,2590,3734,1871,1419,1886,8853,1990,768,478
5,Opponent/G,,240.3,41.5,85.6,0.485,1.7,5.1,0.336,39.8,80.5,0.494,23.2,30.4,0.765,14.0,31.6,45.5,22.8,17.3,23.0,108.0,1990,9.4,5.8
6,Lg Rank,,25,13,11,20.0,3,2,17.0,17,14,19.0,21,20,14.0,16,24,23,3,8,15,20,1990,23,25
7,Year/Year,,-0.5%,-4.4%,-2.0%,-0.012,-10.8%,-18.0%,0.027,-4.1%,-0.8%,-0.017,9.0%,9.0%,0.0,11.1%,4.6%,6.5%,-12.3%,3.1%,2.8%,-1.9%,1990,3.2%,-1.4%
0,Team,82.0,19830,3311,7459,0.444,161,586,0.275,3150,6873,0.458,1658,2245,0.739,1400,2348,3748,1782,1423,1954,8441,1991,748,600
1,Team/G,,241.8,40.4,91.0,0.444,2.0,7.1,0.275,38.4,83.8,0.458,20.2,27.4,0.739,17.1,28.6,45.7,21.7,17.4,23.8,102.9,1991,9.1,7.3
2,Lg Rank,,9,16,2,26.0,14,12,24.0,14,5,26.0,16,14,22.0,2,18,6,27,24,17,19,1991,9,1
3,Year/Year,,0.6%,4.9%,0.6%,0.018,15.0%,15.8%,-0.002,4.4%,-0.5%,0.022,-5.5%,-4.5%,-0.008,2.7%,1.0%,1.7%,20.8%,4.6%,0.1%,2.8%,1991,-3.4%,24.7%
4,Opponent,82.0,19830,3374,7206,0.468,136,442,0.308,3238,6764,0.479,1927,2493,0.773,1287,2527,3814,1737,1452,1896,8811,1991,831,540
5,Opponent/G,,241.8,41.1,87.9,0.468,1.7,5.4,0.308,39.5,82.5,0.479,23.5,30.4,0.773,15.7,30.8,46.5,21.2,17.7,23.1,107.5,1991,10.1,6.6
6,Lg Rank,,9,15,14,11.0,1,1,8.0,19,23,10.0,23,22,22.0,26,25,26,2,6,12,19,1991,26,26
7,Year/Year,,0.6%,-0.9%,2.6%,-0.017,-3.5%,5.2%,-0.028,-0.7%,2.5%,-0.016,1.1%,0.1%,0.008,12.5%,-2.4%,2.1%,-7.2%,2.3%,0.5%,-0.5%,1991,8.2%,13.0%
0,Team,82.0,19780,3473,7580,0.458,224,670,0.334,3249,6910,0.47,1471,2009,0.732,1512,2392,3904,1937,1392,1834,8641,1992,736,615
1,Team/G,,241.2,42.4,92.4,0.458,2.7,8.2,0.334,39.6,84.3,0.47,17.9,24.5,0.732,18.4,29.2,47.6,23.6,17.0,22.4,105.4,1992,9.0,7.5
2,Lg Rank,,20,9,1,23.0,12,12,11.0,8,4,22.0,26,23,25.0,1,15,1,19,25,14,12,1992,10,3
3,Year/Year,,-0.3%,4.9%,1.6%,0.014,39.1%,14.3%,0.06,3.1%,0.5%,0.012,-11.3%,-10.5%,-0.006,8.0%,1.9%,4.2%,8.7%,-2.2%,-6.1%,2.4%,1992,-1.6%,2.5%
4,Opponent,82.0,19780,3422,7175,0.477,161,508,0.317,3261,6667,0.489,1775,2318,0.766,1215,2355,3570,1789,1343,1722,8780,1992,806,484
5,Opponent/G,,241.2,41.7,87.5,0.477,2.0,6.2,0.317,39.8,81.3,0.489,21.6,28.3,0.766,14.8,28.7,43.5,21.8,16.4,21.0,107.1,1992,9.8,5.9
6,Lg Rank,,20,14,17,15.0,1,2,8.0,20,20,14.0,20,19,17.0,18,11,15,3,8,23,18,1992,25,21
7,Year/Year,,-0.3%,1.4%,-0.4%,0.009,18.4%,14.9%,0.009,0.7%,-1.4%,0.01,-7.9%,-7.0%,-0.007,-5.6%,-6.8%,-6.4%,3.0%,-7.5%,-9.2%,-0.4%,1992,-3.0%,-10.4%
0,Team,82.0,19780,3272,7084,0.462,155,488,0.318,3117,6596,0.473,1732,2258,0.767,1291,2506,3797,1872,1355,1892,8431,1993,693,526
1,Team/G,,241.2,39.9,86.4,0.462,1.9,6.0,0.318,38.0,80.4,0.473,21.1,27.5,0.767,15.7,30.6,46.3,22.8,16.5,23.1,102.8,1993,8.5,6.4
2,Lg Rank,,16,19,14,21.0,23,24,20.0,12,5,23.0,15,16,7.0,2,9,3,24,18,13,21,1993,11,5
3,Year/Year,,0.0%,-5.8%,-6.5%,0.004,-30.8%,-27.2%,-0.017,-4.1%,-4.5%,0.002,17.7%,12.4%,0.035,-14.6%,4.8%,-2.7%,-3.4%,-2.7%,3.2%,-2.4%,1993,-5.8%,-14.5%
4,Opponent,82.0,19780,3231,6945,0.465,201,618,0.325,3030,6327,0.479,1665,2248,0.741,1102,2345,3447,1786,1304,1881,8328,1993,780,416
5,Opponent/G,,241.2,39.4,84.7,0.465,2.5,7.5,0.325,37.0,77.2,0.479,20.3,27.4,0.741,13.4,28.6,42.0,21.8,15.9,22.9,101.6,1993,9.5,5.1
6,Lg Rank,,16,4,9,7.0,1,2,5.0,9,14,7.0,12,13,4.0,11,9,7,2,13,13,6,1993,24,13
7,Year/Year,,0.0%,-5.6%,-3.2%,-0.012,24.8%,21.7%,0.008,-7.1%,-5.1%,-0.01,-6.2%,-3.0%,-0.025,-9.3%,-0.4%,-3.4%,-0.2%,-2.9%,9.2%,-5.1%,1993,-3.2%,-14.0%
0,Team,82.0,19830,3169,7115,0.445,223,683,0.327,2946,6432,0.458,1900,2495,0.762,1300,2556,3856,1900,1196,1693,8461,1994,696,576
1,Team/G,,241.8,38.6,86.8,0.445,2.7,8.3,0.327,35.9,78.4,0.458,23.2,30.4,0.762,15.9,31.2,47.0,23.2,14.6,20.6,103.2,1994,8.5,7.0
2,Lg Rank,,3,18,5,26.0,21,21,18.0,16,4,26.0,1,1,5.0,2,4,1,20,3,6,8,1994,18,2
3,Year/Year,,0.3%,-3.1%,0.4%,-0.016,43.9%,40.0%,0.009,-5.5%,-2.5%,-0.015,9.7%,10.5%,-0.006,0.7%,2.0%,1.6%,1.5%,-11.7%,-10.5%,0.4%,1994,0.4%,9.5%
4,Opponent,82.0,19830,3266,7125,0.458,235,739,0.318,3031,6386,0.475,1514,2038,0.743,1142,2528,3670,1919,1248,1901,8281,1994,715,582
5,Opponent/G,,241.8,39.8,86.9,0.458,2.9,9.0,0.318,37.0,77.9,0.475,18.5,24.9,0.743,13.9,30.8,44.8,23.4,15.2,23.2,101.0,1994,8.7,7.1
6,Lg Rank,,3,17,20,11.0,5,8,8.0,18,23,9.0,10,10,21.0,18,22,20,11,20,6,12,1994,12,27
7,Year/Year,,0.3%,1.1%,2.6%,-0.007,16.9%,19.6%,-0.007,0.0%,0.9%,-0.004,-9.1%,-9.3%,0.002,3.6%,7.8%,6.5%,7.4%,-4.3%,1.1%,-0.6%,1994,-8.3%,39.9%
0,Team,82.0,19880,2939,6738,0.436,414,1297,0.319,2525,5441,0.464,1750,2305,0.759,1213,2569,3782,1884,1300,1844,8042,1995,544,548
1,Team/G,,242.4,35.8,82.2,0.436,5.0,15.8,0.319,30.8,66.4,0.464,21.3,28.1,0.759,14.8,31.3,46.1,23.0,15.9,22.5,98.1,1995,6.6,6.7
2,Lg Rank,,7,25,11,27.0,17,12,25.0,21,13,24.0,7,10,5.0,3,2,3,13,13,10,22,1995,27,4
3,Year/Year,,0.3%,-7.3%,-5.3%,-0.009,85.7%,89.9%,-0.007,-14.3%,-15.4%,0.006,-7.9%,-7.6%,-0.002,-6.7%,0.5%,-1.9%,-0.8%,8.7%,8.9%,-5.0%,1995,-21.8%,-4.9%
4,Opponent,82.0,19880,3182,6904,0.461,440,1176,0.374,2742,5728,0.479,1495,2073,0.721,1056,2435,3491,1826,1104,1911,8299,1995,733,440
5,Opponent/G,,242.4,38.8,84.2,0.461,5.4,14.3,0.374,33.4,69.9,0.479,18.2,25.3,0.721,12.9,29.7,42.6,22.3,13.5,23.3,101.2,1995,8.9,5.4
6,Lg Rank,,7,17,20,14.0,13,7,21.0,17,22,6.0,7,7,5.0,13,23,21,10,27,15,13,1995,23,18
7,Year/Year,,0.3%,-2.6%,-3.1%,0.003,87.2%,59.1%,0.056,-9.5%,-10.3%,0.004,-1.3%,1.7%,-0.022,-7.5%,-3.7%,-4.9%,-4.8%,-11.5%,0.5%,0.2%,1995,2.5%,-24.4%
0,Team,82.0,19905,2881,6750,0.427,250,746,0.335,2631,6004,0.438,1672,2244,0.745,1350,2503,3853,1752,1375,1880,7684,1996,627,571
1,Team/G,,242.7,35.1,82.3,0.427,3.0,9.1,0.335,32.1,73.2,0.438,20.4,27.4,0.745,16.5,30.5,47.0,21.4,16.8,22.9,93.7,1996,7.6,7.0
2,Lg Rank,,3,25,4,28.0,29,29,26.0,9,1,29.0,8,12,15.0,2,3,1,23,22,16,27,1996,20,2
3,Year/Year,,0.1%,-2.0%,0.2%,-0.009,-39.6%,-42.5%,0.016,4.2%,10.3%,-0.026,-4.5%,-2.6%,-0.014,11.3%,-2.6%,1.9%,-7.0%,5.8%,2.0%,-4.5%,1996,15.3%,4.2%
4,Opponent,82.0,19905,3006,6625,0.454,543,1415,0.384,2463,5210,0.473,1476,1994,0.74,1028,2355,3383,1876,1270,1925,8031,1996,665,516
5,Opponent/G,,242.7,36.7,80.8,0.454,6.6,17.3,0.384,30.0,63.5,0.473,18.0,24.3,0.74,12.5,28.7,41.3,22.9,15.5,23.5,97.9,1996,8.1,6.3
6,Lg Rank,,3,11,16,10.0,27,24,24.0,9,13,9.0,9,7,16.0,13,16,16,17,19,12,12,1996,16,28
7,Year/Year,,0.1%,-5.5%,-4.0%,-0.007,23.4%,20.3%,0.01,-10.2%,-9.0%,-0.006,-1.3%,-3.8%,0.019,-2.7%,-3.3%,-3.1%,2.7%,15.0%,0.7%,-3.2%,1996,-9.3%,17.3%
0,Team,82.0,19780,2994,7091,0.422,484,1371,0.353,2510,5720,0.439,1502,2031,0.74,1410,2376,3786,1726,1290,1865,7974,1997,677,481
1,Team/G,,241.2,36.5,86.5,0.422,5.9,16.7,0.353,30.6,69.8,0.439,18.3,24.8,0.74,17.2,29.0,46.2,21.0,15.7,22.7,97.2,1997,8.3,5.9
2,Lg Rank,,22,13,1,29.0,14,14,19.0,12,1,29.0,17,15,16.0,1,11,1,18,15,18,14,1997,13,5
3,Year/Year,,-0.6%,3.9%,5.1%,-0.005,93.6%,83.8%,0.018,-4.6%,-4.7%,0.001,-10.2%,-9.5%,-0.006,4.4%,-5.1%,-1.7%,-1.5%,-6.2%,-0.8%,3.8%,1997,8.0%,-15.8%
4,Opponent,82.0,19780,3100,6684,0.464,520,1398,0.372,2580,5286,0.488,1628,2185,0.745,1065,2464,3529,1925,1257,1780,8348,1997,675,516
5,Opponent/G,,241.2,37.8,81.5,0.464,6.3,17.0,0.372,31.5,64.5,0.488,19.9,26.6,0.745,13.0,30.0,43.0,23.5,15.3,21.7,101.8,1997,8.2,6.3
6,Lg Rank,,22,24,23,20.0,21,16,23.0,22,22,19.0,21,21,21.0,19,28,25,22,20,18,24,1997,15,28
7,Year/Year,,-0.6%,3.1%,0.9%,0.01,-4.2%,-1.2%,-0.012,4.8%,1.5%,0.015,10.3%,9.6%,0.005,3.6%,4.6%,4.3%,2.6%,-1.0%,-7.5%,3.9%,1997,1.5%,0.0%
0,Team,82.0,19880,3055,6928,0.441,310,937,0.331,2745,5991,0.458,1750,2351,0.744,1344,2137,3481,1685,1180,1917,8170,1998,777,314
1,Team/G,,242.4,37.3,84.5,0.441,3.8,11.4,0.331,33.5,73.1,0.458,21.3,28.7,0.744,16.4,26.1,42.5,20.5,14.4,23.4,99.6,1998,9.5,3.8
2,Lg Rank,,7,6,2,22.0,18,17,22.0,4,2,22.0,3,4,13.0,1,28,8,23,6,23,5,1998,4,26
3,Year/Year,,0.5%,2.0%,-2.3%,0.019,-36.0%,-31.7%,-0.022,9.4%,4.7%,0.019,16.5%,15.8%,0.005,-4.7%,-10.1%,-8.1%,-2.4%,-8.5%,2.8%,2.5%,1998,14.8%,-34.7%
4,Opponent,82.0,19880,3016,6406,0.471,356,1030,0.346,2660,5376,0.495,1653,2211,0.748,1079,2316,3395,1771,1482,2023,8041,1998,616,515
5,Opponent/G,,242.4,36.8,78.1,0.471,4.3,12.6,0.346,32.4,65.6,0.495,20.2,27.0,0.748,13.2,28.2,41.4,21.6,18.1,24.7,98.1,1998,7.5,6.3
6,Lg Rank,,7,22,9,24.0,15,14,16.0,23,10,27.0,21,16,25.0,15,13,16,13,2,3,21,1998,3,27
7,Year/Year,,0.5%,-2.7%,-4.2%,0.007,-31.5%,-26.3%,-0.026,3.1%,1.7%,0.007,1.5%,1.2%,0.003,1.3%,-6.0%,-3.8%,-8.0%,17.9%,13.7%,-3.7%,1998,-8.7%,-0.2%
0,Team,50.0,12050,1691,4160,0.406,225,679,0.331,1466,3481,0.421,962,1251,0.769,715,1437,2152,923,750,1134,4569,1999,491,273
1,Team/G,,241.0,33.8,83.2,0.406,4.5,13.6,0.331,29.3,69.6,0.421,19.2,25.0,0.769,14.3,28.7,43.0,18.5,15.0,22.7,91.4,1999,9.8,5.5
2,Lg Rank,,19,16,5,28.0,15,11,17.0,16,4,29.0,13,17,2.0,4,17,8,26,10,16,16,1999,3,9
3,Year/Year,,-0.6%,-9.2%,-1.5%,-0.034,19.0%,18.8%,0.001,-12.4%,-4.7%,-0.037,-9.8%,-12.7%,0.025,-12.8%,10.3%,1.4%,-10.2%,4.2%,-3.0%,-8.3%,1999,3.6%,42.6%
4,Opponent,50.0,12050,1796,3968,0.453,223,654,0.341,1573,3314,0.475,943,1298,0.727,624,1581,2205,968,813,1084,4758,1999,395,326
5,Opponent/G,,241.0,35.9,79.4,0.453,4.5,13.1,0.341,31.5,66.3,0.475,18.9,26.0,0.727,12.5,31.6,44.1,19.4,16.3,21.7,95.2,1999,7.9,6.5
6,Lg Rank,,19,23,21,24.0,17,16,16.0,23,21,23.0,16,14,12.0,15,28,28,8,7,19,23,1999,7,28
7,Year/Year,,-0.6%,-2.3%,1.6%,-0.018,2.7%,4.1%,-0.005,-3.0%,1.1%,-0.02,-6.4%,-3.7%,-0.021,-5.2%,12.0%,6.5%,-10.4%,-10.0%,-12.1%,-3.0%,1999,5.2%,3.8%
0,Team,82.0,19830,2979,6881,0.433,477,1374,0.347,2502,5507,0.454,1601,2041,0.784,1040,2315,3355,1688,1119,1913,8036,2000,720,393
1,Team/G,,241.8,36.3,83.9,0.433,5.8,16.8,0.347,30.5,67.2,0.454,19.5,24.9,0.784,12.7,28.2,40.9,20.6,13.6,23.3,98.0,2000,8.8,4.8
2,Lg Rank,,7,20,9,26.0,6,6,16.0,25,20,23.0,9,17,4.0,12,29,25,25,1,14,15,2000,8,17
3,Year/Year,,0.3%,7.4%,0.9%,0.026,29.3%,23.4%,0.016,4.1%,-3.5%,0.033,1.5%,-0.5%,0.015,-11.3%,-1.8%,-4.9%,11.5%,-9.0%,2.9%,7.2%,2000,-10.6%,-12.2%
4,Opponent,82.0,19830,3125,6741,0.464,368,1013,0.363,2757,5728,0.481,1503,2012,0.747,1129,2657,3786,1866,1366,1869,8121,2000,568,469
5,Opponent/G,,241.8,38.1,82.2,0.464,4.5,12.4,0.363,33.6,69.9,0.481,18.3,24.5,0.747,13.8,32.4,46.2,22.8,16.7,22.8,99.0,2000,6.9,5.7
6,Lg Rank,,7,20,16,24.0,8,4,22.0,22,21,23.0,10,12,13.0,27,25,27,15,8,20,15,2000,2,22
7,Year/Year,,0.3%,6.1%,3.6%,0.011,0.6%,-5.6%,0.022,6.9%,5.4%,0.007,-2.8%,-5.5%,0.021,10.3%,2.5%,4.7%,17.5%,2.5%,5.1%,4.1%,2000,-12.3%,-12.3%
0,Team,82.0,19730,2781,6550,0.425,361,1084,0.333,2420,5466,0.443,1629,2146,0.759,909,2337,3246,1603,1208,1982,7552,2001,649,407
1,Team/G,,240.6,33.9,79.9,0.425,4.4,13.2,0.333,29.5,66.7,0.443,19.9,26.2,0.759,11.1,28.5,39.6,19.5,14.7,24.2,92.1,2001,7.9,5.0
2,Lg Rank,,27,25,14,26.0,17,16,25.0,25,15,26.0,5,8,11.0,23,28,28,26,12,27,23,2001,14,20
3,Year/Year,,-0.5%,-6.6%,-4.8%,-0.008,-24.3%,-21.1%,-0.014,-3.3%,-0.7%,-0.012,1.7%,5.1%,-0.025,-12.6%,1.0%,-3.2%,-5.0%,8.0%,3.6%,-6.0%,2001,-9.9%,3.6%
4,Opponent,82.0,19730,2937,6452,0.455,428,1189,0.36,2509,5263,0.477,1664,2231,0.746,1001,2622,3623,1840,1304,1808,7966,2001,619,522
5,Opponent/G,,240.6,35.8,78.7,0.455,5.2,14.5,0.36,30.6,64.2,0.477,20.3,27.2,0.746,12.2,32.0,44.2,22.4,15.9,22.0,97.1,2001,7.5,6.4
6,Lg Rank,,27,15,8,24.0,22,23,21.0,14,5,23.0,26,26,14.0,17,23,23,19,7,15,22,2001,11,28
7,Year/Year,,-0.5%,-6.0%,-4.3%,-0.008,16.3%,17.4%,-0.003,-9.0%,-8.1%,-0.005,10.7%,10.9%,-0.001,-11.3%,-1.3%,-4.3%,-1.4%,-4.5%,-3.3%,-1.9%,2001,9.0%,11.3%
0,Team,82.0,19830,3042,6816,0.446,403,1194,0.338,2639,5622,0.469,1402,1907,0.735,1039,2515,3554,1990,1189,1734,7889,2002,716,490
1,Team/G,,241.8,37.1,83.1,0.446,4.9,14.6,0.338,32.2,68.6,0.469,17.1,23.3,0.735,12.7,30.7,43.3,24.3,14.5,21.1,96.2,2002,8.7,6.0
2,Lg Rank,,8,8,9,14.0,17,14,22.0,7,8,12.0,20,17,24.0,12,11,8,3,15,12,13,2002,4,6
3,Year/Year,,0.5%,9.4%,4.1%,0.022,11.6%,10.1%,0.004,9.0%,2.9%,0.027,-13.9%,-11.1%,-0.024,14.3%,7.6%,9.5%,24.1%,-1.6%,-12.5%,4.5%,2002,10.3%,20.4%
4,Opponent,82.0,19830,2858,6668,0.429,409,1175,0.348,2449,5493,0.446,1423,1890,0.753,999,2517,3516,1563,1317,1667,7548,2002,669,439
5,Opponent/G,,241.8,34.9,81.3,0.429,5.0,14.3,0.348,29.9,67.0,0.446,17.4,23.0,0.753,12.2,30.7,42.9,19.1,16.1,20.3,92.0,2002,8.2,5.4
6,Lg Rank,,8,7,16,6.0,11,13,10.0,7,18,4.0,11,11,19.0,15,19,17,3,3,20,5,2002,21,18
7,Year/Year,,0.5%,-2.7%,3.3%,-0.027,-4.4%,-1.2%,-0.012,-2.4%,4.4%,-0.031,-14.5%,-15.3%,0.007,-0.2%,-4.0%,-3.0%,-15.1%,1.0%,-7.8%,-5.2%,2002,8.1%,-15.9%
0,Team,82.0,19755,2906,6585,0.441,346,1041,0.332,2560,5544,0.462,1662,2195,0.757,991,2528,3519,1887,1212,1772,7820,2003,717,374
1,Team/G,,240.9,35.4,80.3,0.441,4.2,12.7,0.332,31.2,67.6,0.462,20.3,26.8,0.757,12.1,30.8,42.9,23.0,14.8,21.6,95.4,2003,8.7,4.6
2,Lg Rank,,26,17,18,14.0,23,22,22.0,12,12,16.0,5,5,15.0,14,12,10,7,16,14,14,2003,5,21
3,Year/Year,,-0.4%,-4.5%,-3.4%,-0.005,-14.1%,-12.8%,-0.005,-3.0%,-1.4%,-0.008,18.5%,15.1%,0.022,-4.6%,0.5%,-1.0%,-5.2%,1.9%,2.2%,-0.9%,2003,0.1%,-23.7%
4,Opponent,82.0,19755,2757,6461,0.427,425,1185,0.359,2332,5276,0.442,1453,1941,0.749,932,2461,3393,1607,1358,1880,7392,2003,693,423
5,Opponent/G,,240.9,33.6,78.8,0.427,5.2,14.5,0.359,28.4,64.3,0.442,17.7,23.7,0.749,11.4,30.0,41.4,19.6,16.6,22.9,90.1,2003,8.5,5.2
6,Lg Rank,,26,5,8,2.0,12,11,20.0,4,9,2.0,9,11,7.0,7,14,9,5,3,8,2,2003,22,19
7,Year/Year,,-0.4%,-3.5%,-3.1%,-0.002,3.9%,0.9%,0.011,-4.8%,-4.0%,-0.004,2.1%,2.7%,-0.004,-6.7%,-2.2%,-3.5%,2.8%,3.1%,12.8%,-2.1%,2003,3.6%,-3.6%
0,Team,82.0,19705,2813,6372,0.441,377,1123,0.336,2436,5249,0.464,1398,1856,0.753,862,2473,3335,2009,1209,1722,7401,2004,709,322
1,Team/G,,240.3,34.3,77.7,0.441,4.6,13.7,0.336,29.7,64.0,0.464,17.0,22.6,0.753,10.5,30.2,40.7,24.5,14.7,21.0,90.3,2004,8.6,3.9
2,Lg Rank,,28,19,23,16.0,21,19,22.0,16,20,13.0,21,21,13.0,26,14,25,2,12,12,23,2004,8,27
3,Year/Year,,-0.3%,-3.2%,-3.2%,0.0,9.0%,7.9%,0.003,-4.8%,-5.3%,0.002,-15.9%,-15.4%,-0.004,-13.0%,-2.2%,-5.2%,6.5%,-0.2%,-2.8%,-5.4%,2004,-1.1%,-13.9%
4,Opponent,82.0,19705,2693,6302,0.427,418,1193,0.35,2275,5109,0.445,1392,1830,0.761,873,2471,3344,1627,1321,1739,7196,2004,656,374
5,Opponent/G,,240.3,32.8,76.9,0.427,5.1,14.5,0.35,27.7,62.3,0.445,17.0,22.3,0.761,10.6,30.1,40.8,19.8,16.1,21.2,87.8,2004,8.0,4.6
6,Lg Rank,,28,7,4,5.0,13,10,18.0,4,5,5.0,6,5,22.0,3,13,6,6,4,15,4,2004,16,5
7,Year/Year,,-0.3%,-2.3%,-2.5%,0.001,-1.6%,0.7%,-0.008,-2.4%,-3.2%,0.003,-4.2%,-5.7%,0.012,-6.3%,0.4%,-1.4%,1.2%,-2.7%,-7.5%,-2.7%,2004,-5.3%,-11.6%
0,Team,82.0,19905,2753,6419,0.429,435,1203,0.362,2318,5216,0.444,1555,2039,0.763,855,2387,3242,1772,1164,1985,7496,2005,650,308
1,Team/G,,242.7,33.6,78.3,0.429,5.3,14.7,0.362,28.3,63.6,0.444,19.0,24.9,0.763,10.4,29.1,39.5,21.6,14.2,24.2,91.4,2005,7.9,3.8
2,Lg Rank,,5,28,24,29.0,18,19,11.0,23,20,28.0,20,22,16.0,29,22,29,13,14,26,29,2005,10,28
3,Year/Year,,1.0%,-2.1%,0.7%,-0.013,15.4%,7.1%,0.026,-4.8%,-0.6%,-0.02,11.2%,9.9%,0.009,-0.8%,-3.5%,-2.8%,-11.8%,-3.7%,15.3%,1.3%,2005,-8.3%,-4.3%
4,Opponent,82.0,19905,2710,6167,0.439,485,1319,0.368,2225,4848,0.459,1714,2304,0.744,874,2503,3377,1666,1283,1881,7619,2005,601,402
