,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
6,Lg Rank,,1,8,5,18.0,21,18,21.0,2,18,8,2,13,13,1977,5,9,10,,,,,,
7,Year/Year,,0.4%,-1.6%,-2.8%,0.006,9.1%,8.8%,0.002,-4.9%,-1.4%,-2.4%,-4.4%,-4.4%,0.6%,1977,6.2%,22.1%,7.1%,,,,,,
0,Team,82.0,19830,3601,7731,0.466,1775,2262,0.785,1208,2632,3840,1992,2228,8977,1978,794,370,1690,,,,,,
1,Team/G,,241.8,43.9,94.3,0.466,21.6,27.6,0.785,14.7,32.1,46.8,24.3,27.2,109.5,1978,9.7,4.5,20.6,,,,,,
2,Lg Rank,,6,7,7,13.0,10,13,3.0,12,10,12,12,19,9,1978,14,17,15,,,,,,
3,Year/Year,,0.0%,1.1%,-0.0%,0.005,4.0%,5.7%,-0.012,-1.1%,1.5%,0.7%,0.5%,2.5%,1.7%,1978,-6.5%,-4.1%,7.2%,,,,,,
4,Opponent,82.0,19830,3564,7521,0.474,2004,2635,0.761,1232,2684,3916,1928,2088,9132,1978,796,408,1694,,,,,,
5,Opponent/G,,241.8,43.5,91.7,0.474,24.4,32.1,0.761,15.0,32.7,47.8,23.5,25.5,111.4,1978,9.7,5.0,20.7,,,,,,
6,Lg Rank,,6,8,7,15.0,19,19,18.0,12,16,14,4,9,19,1978,14,11,9,,,,,,
7,Year/Year,,0.0%,4.1%,3.8%,0.001,4.8%,4.9%,-0.0,12.3%,-2.0%,2.1%,10.6%,2.9%,4.3%,1978,10.2%,4.1%,-3.5%,,,,,,
0,Team,82.0,19855,3764,7644,0.492,1746,2392,0.73,1191,2404,3595,2239,2419,9274,1979,825,390,1631,,,,,,
1,Team/G,,242.1,45.9,93.2,0.492,21.3,29.2,0.73,14.5,29.3,43.8,27.3,29.5,113.1,1979,10.1,4.8,19.9,,,,,,
2,Lg Rank,,2,6,6,6.0,14,9,18.0,15,15,17,7,21,7,1979,6,17,13,,,,,,
3,Year/Year,,0.1%,4.5%,-1.1%,0.027,-1.6%,5.7%,-0.055,-1.4%,-8.7%,-6.4%,12.4%,8.6%,3.3%,1979,3.9%,5.4%,-3.5%,,,,,,
4,Opponent,82.0,19855,3434,7061,0.486,2170,2897,0.749,1156,2547,3703,1776,2223,9038,1979,678,435,1879,,,,,,
5,Opponent/G,,242.1,41.9,86.1,0.486,26.5,35.3,0.749,14.1,31.1,45.2,21.7,27.1,110.2,1979,8.3,5.3,22.9,,,,,,
6,Lg Rank,,2,2,3,12.0,22,22,7.0,6,17,12,1,2,11,1979,7,12,2,,,,,,
7,Year/Year,,0.1%,-3.6%,-6.1%,0.012,8.3%,9.9%,-0.011,-6.2%,-5.1%,-5.4%,-7.9%,6.5%,-1.0%,1979,-14.8%,6.6%,10.9%,,,,,,
