,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Team/G,,242.4,36.2,81.4,0.445,5.5,15.3,0.362,30.7,66.1,0.464,17.5,23.7,0.74,12.5,30.6,43.1,18.7,6.4,4.2,14.5,19.8,95.5,2007
2,Lg Rank,,8,16,6,26.0,22,22,10.0,12,3,28.0,27,25,21.0,4,11,6,27,29,21,8,2,25,2007
3,Year/Year,,0.4%,4.9%,3.8%,0.005,51.7%,41.9%,0.023,-0.6%,-2.3%,0.008,-12.9%,-10.8%,-0.018,11.7%,5.6%,7.3%,1.2%,-14.6%,11.6%,8.4%,-9.3%,2.9%,2007
4,Opponent,82.0,19880,3004,6579,0.457,559,1575,0.355,2445,5004,0.489,1395,1839,0.759,853,2493,3346,1703,554,392,1119,1733,7962,2007
5,Opponent/G,,242.4,36.6,80.2,0.457,6.8,19.2,0.355,29.8,61.0,0.489,17.0,22.4,0.759,10.4,30.4,40.8,20.8,6.8,4.8,13.6,21.1,97.1,2007
6,Lg Rank,,8,17,20,12.0,25,28,13.0,10,4,16.0,2,2,21.0,10,20,11,12,6,17,30,25,10,2007
7,Year/Year,,0.4%,4.2%,4.7%,-0.002,2.4%,6.0%,-0.013,4.6%,4.2%,0.002,-8.8%,-8.7%,-0.001,-0.8%,-0.2%,-0.4%,7.5%,5.1%,-9.3%,-6.5%,-9.3%,1.5%,2007
0,Team,82.0,19805,3164,6796,0.466,630,1621,0.389,2534,5175,0.49,1312,1707,0.769,937,2494,3431,1785,637,321,974,1531,8270,2008
1,Team/G,,241.5,38.6,82.9,0.466,7.7,19.8,0.389,30.9,63.1,0.49,16.0,20.8,0.769,11.4,30.4,41.8,21.8,7.8,3.9,11.9,18.7,100.9,2008
2,Lg Rank,,14,6,8,8.0,6,8,3.0,12,15,10.0,29,28,11.0,14,16,16,13,8,28,3,1,9,2008
3,Year/Year,,-0.4%,6.5%,1.8%,0.02,38.5%,29.1%,0.026,0.7%,-4.5%,0.025,-8.6%,-12.1%,0.029,-8.6%,-0.7%,-3.0%,16.1%,22.0%,-7.5%,-17.9%,-5.5%,5.6%,2008
4,Opponent,82.0,19805,3038,6604,0.46,544,1552,0.351,2494,5052,0.494,1217,1579,0.771,815,2533,3348,1779,470,331,1136,1573,7837,2008
5,Opponent/G,,241.5,37.0,80.5,0.46,6.6,18.9,0.351,30.4,61.6,0.494,14.8,19.3,0.771,9.9,30.9,40.8,21.7,5.7,4.0,13.9,19.2,95.6,2008
6,Lg Rank,,14,15,16,16.0,16,21,6.0,15,11,21.0,1,1,27.0,3,18,10,12,1,4,14,28,5,2008
7,Year/Year,,-0.4%,1.1%,0.4%,0.003,-2.7%,-1.5%,-0.004,2.0%,1.0%,0.005,-12.8%,-14.1%,0.012,-4.5%,1.6%,0.1%,4.5%,-15.2%,-15.6%,1.5%,-9.2%,-1.6%,2008
0,Team,82.0,19755,2911,6366,0.457,556,1526,0.364,2355,4840,0.487,1479,1833,0.807,802,2453,3255,1609,593,338,1029,1665,7857,2009
1,Team/G,,240.9,35.5,77.6,0.457,6.8,18.6,0.364,28.7,59.0,0.487,18.0,22.4,0.807,9.8,29.9,39.7,19.6,7.2,4.1,12.5,20.3,95.8,2009
2,Lg Rank,,24,28,27,14.0,13,14,17.0,26,25,13.0,25,29,4.0,28,16,26,28,15,26,4,11,26,2009
3,Year/Year,,-0.3%,-8.0%,-6.3%,-0.008,-11.7%,-5.9%,-0.024,-7.1%,-6.5%,-0.003,12.7%,7.4%,0.038,-14.4%,-1.6%,-5.1%,-9.9%,-6.9%,5.3%,5.6%,8.8%,-5.0%,2009
4,Opponent,82.0,19755,2851,6329,0.45,575,1625,0.354,2276,4704,0.484,1453,1879,0.773,822,2459,3281,1649,476,290,1089,1675,7730,2009
5,Opponent/G,,240.9,34.8,77.2,0.45,7.0,19.8,0.354,27.8,57.4,0.484,17.7,22.9,0.773,10.0,30.0,40.0,20.1,5.8,3.5,13.3,20.4,94.3,2009
6,Lg Rank,,24,3,3,7.0,20,24,8.0,2,1,15.0,8,7,19.0,4,13,8,11,2,1,23,19,5,2009
7,Year/Year,,-0.3%,-6.2%,-4.2%,-0.01,5.7%,4.7%,0.003,-8.7%,-6.9%,-0.01,19.4%,19.0%,0.003,0.9%,-2.9%,-2.0%,-7.3%,1.3%,-12.4%,-4.1%,6.5%,-1.4%,2009
0,Team,82.0,19830,3178,6842,0.464,571,1572,0.363,2607,5270,0.495,1293,1661,0.778,852,2450,3302,1828,625,300,1103,1606,8220,2010
1,Team/G,,241.8,38.8,83.4,0.464,7.0,19.2,0.363,31.8,64.3,0.495,15.8,20.3,0.778,10.4,29.9,40.3,22.3,7.6,3.7,13.5,19.6,100.2,2010
2,Lg Rank,,12,7,9,13.0,9,9,8.0,13,14,12.0,29,30,7.0,22,24,25,8,9,30,9,6,17,2010
3,Year/Year,,0.4%,9.2%,7.5%,0.007,2.7%,3.0%,-0.001,10.7%,8.9%,0.008,-12.6%,-9.4%,-0.028,6.2%,-0.1%,1.4%,13.6%,5.4%,-11.2%,7.2%,-3.5%,4.6%,2010
4,Opponent,82.0,19830,3250,6730,0.483,539,1517,0.355,2711,5213,0.52,1383,1841,0.751,870,2586,3456,1925,574,367,1177,1597,8422,2010
5,Opponent/G,,241.8,39.6,82.1,0.483,6.6,18.5,0.355,33.1,63.6,0.52,16.9,22.5,0.751,10.6,31.5,42.1,23.5,7.0,4.5,14.4,19.5,102.7,2010
6,Lg Rank,,12,26,15,28.0,19,19,18.0,26,13,29.0,5,4,8.0,11,21,17,26,12,12,14,26,21,2010
7,Year/Year,,0.4%,14.0%,6.3%,0.032,-6.3%,-6.6%,0.001,19.1%,10.8%,0.036,-4.8%,-2.0%,-0.022,5.8%,5.2%,5.3%,16.7%,20.6%,26.6%,8.1%,-4.7%,9.0%,2010
