,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,72.0,17430,3060,6412,0.477,762,2190,0.348,2298,4222,0.544,1369,1878,0.729,845,2568,3413,1872,545,315,1052,1295,8251,2021
1,Team/G,,242.1,42.5,89.1,0.477,10.6,30.4,0.348,31.9,58.6,0.544,19.0,26.1,0.729,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,2021
2,Lg Rank,,6,9,10,7.0,27,25,26.0,2,4,8.0,4,2,29.0,1,3,3,10,15,24,22,4,9,2021
3,Year/Year,,0.0%,-0.2%,-2.8%,0.013,-22.4%,-17.5%,-0.022,10.3%,7.1%,0.016,11.4%,11.3%,0.0,6.0%,0.7%,1.9%,-3.1%,1.1%,-12.0%,-10.9%,-15.0%,-1.1%,2021
4,Opponent,72.0,17430,3016,6431,0.469,1043,2745,0.38,1973,3686,0.535,1197,1516,0.79,644,2366,3010,1866,555,426,961,1534,8272,2021
5,Opponent/G,,242.1,41.9,89.3,0.469,14.5,38.1,0.38,27.4,51.2,0.535,16.6,21.1,0.79,8.9,32.9,41.8,25.9,7.7,5.9,13.3,21.3,114.9,2021
6,Lg Rank,,6,19,21,19.0,29,27,25.0,8,6,18.0,11,11,28.0,3,6,3,25,20,30,18,2,24,2021
7,Year/Year,,0.0%,-2.0%,-2.7%,0.004,18.5%,12.6%,0.019,-10.2%,-11.7%,0.009,-14.5%,-14.6%,0.001,-11.4%,-5.4%,-6.8%,5.8%,-9.8%,22.4%,-8.0%,1.0%,-1.9%,2021
0,Team,82.0,19755,3294,7212,0.457,873,2629,0.332,2421,4583,0.528,1501,1903,0.789,981,2726,3707,2047,680,328,1153,1612,8962,2022
1,Team/G,,240.9,40.2,88.0,0.457,10.6,32.1,0.332,29.5,55.9,0.528,18.3,23.2,0.789,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,109.3,2022
2,Lg Rank,,19,19,16,23.0,28,24,27.0,8,7,20.0,2,6,10.0,3,24,11,13,7,26,17,14,21,2022
3,Year/Year,,-0.5%,-5.5%,-1.2%,-0.02,0.6%,5.4%,-0.016,-7.5%,-4.7%,-0.016,-3.7%,-11.0%,0.06,1.9%,-6.8%,-4.6%,-4.0%,9.6%,-8.6%,-3.8%,9.3%,-4.6%,2022
4,Opponent,82.0,19755,3301,7009,0.471,1064,2913,0.365,2237,4096,0.546,1377,1753,0.786,759,2666,3425,2039,605,391,1164,1681,9043,2022
5,Opponent/G,,240.9,40.3,85.5,0.471,13.0,35.5,0.365,27.3,50.0,0.546,16.8,21.4,0.786,9.3,32.5,41.8,24.9,7.4,4.8,14.2,20.5,110.3,2022
6,Lg Rank,,19,11,4,24.0,22,18,26.0,8,5,24.0,14,12,24.0,1,4,3,15,11,16,9,4,13,2022
7,Year/Year,,-0.5%,-3.9%,-4.3%,0.002,-10.4%,-6.8%,-0.015,-0.4%,-2.4%,0.011,1.0%,1.5%,-0.004,3.5%,-1.1%,-0.1%,-4.1%,-4.3%,-19.4%,6.4%,-3.8%,-4.0%,2022
0,Team,82.0,19855,3447,7180,0.48,899,2468,0.364,2548,4712,0.541,1585,2000,0.793,866,2717,3583,2122,681,337,1196,1678,9378,2023
1,Team/G,,242.1,42.0,87.6,0.48,11.0,30.1,0.364,31.1,57.5,0.541,19.3,24.4,0.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4,2023
2,Lg Rank,,8,16,17,11.0,23,29,15.0,8,10,19.0,8,10,11.0,13,13,13,11,2,24,21,20,15,2023
3,Year/Year,,0.5%,4.6%,-0.4%,0.023,3.0%,-6.1%,0.032,5.2%,2.8%,0.012,5.6%,5.1%,0.004,-11.7%,-0.3%,-3.3%,3.7%,0.1%,2.7%,3.7%,4.1%,4.6%,2023
4,Opponent,82.0,19855,3357,7105,0.472,1002,2953,0.339,2355,4152,0.567,1507,1935,0.779,792,2634,3426,2044,600,386,1228,1673,9223,2023
5,Opponent/G,,242.1,40.9,86.6,0.472,12.2,36.0,0.339,28.7,50.6,0.567,18.4,23.6,0.779,9.7,32.1,41.8,24.9,7.3,4.7,15.0,20.4,112.5,2023
6,Lg Rank,,8,9,7,12.0,14,23,1.0,10,6,26.0,13,15,14.0,6,6,5,8,17,17,9,12,9,2023
7,Year/Year,,0.5%,1.7%,1.4%,0.002,-5.8%,1.4%,-0.026,5.3%,1.4%,0.021,9.4%,10.4%,-0.007,4.3%,-1.2%,0.0%,0.2%,-0.8%,-1.3%,5.5%,-0.5%,2.0%,2023
