,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Team/G,,242.1,35.3,78.5,0.449,4.0,11.0,0.361,31.3,67.6,0.463,19.4,25.1,0.774,12.3,28.3,40.6,20.7,7.4,4.2,16.8,22.9,93.9,2000
2,Lg Rank,,2,27,24,18.0,25,22,13.0,20,14,20.0,10,16,8.0,19,27,28,24,21,26,25,12,26,2000
3,Year/Year,,-0.6%,7.3%,2.3%,0.021,33.5%,20.9%,0.034,4.7%,-0.2%,0.022,-3.7%,-10.8%,0.057,-5.7%,4.3%,1.0%,7.5%,-11.7%,6.0%,-0.7%,2.1%,5.7%,2000
4,Opponent,82.0,19855,3136,6613,0.474,361,1083,0.333,2775,5530,0.502,1530,1989,0.769,970,2336,3306,1932,725,519,1234,1912,8163,2000
5,Opponent/G,,242.1,38.2,80.6,0.474,4.4,13.2,0.333,33.8,67.4,0.502,18.7,24.3,0.769,11.8,28.5,40.3,23.6,8.8,6.3,15.0,23.3,99.5,2000
6,Lg Rank,,2,23,10,28.0,7,12,4.0,23,14,29.0,15,9,27.0,8,3,3,21,25,28,17,13,17,2000
7,Year/Year,,-0.6%,5.5%,2.9%,0.011,-3.9%,1.1%,-0.017,6.8%,3.3%,0.017,-8.6%,-13.4%,0.04,-12.1%,-2.2%,-5.3%,-0.9%,-9.8%,-3.5%,-3.4%,0.1%,2.1%,2000
0,Team,82.0,19780,2870,6539,0.439,325,947,0.343,2545,5592,0.455,1457,1892,0.77,894,2431,3325,1899,586,359,1291,1733,7522,2001
1,Team/G,,241.2,35.0,79.7,0.439,4.0,11.5,0.343,31.0,68.2,0.455,17.8,23.1,0.77,10.9,29.6,40.5,23.2,7.1,4.4,15.7,21.1,91.7,2001
2,Lg Rank,,21,21,15,17.0,23,23,21.0,15,11,18.0,19,24,6.0,26,22,24,8,23,25,20,7,25,2001
3,Year/Year,,-0.4%,-0.8%,1.5%,-0.01,0.3%,5.5%,-0.018,-0.9%,0.9%,-0.008,-8.6%,-8.2%,-0.004,-11.0%,4.6%,-0.1%,11.7%,-3.6%,3.8%,-6.5%,-7.9%,-2.3%,2001
4,Opponent,82.0,19780,3143,6791,0.463,389,1075,0.362,2754,5716,0.482,1317,1798,0.732,1052,2534,3586,1935,710,476,1217,1768,7992,2001
5,Opponent/G,,241.2,38.3,82.8,0.463,4.7,13.1,0.362,33.6,69.7,0.482,16.1,21.9,0.732,12.8,30.9,43.7,23.6,8.7,5.8,14.8,21.6,97.5,2001
6,Lg Rank,,21,28,24,26.0,12,8,22.0,29,24,26.0,4,4,4.0,26,18,22,26,28,21,17,20,26,2001
7,Year/Year,,-0.4%,0.2%,2.7%,-0.011,7.8%,-0.7%,0.029,-0.8%,3.4%,-0.02,-13.9%,-9.6%,-0.037,8.5%,8.5%,8.5%,0.2%,-2.1%,-8.3%,-1.4%,-7.5%,-2.1%,2001
0,Team,82.0,19780,2851,6535,0.436,336,1096,0.307,2515,5439,0.462,1334,1883,0.708,984,2413,3397,1785,646,488,1344,1571,7372,2002
1,Team/G,,241.2,34.8,79.7,0.436,4.1,13.4,0.307,30.7,66.3,0.462,16.3,23.0,0.708,12.0,29.4,41.4,21.8,7.9,6.0,16.4,19.2,89.9,2002
2,Lg Rank,,20,23,22,21.0,23,19,28.0,18,16,16.0,23,20,28.0,16,21,24,16,16,7,27,3,27,2002
3,Year/Year,,0.0%,-0.7%,-0.1%,-0.003,3.4%,15.7%,-0.037,-1.2%,-2.7%,0.007,-8.4%,-0.5%,-0.062,10.1%,-0.7%,2.2%,-6.0%,10.2%,35.9%,4.1%,-9.3%,-2.0%,2002
4,Opponent,82.0,19780,3119,6829,0.457,398,1112,0.358,2721,5717,0.476,1346,1788,0.753,1135,2560,3695,1961,781,457,1207,1784,7982,2002
5,Opponent/G,,241.2,38.0,83.3,0.457,4.9,13.6,0.358,33.2,69.7,0.476,16.4,21.8,0.753,13.8,31.2,45.1,23.9,9.5,5.6,14.7,21.8,97.3,2002
6,Lg Rank,,20,26,23,23.0,7,6,19.0,26,25,22.0,6,7,18.0,29,25,27,25,29,20,13,10,21,2002
7,Year/Year,,0.0%,-0.8%,0.6%,-0.006,2.3%,3.4%,-0.004,-1.2%,0.0%,-0.006,2.2%,-0.6%,0.02,7.9%,1.0%,3.0%,1.3%,10.0%,-4.0%,-0.8%,0.9%,-0.1%,2002
0,Team,82.0,19930,3049,6743,0.452,467,1279,0.365,2582,5464,0.473,1430,1936,0.739,943,2466,3409,1892,651,500,1262,1678,7995,2003
1,Team/G,,243.0,37.2,82.2,0.452,5.7,15.6,0.365,31.5,66.6,0.473,17.4,23.6,0.739,11.5,30.1,41.6,23.1,7.9,6.1,15.4,20.5,97.5,2003
2,Lg Rank,,1,6,9,8.0,9,10,7.0,10,16,9.0,21,18,24.0,20,15,19,6,14,4,20,6,8,2003
3,Year/Year,,0.8%,6.9%,3.2%,0.016,39.0%,16.7%,0.059,2.7%,0.5%,0.01,7.2%,2.8%,0.03,-4.2%,2.2%,0.4%,6.0%,0.8%,2.5%,-6.1%,6.8%,8.5%,2003
4,Opponent,82.0,19930,3224,7008,0.46,431,1188,0.363,2793,5820,0.48,1381,1819,0.759,1126,2555,3681,1991,714,430,1213,1782,8260,2003
5,Opponent/G,,243.0,39.3,85.5,0.46,5.3,14.5,0.363,34.1,71.0,0.48,16.8,22.2,0.759,13.7,31.2,44.9,24.3,8.7,5.2,14.8,21.7,100.7,2003
6,Lg Rank,,1,28,27,28.0,14,12,23.0,28,27,28.0,4,5,14.0,27,21,25,29,24,22,13,16,27,2003
7,Year/Year,,0.8%,3.4%,2.6%,0.003,8.3%,6.8%,0.005,2.6%,1.8%,0.004,2.6%,1.7%,0.006,-0.8%,-0.2%,-0.4%,1.5%,-8.6%,-5.9%,0.5%,-0.1%,3.5%,2003
0,Team,82.0,19880,2963,6657,0.445,447,1314,0.34,2516,5343,0.471,1557,2143,0.727,1047,2381,3428,1915,795,565,1226,1903,7930,2004
1,Team/G,,242.4,36.1,81.2,0.445,5.5,16.0,0.34,30.7,65.2,0.471,19.0,26.1,0.727,12.8,29.0,41.8,23.4,9.7,6.9,15.0,23.2,96.7,2004
2,Lg Rank,,5,7,9,8.0,10,8,20.0,9,15,7.0,10,7,24.0,9,25,17,5,1,2,16,27,7,2004
3,Year/Year,,-0.3%,-2.8%,-1.3%,-0.007,-4.3%,2.7%,-0.025,-2.6%,-2.2%,-0.002,8.9%,10.7%,-0.012,11.0%,-3.4%,0.6%,1.2%,22.1%,13.0%,-2.9%,13.4%,-0.8%,2004
4,Opponent,82.0,19880,2859,6550,0.436,369,1091,0.338,2490,5459,0.456,1643,2150,0.764,1099,2508,3607,1674,673,461,1395,1891,7730,2004
5,Opponent/G,,242.4,34.9,79.9,0.436,4.5,13.3,0.338,30.4,66.6,0.456,20.0,26.2,0.764,13.4,30.6,44.0,20.4,8.2,5.6,17.0,23.1,94.3,2004
6,Lg Rank,,5,13,12,13.0,5,5,9.0,16,22,13.0,26,25,24.0,29,18,26,8,21,25,3,4,15,2004
7,Year/Year,,-0.3%,-11.3%,-6.5%,-0.024,-14.4%,-8.2%,-0.025,-10.8%,-6.2%,-0.024,19.0%,18.2%,0.005,-2.4%,-1.8%,-2.0%,-15.9%,-5.7%,7.2%,15.0%,6.1%,-6.4%,2004
0,Team,82.0,19705,2802,6271,0.447,531,1486,0.357,2271,4785,0.475,1526,2024,0.754,887,2307,3194,1716,699,476,1197,1910,7661,2005
1,Team/G,,240.3,34.2,76.5,0.447,6.5,18.1,0.357,27.7,58.4,0.475,18.6,24.7,0.754,10.8,28.1,39.0,20.9,8.5,5.8,14.6,23.3,93.4,2005
2,Lg Rank,,29,27,29,16.0,8,9,12.0,27,28,9.0,24,23,19.0,25,28,30,20,5,5,19,22,23,2005
3,Year/Year,,-0.9%,-5.4%,-5.8%,0.002,18.8%,13.1%,0.017,-9.7%,-10.4%,0.004,-2.0%,-5.6%,0.027,-15.3%,-3.1%,-6.8%,-10.4%,-12.1%,-15.8%,-2.4%,0.4%,-3.4%,2005
4,Opponent,82.0,19705,2684,6215,0.432,426,1215,0.351,2258,5000,0.452,1679,2179,0.771,993,2387,3380,1633,612,476,1303,1853,7473,2005
5,Opponent/G,,240.3,32.7,75.8,0.432,5.2,14.8,0.351,27.5,61.0,0.452,20.5,26.6,0.771,12.1,29.1,41.2,19.9,7.5,5.8,15.9,22.6,91.1,2005
