,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Team/G,,240.9,36.3,83.9,0.433,5.2,14.3,0.363,31.2,69.6,0.447,19.3,25.2,0.765,13.4,29.9,43.3,23.7,8.1,6.6,13.9,24.3,97.2,2000
2,Lg Rank,,22,19,8,25.0,12,13,11.0,22,11,26.0,11,15,10.0,7,19,11,6,11,3,3,22,17,2000
3,Year/Year,,-0.2%,9.5%,6.5%,0.012,14.7%,7.9%,0.022,8.6%,6.2%,0.01,-4.5%,-5.2%,0.005,-6.0%,3.2%,0.2%,14.6%,-7.5%,3.3%,-13.2%,6.5%,6.6%,2000
4,Opponent,82.0,19755,3002,6615,0.454,346,1021,0.339,2656,5594,0.475,1631,2136,0.764,961,2552,3513,1790,557,434,1250,1874,7981,2000
5,Opponent/G,,240.9,36.6,80.7,0.454,4.2,12.5,0.339,32.4,68.2,0.475,19.9,26.0,0.764,11.7,31.1,42.8,21.8,6.8,5.3,15.2,22.9,97.3,2000
6,Lg Rank,,22,13,11,17.0,2,6,7.0,17,15,19.0,21,18,25.0,5,21,14,10,1,19,15,17,13,2000
7,Year/Year,,-0.2%,8.1%,4.6%,0.014,-17.3%,-9.2%,-0.033,12.5%,7.6%,0.021,-0.1%,-4.8%,0.036,-4.6%,11.7%,6.7%,-0.3%,-23.8%,2.6%,-1.4%,5.0%,4.9%,2000
0,Team,82.0,19955,3048,6972,0.437,429,1164,0.369,2619,5808,0.451,1482,1984,0.747,1118,2529,3647,2004,599,519,1080,1745,8007,2001
1,Team/G,,243.4,37.2,85.0,0.437,5.2,14.2,0.369,31.9,70.8,0.451,18.1,24.2,0.747,13.6,30.8,44.5,24.4,7.3,6.3,13.2,21.3,97.6,2001
2,Lg Rank,,4,6,2,19.0,12,11,6.0,9,4,22.0,16,18,17.0,2,11,6,3,21,3,1,9,5,2001
3,Year/Year,,1.0%,2.3%,1.3%,0.004,0.9%,-0.6%,0.006,2.5%,1.7%,0.004,-6.4%,-4.1%,-0.018,1.8%,3.3%,2.8%,2.9%,-10.1%,-4.6%,-5.0%,-12.3%,0.5%,2001
4,Opponent,82.0,19955,3009,6725,0.447,379,1045,0.363,2630,5680,0.463,1425,1890,0.754,926,2511,3437,1696,561,439,1156,1792,7822,2001
5,Opponent/G,,243.4,36.7,82.0,0.447,4.6,12.7,0.363,32.1,69.3,0.463,17.4,23.0,0.754,11.3,30.6,41.9,20.7,6.8,5.4,14.1,21.9,95.4,2001
6,Lg Rank,,4,22,19,20.0,10,6,23.0,21,23,19.0,8,8,20.0,7,16,11,8,1,16,23,17,12,2001
7,Year/Year,,1.0%,0.2%,1.7%,-0.006,9.5%,2.4%,0.024,-1.0%,1.5%,-0.012,-12.6%,-11.5%,-0.01,-3.6%,-1.6%,-2.2%,-5.3%,0.7%,1.2%,-7.5%,-4.4%,-2.0%,2001
0,Team,82.0,19755,2919,6727,0.434,387,1109,0.349,2532,5618,0.451,1269,1717,0.739,1114,2336,3450,1779,688,454,1174,1771,7494,2002
1,Team/G,,240.9,35.6,82.0,0.434,4.7,13.5,0.349,30.9,68.5,0.451,15.5,20.9,0.739,13.6,28.5,42.1,21.7,8.4,5.5,14.3,21.6,91.4,2002
2,Lg Rank,,24,16,11,23.0,19,18,17.0,16,9,24.0,26,26,23.0,3,27,17,17,8,12,13,17,25,2002
3,Year/Year,,-1.0%,-4.2%,-3.5%,-0.003,-9.8%,-4.7%,-0.02,-3.3%,-3.3%,-0.0,-14.4%,-13.5%,-0.008,-0.4%,-7.6%,-5.4%,-11.2%,14.9%,-12.5%,8.7%,1.5%,-6.4%,2002
4,Opponent,82.0,19755,2820,6390,0.441,377,1089,0.346,2443,5301,0.461,1513,2011,0.752,995,2436,3431,1629,628,393,1250,1612,7530,2002
5,Opponent/G,,240.9,34.4,77.9,0.441,4.6,13.3,0.346,29.8,64.6,0.461,18.5,24.5,0.752,12.1,29.7,41.8,19.9,7.7,4.8,15.2,19.7,91.8,2002
6,Lg Rank,,24,5,3,11.0,4,3,8.0,6,7,10.0,19,17,17.0,13,11,10,5,15,9,8,28,4,2002
7,Year/Year,,-1.0%,-6.3%,-5.0%,-0.006,-0.5%,4.2%,-0.016,-7.1%,-6.7%,-0.002,6.2%,6.4%,-0.002,7.5%,-3.0%,-0.2%,-4.0%,11.9%,-10.5%,8.1%,-10.0%,-3.7%,2002
0,Team,82.0,19805,2847,6664,0.427,409,1193,0.343,2438,5471,0.446,1350,1879,0.718,1023,2355,3378,1583,609,392,1181,1761,7453,2003
1,Team/G,,241.5,34.7,81.3,0.427,5.0,14.5,0.343,29.7,66.7,0.446,16.5,22.9,0.718,12.5,28.7,41.2,19.3,7.4,4.8,14.4,21.5,90.9,2003
2,Lg Rank,,20,22,14,25.0,14,14,19.0,22,15,26.0,25,22,28.0,9,29,21,26,21,19,11,12,27,2003
3,Year/Year,,0.3%,-2.5%,-0.9%,-0.007,5.7%,7.6%,-0.006,-3.7%,-2.6%,-0.005,6.4%,9.4%,-0.021,-8.2%,0.8%,-2.1%,-11.0%,-11.5%,-13.7%,0.6%,-0.6%,-0.5%,2003
4,Opponent,82.0,19805,3037,6592,0.461,370,986,0.375,2667,5606,0.476,1490,1964,0.759,976,2601,3577,1729,604,406,1125,1702,7934,2003
5,Opponent/G,,241.5,37.0,80.4,0.461,4.5,12.0,0.375,32.5,68.4,0.476,18.2,24.0,0.759,11.9,31.7,43.6,21.1,7.4,5.0,13.7,20.8,96.8,2003
6,Lg Rank,,20,25,13,29.0,5,2,28.0,27,24,23.0,14,14,13.0,16,25,23,10,6,12,25,21,19,2003
7,Year/Year,,0.3%,7.7%,3.2%,0.019,-1.9%,-9.5%,0.029,9.2%,5.8%,0.015,-1.5%,-2.3%,0.006,-1.9%,6.8%,4.3%,6.1%,-3.8%,3.3%,-10.0%,5.6%,5.4%,2003
0,Team,82.0,19980,2654,6348,0.418,461,1294,0.356,2193,5054,0.434,1237,1650,0.75,830,2419,3249,1574,604,402,1164,1748,7006,2004
1,Team/G,,243.7,32.4,77.4,0.418,5.6,15.8,0.356,26.7,61.6,0.434,15.1,20.1,0.75,10.1,29.5,39.6,19.2,7.4,4.9,14.2,21.3,85.4,2004
2,Lg Rank,,1,29,24,28.0,8,9,8.0,29,24,28.0,29,29,19.0,29,18,28,27,20,14,8,17,29,2004
3,Year/Year,,0.9%,-6.8%,-4.7%,-0.009,12.7%,8.5%,0.013,-10.0%,-7.6%,-0.012,-8.4%,-12.2%,0.031,-18.9%,2.7%,-3.8%,-0.6%,-0.8%,2.6%,-1.4%,-0.7%,-6.0%,2004
4,Opponent,82.0,19980,2722,6365,0.428,273,889,0.307,2449,5476,0.447,1536,2055,0.747,1034,2662,3696,1518,590,333,1196,1619,7253,2004
5,Opponent/G,,243.7,33.2,77.6,0.428,3.3,10.8,0.307,29.9,66.8,0.447,18.7,25.1,0.747,12.6,32.5,45.1,18.5,7.2,4.1,14.6,19.7,88.5,2004
6,Lg Rank,,1,8,5,6.0,1,1,2.0,14,23,6.0,19,20,12.0,20,28,29,2,5,3,19,26,6,2004
7,Year/Year,,0.9%,-10.4%,-3.4%,-0.033,-26.2%,-9.8%,-0.068,-8.2%,-2.3%,-0.029,3.1%,4.6%,-0.011,5.9%,2.3%,3.3%,-12.2%,-2.3%,-18.0%,6.3%,-4.9%,-8.6%,2004
0,Team,82.0,19805,2952,6656,0.444,648,1681,0.385,2304,4975,0.463,1626,2101,0.774,844,2444,3288,1670,621,317,1087,1876,8178,2005
1,Team/G,,241.5,36.0,81.2,0.444,7.9,20.5,0.385,28.1,60.7,0.463,19.8,25.6,0.774,10.3,29.8,40.1,20.4,7.6,3.9,13.3,22.9,99.7,2005
2,Lg Rank,,17,15,11,19.0,3,5,2.0,24,25,21.0,15,17,10.0,30,15,27,23,15,25,3,16,7,2005
3,Year/Year,,-0.9%,11.2%,4.9%,0.025,40.6%,29.9%,0.029,5.1%,-1.6%,0.029,31.4%,27.3%,0.024,1.7%,1.0%,1.2%,6.1%,2.8%,-21.1%,-6.6%,7.3%,16.7%,2005
4,Opponent,82.0,19805,3133,6708,0.467,435,1222,0.356,2698,5486,0.492,1610,2165,0.744,991,2720,3711,1814,507,360,1182,1795,8311,2005
5,Opponent/G,,241.5,38.2,81.8,0.467,5.3,14.9,0.356,32.9,66.9,0.492,19.6,26.4,0.744,12.1,33.2,45.3,22.1,6.2,4.4,14.4,21.9,101.4,2005
6,Lg Rank,,17,26,21,29.0,7,6,12.0,28,24,28.0,16,18,4.0,19,29,28,23,1,6,17,20,25,2005
7,Year/Year,,-0.9%,15.1%,5.4%,0.039,59.3%,37.5%,0.049,10.2%,0.2%,0.045,4.8%,5.4%,-0.004,-4.2%,2.2%,0.4%,19.5%,-14.1%,8.1%,-1.2%,10.9%,14.6%,2005
0,Team,82.0,19955,3013,6639,0.454,608,1620,0.375,2405,5019,0.479,1653,2089,0.791,864,2291,3155,1593,529,272,1071,1965,8287,2006
1,Team/G,,243.4,36.7,81.0,0.454,7.4,19.8,0.375,29.3,61.2,0.479,20.2,25.5,0.791,10.5,27.9,38.5,19.4,6.5,3.3,13.1,24.0,101.1,2006
2,Lg Rank,,1,5,8,15.0,3,4,7.0,25,22,13.0,14,22,2.0,20,26,29,21,26,28,2,25,4,2006
3,Year/Year,,0.8%,2.1%,-0.3%,0.01,-6.2%,-3.6%,-0.01,4.4%,0.9%,0.016,1.7%,-0.6%,0.017,2.4%,-6.3%,-4.0%,-4.6%,-14.8%,-14.2%,-1.5%,4.7%,1.3%,2006
4,Opponent,82.0,19955,3164,6448,0.491,508,1363,0.373,2656,5085,0.522,1696,2267,0.748,835,2539,3374,1938,518,359,1165,1834,8532,2006
5,Opponent/G,,243.4,38.6,78.6,0.491,6.2,16.6,0.373,32.4,62.0,0.522,20.7,27.6,0.748,10.2,31.0,41.1,23.6,6.3,4.4,14.2,22.4,104.0,2006
6,Lg Rank,,1,28,13,30.0,24,19,26.0,28,9,30.0,24,23,22.0,5,25,18,28,2,10,17,21,29,2006
7,Year/Year,,0.8%,1.0%,-3.9%,0.024,16.8%,11.5%,0.017,-1.6%,-7.3%,0.031,5.3%,4.7%,0.004,-15.7%,-6.7%,-9.1%,6.8%,2.2%,-0.3%,-1.4%,2.2%,2.7%,2006
0,Team,82.0,19755,3032,6547,0.463,531,1464,0.363,2501,5083,0.492,1562,1982,0.788,755,2480,3235,1822,581,321,1104,1672,8157,2007
1,Team/G,,240.9,37.0,79.8,0.463,6.5,17.9,0.363,30.5,62.0,0.492,19.0,24.2,0.788,9.2,30.2,39.5,22.2,7.1,3.9,13.5,20.4,99.5,2007
2,Lg Rank,,27,10,13,11.0,9,11,9.0,15,20,10.0,17,23,5.0,29,14,27,10,19,25,2,5,11,2007
3,Year/Year,,-1.0%,0.6%,-1.4%,0.009,-12.7%,-9.6%,-0.013,4.0%,1.3%,0.013,-5.5%,-5.1%,-0.003,-12.6%,8.2%,2.5%,14.4%,9.8%,18.0%,3.1%,-14.9%,-1.6%,2007
4,Opponent,82.0,19755,3051,6593,0.463,533,1491,0.357,2518,5102,0.494,1441,1911,0.754,848,2641,3489,1742,489,317,1241,1786,8076,2007
5,Opponent/G,,240.9,37.2,80.4,0.463,6.5,18.2,0.357,30.7,62.2,0.494,17.6,23.3,0.754,10.3,32.2,42.5,21.2,6.0,3.9,15.1,21.8,98.5,2007
6,Lg Rank,,27,20,21,21.0,22,22,17.0,17,11,23.0,4,4,18.0,7,28,24,17,1,5,15,19,16,2007
7,Year/Year,,-1.0%,-3.6%,2.2%,-0.028,4.9%,9.4%,-0.015,-5.2%,0.3%,-0.029,-15.0%,-15.7%,0.006,1.6%,4.0%,3.4%,-10.1%,-5.6%,-11.7%,6.5%,-2.6%,-5.3%,2007
0,Team,82.0,19830,3148,6726,0.468,572,1459,0.392,2576,5267,0.489,1347,1658,0.812,790,2496,3286,1953,570,336,959,1596,8215,2008
1,Team/G,,241.8,38.4,82.0,0.468,7.0,17.8,0.392,31.4,64.2,0.489,16.4,20.2,0.812,9.6,30.4,40.1,23.8,7.0,4.1,11.7,19.5,100.2,2008
