,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
4,Opponent,82.0,19855,3551,7433,0.478,1719,2337,0.736,1162.0,2619.0,3781,2122,1994,8821,1974,707.0,375.0,1737.0,,,,,,
5,Opponent/G,,242.1,43.3,90.6,0.478,21.0,28.5,0.736,14.2,31.9,46.1,25.9,24.3,107.6,1974,8.6,4.6,21.2,,,,,,
6,Lg Rank,,1,7,4,16.0,13,14,1.0,6.0,3.0,3,13,7,11,1974,6.0,8.0,8.0,,,,,,
7,Year/Year,,0.9%,-7.1%,-8.4%,0.007,-1.4%,2.1%,-0.026,,,-12.8%,0.9%,4.8%,-6.1%,1974,,,,,,,,,
0,Team,82.0,19780,3448,7231,0.477,1625,2034,0.799,1177,2495,3672,2155,2068,8521,1975,746,351,1759,,,,,,
1,Team/G,,241.2,42.0,88.2,0.477,19.8,24.8,0.799,14.4,30.4,44.8,26.3,25.2,103.9,1975,9.1,4.3,21.5,,,,,,
2,Lg Rank,,11,7,15,2.0,8,10,2.0,7,18,15,3,14,6,1975,6,10,14,,,,,,
3,Year/Year,,-0.4%,-3.3%,-2.6%,-0.003,-3.4%,-1.8%,-0.013,10.7%,-3.6%,0.6%,-2.6%,-1.7%,-3.3%,1975,2.6%,-13.8%,4.6%,,,,,,
4,Opponent,82.0,19780,3429,7127,0.481,1576,2127,0.741,1036,2380,3416,2024,2063,8434,1975,750,308,1685,,,,,,
5,Opponent/G,,241.2,41.8,86.9,0.481,19.2,25.9,0.741,12.6,29.0,41.7,24.7,25.2,102.9,1975,9.1,3.8,20.5,,,,,,
6,Lg Rank,,11,10,2,18.0,10,14,1.0,2,1,1,12,5,10,1975,13,6,5,,,,,,
7,Year/Year,,-0.4%,-3.4%,-4.1%,0.003,-8.3%,-9.0%,0.005,-10.8%,-9.1%,-9.7%,-4.6%,3.5%,-4.4%,1975,6.1%,-17.9%,-3.0%,,,,,,
0,Team,82.0,19755,3546,7304,0.485,1616,2046,0.79,1059,2644,3703,2213,2045,8708,1976,656,359,1665,,,,,,
1,Team/G,,240.9,43.2,89.1,0.485,19.7,25.0,0.79,12.9,32.2,45.2,27.0,24.9,106.2,1976,8.0,4.4,20.3,,,,,,
2,Lg Rank,,13,3,15,1.0,13,15,1.0,15,13,17,1,12,6,1976,14,9,13,,,,,,
3,Year/Year,,-0.1%,2.8%,1.0%,0.009,-0.6%,0.6%,-0.009,-10.0%,6.0%,0.8%,2.7%,-1.1%,2.2%,1976,-12.1%,2.3%,-5.3%,,,,,,
4,Opponent,82.0,19755,3603,7551,0.477,1568,2072,0.757,1116,2473,3589,2028,2050,8774,1976,684,311,1522,,,,,,
5,Opponent/G,,240.9,43.9,92.1,0.477,19.1,25.3,0.757,13.6,30.2,43.8,24.7,25.0,107.0,1976,8.3,3.8,18.6,,,,,,
6,Lg Rank,,13,18,11,17.0,3,2,12.0,4,1,1,15,10,18,1976,7,1,13,,,,,,
7,Year/Year,,-0.1%,5.1%,5.9%,-0.004,-0.5%,-2.6%,0.016,7.7%,3.9%,5.1%,0.2%,-0.6%,4.0%,1976,-8.8%,1.0%,-9.7%,,,,,,
0,Team,82.0,19780,3535,7325,0.483,1656,2103,0.787,1254,2632,3886,1913,2132,8726,1977,616,411,1600,,,,,,
1,Team/G,,241.2,43.1,89.3,0.483,20.2,25.6,0.787,15.3,32.1,47.4,23.3,26.0,106.4,1977,7.5,5.0,19.5,,,,,,
2,Lg Rank,,6,10,17,4.0,12,17,3.0,9,10,10,16,15,12,1977,19,13,5,,,,,,
3,Year/Year,,0.1%,-0.3%,0.3%,-0.003,2.5%,2.8%,-0.002,18.4%,-0.5%,4.9%,-13.6%,4.3%,0.2%,1977,-6.1%,14.5%,-3.9%,,,,,,
4,Opponent,82.0,19780,3424,7356,0.465,1746,2252,0.775,1121,2232,3353,1883,1978,8594,1977,547,350,1395,,,,,,
5,Opponent/G,,241.2,41.8,89.7,0.465,21.3,27.5,0.775,13.7,27.2,40.9,23.0,24.1,104.8,1977,6.7,4.3,17.0,,,,,,
6,Lg Rank,,6,9,8,12.0,12,9,22.0,4,1,1,7,15,7,1977,1,3,21,,,,,,
7,Year/Year,,0.1%,-5.0%,-2.6%,-0.012,11.4%,8.7%,0.019,0.4%,-9.7%,-6.6%,-7.1%,-3.5%,-2.1%,1977,-20.0%,12.5%,-8.3%,,,,,,
0,Team,82.0,19730,3523,7691,0.458,1467,1896,0.774,1301,2421,3722,1942,2025,8513,1978,683,319,1376,,,,,,
