,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
4,Opponent,81.0,19540,,,,,,,,,,,,9334,1967,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,115.2,1967,,,,,,,,,
6,Lg Rank,,5,,,,,,,,,,,,2,1967,,,,,,,,,
7,Year/Year,,0.5%,,,,,,,,,,,,2.9%,1967,,,,,,,,,
0,Team,82.0,19880,3504,7765,0.451,2258,3111,0.726,,,5325,1988,2046,9266,1968,,,,,,,,,
1,Team/G,,242.4,42.7,94.7,0.451,27.5,37.9,0.726,,,64.9,24.2,25.0,113.0,1968,,,,,,,,,
2,Lg Rank,,1,11,12,5.0,3,5,6.0,,,8,4,3,10,1968,,,,,,,,,
3,Year/Year,,0.5%,-2.4%,-4.2%,0.008,5.7%,3.2%,0.018,,,0.8%,15.0%,-7.0%,-0.6%,1968,,,,,,,,,
4,Opponent,82.0,19880,,,,,,,,,,,,9042,1968,,,,,,,,,
5,Opponent/G,,242.4,,,,,,,,,,,,110.3,1968,,,,,,,,,
6,Lg Rank,,1,,,,,,,,,,,,1,1968,,,,,,,,,
7,Year/Year,,0.5%,,,,,,,,,,,,-4.3%,1968,,,,,,,,,
0,Team,82.0,19730,3605,7844,0.46,1913,2785,0.687,,,4599,2069,2082,9123,1969,,,,,,,,,
1,Team/G,,240.6,44.0,95.7,0.46,23.3,34.0,0.687,,,56.1,25.2,25.4,111.3,1969,,,,,,,,,
2,Lg Rank,,12,5,11,3.0,12,9,12.0,,,7,2,6,9,1969,,,,,,,,,
3,Year/Year,,-0.8%,2.9%,1.0%,0.008,-15.3%,-10.5%,-0.039,,,-13.6%,4.1%,1.8%,-1.5%,1969,,,,,,,,,
4,Opponent,82.0,19730,,,,,,,,,,,,8942,1969,,,,,,,,,
5,Opponent/G,,240.6,,,,,,,,,,,,109.0,1969,,,,,,,,,
6,Lg Rank,,12,,,,,,,,,,,,5,1969,,,,,,,,,
7,Year/Year,,-0.8%,,,,,,,,,,,,-1.1%,1969,,,,,,,,,
0,Team,82.0,19780,3817,7907,0.483,2012,2669,0.754,,,4210,2142,2016,9646,1970,,,,,,,,,
1,Team/G,,241.2,46.5,96.4,0.483,24.5,32.5,0.754,,,51.3,26.1,24.6,117.6,1970,,,,,,,,,
2,Lg Rank,,8,5,12,2.0,9,9,7.0,,,9,3,6,6,1970,,,,,,,,,
3,Year/Year,,0.3%,5.9%,0.8%,0.023,5.2%,-4.2%,0.067,,,-8.5%,3.5%,-3.2%,5.7%,1970,,,,,,,,,
4,Opponent,82.0,19780,,,,,,,,,,,,9612,1970,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,117.2,1970,,,,,,,,,
6,Lg Rank,,8,,,,,,,,,,,,8,1970,,,,,,,,,
7,Year/Year,,0.3%,,,,,,,,,,,,7.5%,1970,,,,,,,,,
0,Team,82.0,19755,3614,7779,0.465,2120,2975,0.713,,,4472,1906,1958,9348,1971,,,,,,,,,
1,Team/G,,240.9,44.1,94.9,0.465,25.9,36.3,0.713,,,54.5,23.2,23.9,114.0,1971,,,,,,,,,
2,Lg Rank,,8,9,13,3.0,5,2,16.0,,,5,13,7,8,1971,,,,,,,,,
3,Year/Year,,-0.1%,-5.3%,-1.6%,-0.018,5.4%,11.5%,-0.041,,,6.2%,-11.0%,-2.9%,-3.1%,1971,,,,,,,,,
4,Opponent,82.0,19755,3801,8525,0.446,1893,2515,0.753,,,4279,1996,2074,9495,1971,,,,,,,,,
5,Opponent/G,,240.9,46.4,104.0,0.446,23.1,30.7,0.753,,,52.2,24.3,25.3,115.8,1971,,,,,,,,,
6,Lg Rank,,8,15,17,6.0,5,5,15.0,,,6,10,6,14,1971,,,,,,,,,
7,Year/Year,,-0.1%,,,,,,,,,,,,-1.2%,1971,,,,,,,,,
0,Team,82.0,19730,3482,7570,0.46,2018,2725,0.741,,,4080,1897,1967,8982,1972,,,,,,,,,
1,Team/G,,240.6,42.5,92.3,0.46,24.6,33.2,0.741,,,49.8,23.1,24.0,109.5,1972,,,,,,,,,
2,Lg Rank,,14,10,14,4.0,6,4,11.0,,,12,12,11,8,1972,,,,,,,,,
3,Year/Year,,-0.1%,-3.7%,-2.7%,-0.005,-4.8%,-8.4%,0.028,,,-8.8%,-0.5%,0.5%,-3.9%,1972,,,,,,,,,
4,Opponent,82.0,19730,3601,7744,0.465,1925,2530,0.761,,,4004,1890,1996,9127,1972,,,,,,,,,
5,Opponent/G,,240.6,43.9,94.4,0.465,23.5,30.9,0.761,,,48.8,23.0,24.3,111.3,1972,,,,,,,,,
6,Lg Rank,,14,11,6,13.0,10,8,14.0,,,3,6,5,12,1972,,,,,,,,,
7,Year/Year,,-0.1%,-5.3%,-9.2%,0.019,1.7%,0.6%,0.008,,,-6.4%,-5.3%,-3.8%,-3.9%,1972,,,,,,,,,
0,Team,82.0,19830,3700,8033,0.461,1819,2482,0.733,,,4174,2074,1916,9219,1973,,,,,,,,,
1,Team/G,,241.8,45.1,98.0,0.461,22.2,30.3,0.733,,,50.9,25.3,23.4,112.4,1973,,,,,,,,,
2,Lg Rank,,1,6,5,7.0,2,1,15.0,,,6,9,10,3,1973,,,,,,,,,
3,Year/Year,,0.5%,6.3%,6.1%,0.001,-9.9%,-8.9%,-0.008,,,2.3%,9.3%,-2.6%,2.6%,1973,,,,,,,,,
4,Opponent,82.0,19830,3758,8152,0.461,1696,2193,0.773,,,4147,2020,2104,9212,1973,,,,,,,,,
5,Opponent/G,,241.8,45.8,99.4,0.461,20.7,26.7,0.773,,,50.6,24.6,25.7,112.3,1973,,,,,,,,,
6,Lg Rank,,1,13,14,9.0,11,11,15.0,,,10,8,1,12,1973,,,,,,,,,
7,Year/Year,,0.5%,4.4%,5.3%,-0.004,-11.9%,-13.3%,0.013,,,3.6%,6.9%,5.4%,0.9%,1973,,,,,,,,,
0,Team,82.0,19755,3602,7744,0.465,1703,2264,0.752,1240.0,2712.0,3952,1993,2073,8907,1974,758.0,332.0,1823.0,,,,,,
1,Team/G,,240.9,43.9,94.4,0.465,20.8,27.6,0.752,15.1,33.1,48.2,24.3,25.3,108.6,1974,9.2,4.0,22.2,,,,,,
2,Lg Rank,,6,5,8,5.0,4,3,16.0,8.0,9.0,8,10,14,5,1974,7.0,10.0,14.0,,,,,,
3,Year/Year,,-0.4%,-2.6%,-3.6%,0.005,-6.4%,-8.8%,0.019,,,-5.3%,-3.9%,8.2%,-3.4%,1974,,,,,,,,,
