,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
3,Year/Year,,-0.4%,-4.4%,-1.4%,-0.015,-2.7%,29.8%,-0.078,-4.4%,-2.3%,-0.011,-4.3%,-5.9%,0.013,-8.1%,0.6%,-2.6%,-5.6%,-3.3%,0.6%,-4.4%,1986,-7.6%,-0.7%
4,Opponent,82.0,19755,3638,7404,0.491,60,262,0.229,3578,7142,0.501,1967,2693,0.73,1295,2732,4027,2106,1741,2117,9303,1986,639,484
5,Opponent/G,,240.9,44.4,90.3,0.491,0.7,3.2,0.229,43.6,87.1,0.501,24.0,32.8,0.73,15.8,33.3,49.1,25.7,21.2,25.8,113.5,1986,7.8,5.9
6,Lg Rank,,20,19,18,12.0,3,10,2.0,20,18,15.0,14,21,1.0,23,23,23,11,1,8,19,1986,3,21
7,Year/Year,,-0.4%,-3.6%,0.3%,-0.02,-6.2%,3.1%,-0.023,-3.6%,0.2%,-0.02,-3.0%,1.7%,-0.035,9.7%,4.0%,5.7%,-2.2%,-0.2%,-2.8%,-3.5%,1986,-4.6%,-17.8%
0,Team,82.0,19780,3744,7951,0.471,106,391,0.271,3638,7560,0.481,1975,2568,0.769,1294,2368,3662,2317,1216,2184,9569,1987,754,421
1,Team/G,,241.2,45.7,97.0,0.471,1.3,4.8,0.271,44.4,92.2,0.481,24.1,31.3,0.769,15.8,28.9,44.7,28.3,14.8,26.6,116.7,1987,9.2,5.1
2,Lg Rank,,13,1,1,19.0,12,10,15.0,1,1,19.0,7,8,9.0,4,15,8,5,2,21,3,1987,7,14
3,Year/Year,,0.1%,1.1%,1.1%,-0.0,49.3%,28.2%,0.038,0.1%,-0.0%,0.001,2.4%,6.3%,-0.029,5.8%,2.2%,3.4%,8.3%,-9.0%,0.9%,1.7%,1987,-8.7%,0.0%
4,Opponent,82.0,19780,3636,7343,0.495,113,361,0.313,3523,6982,0.505,2255,2901,0.777,1166,2720,3886,2189,1564,2145,9640,1987,558,452
5,Opponent/G,,241.2,44.3,89.5,0.495,1.4,4.4,0.313,43.0,85.1,0.505,27.5,35.4,0.777,14.2,33.2,47.4,26.7,19.1,26.2,117.6,1987,6.8,5.5
6,Lg Rank,,13,19,16,21.0,9,9,16.0,19,15,21.0,22,22,21.0,7,23,22,16,2,2,23,1987,1,11
7,Year/Year,,0.1%,-0.1%,-0.8%,0.004,88.3%,37.8%,0.084,-1.5%,-2.2%,0.004,14.6%,7.7%,0.047,-10.0%,-0.4%,-3.5%,3.9%,-10.2%,1.3%,3.6%,1987,-12.7%,-6.6%
0,Team,82.0,19780,3770,7961,0.474,192,562,0.342,3578,7399,0.484,1841,2289,0.804,1163,2442,3605,2300,1186,1982,9573,1988,832,401
1,Team/G,,241.2,46.0,97.1,0.474,2.3,6.9,0.342,43.6,90.2,0.484,22.5,27.9,0.804,14.2,29.8,44.0,28.0,14.5,24.2,116.7,1988,10.1,4.9
2,Lg Rank,,9,1,1,16.0,3,4,4.0,1,1,16.0,10,19,1.0,14,10,10,7,1,12,1,1988,1,16
3,Year/Year,,0.0%,0.7%,0.1%,0.003,81.1%,43.7%,0.071,-1.6%,-2.1%,0.002,-6.8%,-10.9%,0.035,-10.1%,3.1%,-1.6%,-0.7%,-2.5%,-9.2%,0.0%,1988,10.3%,-4.8%
4,Opponent,82.0,19780,3608,7356,0.49,113,377,0.3,3495,6979,0.501,1910,2508,0.762,1179,2748,3927,2171,1606,1989,9239,1988,621,510
5,Opponent/G,,241.2,44.0,89.7,0.49,1.4,4.6,0.3,42.6,85.1,0.501,23.3,30.6,0.762,14.4,33.5,47.9,26.5,19.6,24.3,112.7,1988,7.6,6.2
6,Lg Rank,,9,19,17,17.0,4,8,5.0,21,18,17.0,17,19,10.0,16,23,23,15,2,9,19,1988,4,19
7,Year/Year,,0.0%,-0.8%,0.2%,-0.005,0.0%,4.4%,-0.013,-0.8%,-0.0%,-0.004,-15.3%,-13.5%,-0.016,1.1%,1.0%,1.1%,-0.8%,2.7%,-7.3%,-4.2%,1988,11.3%,12.8%
0,Team,82.0,19880,3813,8140,0.468,228,676,0.337,3585,7464,0.48,1821,2314,0.787,1206,2513,3719,2282,1225,2088,9675,1989,811,436
1,Team/G,,242.4,46.5,99.3,0.468,2.8,8.2,0.337,43.7,91.0,0.48,22.2,28.2,0.787,14.7,30.6,45.4,27.8,14.9,25.5,118.0,1989,9.9,5.3
2,Lg Rank,,2,1,1,18.0,4,5,6.0,2,1,19.0,11,17,8.0,10,7,4,2,2,22,2,1989,9,10
3,Year/Year,,0.5%,1.1%,2.2%,-0.005,18.8%,20.3%,-0.004,0.2%,0.9%,-0.003,-1.1%,1.1%,-0.017,3.7%,2.9%,3.2%,-0.8%,3.3%,5.3%,1.1%,1989,-2.5%,8.7%
4,Opponent,82.0,19880,3701,7484,0.495,157,446,0.352,3544,7038,0.504,1977,2683,0.737,1136,2864,4000,2136,1597,2001,9536,1989,665,485
5,Opponent/G,,242.4,45.1,91.3,0.495,1.9,5.4,0.352,43.2,85.8,0.504,24.1,32.7,0.737,13.9,34.9,48.8,26.0,19.5,24.4,116.3,1989,8.1,5.9
6,Lg Rank,,2,24,21,22.0,7,3,23.0,24,22,21.0,21,24,1.0,7,25,24,19,3,7,24,1989,6,18
7,Year/Year,,0.5%,2.6%,1.7%,0.004,38.9%,18.3%,0.052,1.4%,0.8%,0.003,3.5%,7.0%,-0.025,-3.6%,4.2%,1.9%,-1.6%,-0.6%,0.6%,3.2%,1989,7.1%,-4.9%
0,Team,82.0,19805,3716,8015,0.464,228,677,0.337,3488,7338,0.475,1737,2201,0.789,1169,2532,3701,2275,1136,2047,9397,1990,814,329
1,Team/G,,241.5,45.3,97.7,0.464,2.8,8.3,0.337,42.5,89.5,0.475,21.2,26.8,0.789,14.3,30.9,45.1,27.7,13.9,25.0,114.6,1990,9.9,4.0
2,Lg Rank,,14,1,1,21.0,8,6,8.0,2,2,21.0,15,18,5.0,12,5,6,2,1,23,3,1990,2,24
3,Year/Year,,-0.4%,-2.5%,-1.5%,-0.005,0.0%,0.1%,-0.0,-2.7%,-1.7%,-0.005,-4.6%,-4.9%,0.002,-3.1%,0.8%,-0.5%,-0.3%,-7.3%,-2.0%,-2.9%,1990,0.4%,-24.5%
4,Opponent,82.0,19805,3589,7334,0.489,164,517,0.317,3425,6817,0.502,1939,2517,0.77,1021,2846,3867,2073,1514,1911,9281,1990,613,462
5,Opponent/G,,241.5,43.8,89.4,0.489,2.0,6.3,0.317,41.8,83.1,0.502,23.6,30.7,0.77,12.5,34.7,47.2,25.3,18.5,23.3,113.2,1990,7.5,5.6
6,Lg Rank,,14,25,21,23.0,9,8,9.0,25,21,23.0,23,23,18.0,2,27,26,16,1,11,25,1990,3,23
7,Year/Year,,-0.4%,-3.0%,-2.0%,-0.005,4.5%,15.9%,-0.035,-3.4%,-3.1%,-0.001,-1.9%,-6.2%,0.033,-10.1%,-0.6%,-3.3%,-2.9%,-5.2%,-4.5%,-2.7%,1990,-7.8%,-4.7%
0,Team,82.0,19730,3901,8868,0.44,300,1059,0.283,3601,7809,0.461,1726,2263,0.763,1520,2530,4050,2005,1332,2235,9828,1991,856,406
1,Team/G,,240.6,47.6,108.1,0.44,3.7,12.9,0.283,43.9,95.2,0.461,21.0,27.6,0.763,18.5,30.9,49.4,24.5,16.2,27.3,119.9,1991,10.4,5.0
2,Lg Rank,,25,1,1,27.0,3,1,23.0,1,1,24.0,12,12,14.0,1,5,1,16,16,27,1,1991,3,16
3,Year/Year,,-0.4%,5.0%,10.6%,-0.024,31.6%,56.4%,-0.053,3.2%,6.4%,-0.014,-0.6%,2.8%,-0.026,30.0%,-0.1%,9.4%,-11.9%,17.3%,9.2%,4.6%,1991,5.2%,23.4%
4,Opponent,82.0,19730,4076,7962,0.512,194,502,0.386,3882,7460,0.52,2377,3068,0.775,1242,3067,4309,2492,1527,1844,10723,1991,757,525
5,Opponent/G,,240.6,49.7,97.1,0.512,2.4,6.1,0.386,47.3,91.0,0.52,29.0,37.4,0.775,15.1,37.4,52.5,30.4,18.6,22.5,130.8,1991,9.2,6.4
6,Lg Rank,,25,27,27,27.0,18,4,27.0,27,27,27.0,27,27,25.0,24,27,27,27,3,17,27,1991,23,25
7,Year/Year,,-0.4%,13.6%,8.6%,0.023,18.3%,-2.9%,0.069,13.3%,9.4%,0.018,22.6%,21.9%,0.004,21.6%,7.8%,11.4%,20.2%,0.9%,-3.5%,15.5%,1991,23.5%,13.6%
0,Team,82.0,19780,3262,7380,0.442,126,418,0.301,3136,6962,0.45,1526,2067,0.738,1350,2352,3702,1553,1447,1984,8176,1992,773,461
1,Team/G,,241.2,39.8,90.0,0.442,1.5,5.1,0.301,38.2,84.9,0.45,18.6,25.2,0.738,16.5,28.7,45.1,18.9,17.6,24.2,99.7,1992,9.4,5.6
2,Lg Rank,,20,21,5,26.0,22,23,23.0,17,2,27.0,20,20,21.0,2,20,5,27,27,25,25,1992,7,12
3,Year/Year,,0.3%,-16.4%,-16.8%,0.002,-58.0%,-60.5%,0.018,-12.9%,-10.8%,-0.011,-11.6%,-8.7%,-0.024,-11.2%,-7.0%,-8.6%,-22.5%,8.6%,-11.2%,-16.8%,1992,-9.7%,13.5%
4,Opponent,82.0,19780,3346,6967,0.48,186,532,0.35,3160,6435,0.491,1943,2513,0.773,1109,2530,3639,1811,1393,1787,8821,1992,780,593
5,Opponent/G,,241.2,40.8,85.0,0.48,2.3,6.5,0.35,38.5,78.5,0.491,23.7,30.6,0.773,13.5,30.9,44.4,22.1,17.0,21.8,107.6,1992,9.5,7.2
6,Lg Rank,,20,11,4,19.0,7,3,23.0,11,9,17.0,26,25,26.0,6,21,20,4,4,17,20,1992,22,27
7,Year/Year,,0.3%,-17.9%,-12.5%,-0.032,-4.1%,6.0%,-0.037,-18.6%,-13.7%,-0.029,-18.3%,-18.1%,-0.002,-10.7%,-17.5%,-15.5%,-27.3%,-8.8%,-3.1%,-17.7%,1992,3.0%,13.0%
0,Team,82.0,19830,3352,7282,0.46,138,454,0.304,3214,6828,0.471,1784,2360,0.756,1266,2564,3830,1735,1413,2039,8626,1993,651,565
1,Team/G,,241.8,40.9,88.8,0.46,1.7,5.5,0.304,39.2,83.3,0.471,21.8,28.8,0.756,15.4,31.3,46.7,21.2,17.2,24.9,105.2,1993,7.9,6.9
2,Lg Rank,,9,13,3,22.0,24,25,22.0,6,2,26.0,11,10,14.0,5,3,1,25,23,22,14,1993,17,2
3,Year/Year,,0.3%,2.8%,-1.3%,0.018,9.5%,8.6%,0.003,2.5%,-1.9%,0.02,16.9%,14.2%,0.018,-6.2%,9.0%,3.5%,11.7%,-2.3%,2.8%,5.5%,1993,-15.8%,22.6%
4,Opponent,82.0,19830,3324,7214,0.461,222,647,0.343,3102,6567,0.472,1899,2517,0.754,1159,2505,3664,1890,1340,1983,8769,1993,750,503
5,Opponent/G,,241.8,40.5,88.0,0.461,2.7,7.9,0.343,37.8,80.1,0.472,23.2,30.7,0.754,14.1,30.5,44.7,23.0,16.3,24.2,106.9,1993,9.1,6.1
6,Lg Rank,,9,16,21,5.0,6,3,20.0,16,25,5.0,23,23,11.0,19,22,21,4,10,8,20,1993,20,24
7,Year/Year,,0.3%,-0.7%,3.5%,-0.019,19.4%,21.6%,-0.007,-1.8%,2.1%,-0.019,-2.3%,0.2%,-0.019,4.5%,-1.0%,0.7%,4.4%,-3.8%,11.0%,-0.6%,1993,-3.8%,-15.2%
0,Team,82.0,19755,3156,6781,0.465,170,597,0.285,2986,6184,0.483,1739,2423,0.718,1105,2557,3662,1763,1422,1926,8221,1994,679,686
1,Team/G,,240.9,38.5,82.7,0.465,2.1,7.3,0.285,36.4,75.4,0.483,21.2,29.5,0.718,13.5,31.2,44.7,21.5,17.3,23.5,100.3,1994,8.3,8.4
2,Lg Rank,,13,21,20,15.0,26,23,27.0,11,10,15.0,8,2,20.0,18,3,7,26,23,19,19,1994,20,1
3,Year/Year,,-0.4%,-5.8%,-6.9%,0.005,23.2%,31.5%,-0.019,-7.1%,-9.4%,0.012,-2.5%,2.7%,-0.038,-12.7%,-0.3%,-4.4%,1.6%,0.6%,-5.5%,-4.7%,1994,4.3%,21.4%
4,Opponent,82.0,19755,3065,7000,0.438,208,717,0.29,2857,6283,0.455,1761,2349,0.75,1118,2331,3449,1745,1245,1957,8099,1994,725,502
5,Opponent/G,,240.9,37.4,85.4,0.438,2.5,8.7,0.29,34.8,76.6,0.455,21.5,28.6,0.75,13.6,28.4,42.1,21.3,15.2,23.9,98.8,1994,8.8,6.1
6,Lg Rank,,13,7,14,2.0,1,3,1.0,8,18,2.0,20,19,26.0,13,11,11,2,21,2,10,1994,14,24
7,Year/Year,,-0.4%,-7.8%,-3.0%,-0.023,-6.3%,10.8%,-0.053,-7.9%,-4.3%,-0.018,-7.3%,-6.7%,-0.005,-3.5%,-6.9%,-5.9%,-7.7%,-7.1%,-1.3%,-7.6%,1994,-3.3%,-0.2%
0,Team,82.0,19980,3098,6461,0.479,413,1160,0.356,2685,5301,0.507,1700,2305,0.738,1040,2402,3442,1836,1381,2063,8309,1995,660,585
1,Team/G,,243.7,37.8,78.8,0.479,5.0,14.1,0.356,32.7,64.6,0.507,20.7,28.1,0.738,12.7,29.3,42.0,22.4,16.8,25.2,101.3,1995,8.0,7.1
2,Lg Rank,,1,15,21,7.0,18,18,17.0,14,17,8.0,9,10,13.0,19,10,8,17,23,22,13,1995,15,1
3,Year/Year,,1.1%,-1.8%,-4.7%,0.014,142.9%,94.3%,0.071,-10.1%,-14.3%,0.024,-2.2%,-4.9%,0.02,-5.9%,-6.1%,-6.0%,4.1%,-2.9%,7.1%,1.1%,1995,-2.8%,-14.7%
4,Opponent,82.0,19980,3050,6695,0.456,419,1208,0.347,2631,5487,0.479,1721,2296,0.75,1021,2207,3228,1784,1167,1956,8240,1995,640,460
5,Opponent/G,,243.7,37.2,81.6,0.456,5.1,14.7,0.347,32.1,66.9,0.479,21.0,28.0,0.75,12.5,26.9,39.4,21.8,14.2,23.9,100.5,1995,7.8,5.6
6,Lg Rank,,1,10,16,8.0,7,10,8.0,12,17,9.0,17,17,22.0,6,3,5,5,26,10,11,1995,7,22
7,Year/Year,,1.1%,-0.5%,-4.4%,0.018,101.4%,68.5%,0.057,-7.9%,-12.7%,0.025,-2.3%,-2.3%,-0.0,-8.7%,-5.3%,-6.4%,2.2%,-6.3%,-0.1%,1.7%,1995,-11.7%,-8.4%
0,Team,82.0,19830,3001,6657,0.451,397,1148,0.346,2604,5509,0.473,1614,2173,0.743,1057,2487,3544,1851,1265,1882,8013,1996,521,597
1,Team/G,,241.8,36.6,81.2,0.451,4.8,14.0,0.346,31.8,67.2,0.473,19.7,26.5,0.743,12.9,30.3,43.2,22.6,15.4,23.0,97.7,1996,6.4,7.3
2,Lg Rank,,10,19,10,24.0,22,22,23.0,15,5,25.0,14,16,16.0,9,6,5,15,12,17,20,1996,28,1
3,Year/Year,,-0.8%,-3.1%,3.0%,-0.029,-3.9%,-1.0%,-0.01,-3.0%,3.9%,-0.034,-5.1%,-5.7%,0.005,1.6%,3.5%,3.0%,0.8%,-8.4%,-8.8%,-3.6%,1996,-21.1%,2.1%
4,Opponent,82.0,19830,3091,6741,0.459,453,1235,0.367,2638,5506,0.479,1600,2105,0.76,934,2385,3319,1875,1130,1899,8235,1996,617,418
5,Opponent/G,,241.8,37.7,82.2,0.459,5.5,15.1,0.367,32.2,67.1,0.479,19.5,25.7,0.76,11.4,29.1,40.5,22.9,13.8,23.2,100.4,1996,7.5,5.1
6,Lg Rank,,10,20,21,13.0,9,8,16.0,19,23,13.0,18,15,28.0,3,22,10,16,29,14,16,1996,10,17
7,Year/Year,,-0.8%,1.3%,0.7%,0.003,8.1%,2.2%,0.02,0.3%,0.3%,-0.0,-7.0%,-8.3%,0.011,-8.5%,8.1%,2.8%,5.1%,-3.2%,-2.9%,-0.1%,1996,-3.6%,-9.1%
0,Team,82.0,19930,2934,6687,0.439,636,1711,0.372,2298,4976,0.462,1516,1992,0.761,994,2452,3446,1889,1359,1784,8020,1997,503,487
1,Team/G,,243.0,35.8,81.5,0.439,7.8,20.9,0.372,28.0,60.7,0.462,18.5,24.3,0.761,12.1,29.9,42.0,23.0,16.6,21.8,97.8,1997,6.1,5.9
2,Lg Rank,,1,18,7,23.0,4,4,7.0,24,20,25.0,15,19,6.0,19,5,8,8,25,11,13,1997,29,4
3,Year/Year,,0.5%,-2.2%,0.5%,-0.012,60.2%,49.0%,0.026,-11.8%,-9.7%,-0.011,-6.1%,-8.3%,0.018,-6.0%,-1.4%,-2.8%,2.1%,7.4%,-5.2%,0.1%,1997,-3.5%,-18.4%
4,Opponent,82.0,19930,3297,7063,0.467,484,1232,0.393,2813,5831,0.482,1457,1943,0.75,1086,2459,3545,1846,1057,1725,8535,1997,724,453
5,Opponent/G,,243.0,40.2,86.1,0.467,5.9,15.0,0.393,34.3,71.1,0.482,17.8,23.7,0.75,13.2,30.0,43.2,22.5,12.9,21.0,104.1,1997,8.8,5.5
6,Lg Rank,,1,27,29,22.0,12,4,29.0,28,29,15.0,7,7,24.0,23,26,26,20,29,26,26,1997,23,25
7,Year/Year,,0.5%,6.7%,4.8%,0.008,6.8%,-0.2%,0.026,6.6%,5.9%,0.003,-8.9%,-7.7%,-0.01,16.3%,3.1%,6.8%,-1.5%,-6.5%,-9.2%,3.6%,1997,17.3%,8.4%
0,Team,82.0,19730,2677,6412,0.417,288,893,0.323,2389,5519,0.433,1658,2147,0.772,1040,2157,3197,1547,1311,1937,7300,1998,664,393
1,Team/G,,240.6,32.6,78.2,0.417,3.5,10.9,0.323,29.1,67.3,0.433,20.2,26.2,0.772,12.7,26.3,39.0,18.9,16.0,23.6,89.0,1998,8.1,4.8
2,Lg Rank,,27,29,18,28.0,24,21,25.0,27,14,28.0,9,14,2.0,16,26,28,27,19,24,28,1998,16,17
3,Year/Year,,-1.0%,-8.8%,-4.1%,-0.021,-54.7%,-47.8%,-0.049,4.0%,10.9%,-0.029,9.4%,7.8%,0.011,4.6%,-12.0%,-7.2%,-18.1%,-3.5%,8.6%,-9.0%,1998,32.0%,-19.3%
4,Opponent,82.0,19730,3015,6370,0.473,419,1105,0.379,2596,5265,0.493,1817,2410,0.754,1095,2401,3496,1983,1243,1782,8266,1998,662,535
5,Opponent/G,,240.6,36.8,77.7,0.473,5.1,13.5,0.379,31.7,64.2,0.493,22.2,29.4,0.754,13.4,29.3,42.6,24.2,15.2,21.7,100.8,1998,8.1,6.5
6,Lg Rank,,27,21,6,25.0,27,22,27.0,14,5,26.0,28,28,27.0,18,21,21,26,15,19,26,1998,15,28
7,Year/Year,,-1.0%,-8.6%,-9.8%,0.007,-13.4%,-10.3%,-0.014,-7.7%,-9.7%,0.011,24.7%,24.0%,0.004,0.8%,-2.4%,-1.4%,7.4%,17.6%,3.3%,-3.2%,1998,-8.6%,18.1%
0,Team,50.0,12025,1681,3989,0.421,302,922,0.328,1379,3067,0.45,1010,1325,0.762,647,1392,2039,969,739,1145,4674,1999,376,275
1,Team/G,,240.5,33.6,79.8,0.421,6.0,18.4,0.328,27.6,61.3,0.45,20.2,26.5,0.762,12.9,27.8,40.8,19.4,14.8,22.9,93.5,1999,7.5,5.5
2,Lg Rank,,27,19,9,24.0,3,2,20.0,26,23,19.0,8,12,4.0,13,24,18,22,7,21,8,1999,25,8
3,Year/Year,,-0.0%,3.0%,2.0%,0.004,72.0%,69.3%,0.005,-5.3%,-8.9%,0.017,-0.1%,1.2%,-0.01,2.0%,5.8%,4.6%,2.7%,-7.6%,-3.1%,5.0%,1999,-7.1%,14.8%
4,Opponent,50.0,12025,1885,4017,0.469,237,640,0.37,1648,3377,0.488,997,1339,0.745,620,1502,2122,1175,701,1103,5004,1999,396,274
5,Opponent/G,,240.5,37.7,80.3,0.469,4.7,12.8,0.37,33.0,67.5,0.488,19.9,26.8,0.745,12.4,30.0,42.4,23.5,14.0,22.1,100.1,1999,7.9,5.5
6,Lg Rank,,27,28,24,28.0,24,11,28.0,28,26,28.0,21,20,26.0,14,19,19,28,24,14,28,1999,8,23
7,Year/Year,,-0.0%,2.5%,3.4%,-0.004,-7.2%,-5.0%,-0.009,4.1%,5.2%,-0.005,-10.0%,-8.9%,-0.009,-7.1%,2.6%,-0.5%,-2.8%,-7.5%,1.5%,-0.7%,1999,-1.9%,-16.0%
0,Team,82.0,19855,3057,6911,0.442,470,1397,0.336,2587,5514,0.469,1531,2116,0.724,1073,2590,3663,1911,1281,1962,8115,2000,554,618
1,Team/G,,242.1,37.3,84.3,0.442,5.7,17.0,0.336,31.5,67.2,0.469,18.7,25.8,0.724,13.1,31.6,44.7,23.3,15.6,23.9,99.0,2000,6.8,7.5
2,Lg Rank,,2,9,6,21.0,7,5,22.0,19,18,16.0,18,12,24.0,8,7,6,11,17,18,11,2000,27,1
3,Year/Year,,0.7%,10.9%,5.6%,0.021,-5.1%,-7.6%,0.009,14.4%,9.6%,0.02,-7.6%,-2.6%,-0.039,1.1%,13.5%,9.5%,20.3%,5.7%,4.5%,5.9%,2000,-10.2%,37.0%
4,Opponent,82.0,19855,3129,6953,0.45,399,1126,0.354,2730,5827,0.469,1632,2174,0.751,1027,2606,3633,2003,1179,1937,8289,2000,616,462
5,Opponent/G,,242.1,38.2,84.8,0.45,4.9,13.7,0.354,33.3,71.1,0.469,19.9,26.5,0.751,12.5,31.8,44.3,24.4,14.4,23.6,101.1,2000,7.5,5.6
6,Lg Rank,,2,21,24,14.0,16,16,17.0,20,25,13.0,22,21,17.0,16,23,23,28,23,11,24,2000,10,21
7,Year/Year,,0.7%,1.2%,5.5%,-0.019,2.7%,7.3%,-0.016,1.0%,5.2%,-0.019,-0.2%,-1.0%,0.006,1.0%,5.8%,4.4%,3.9%,2.6%,7.1%,1.0%,2000,-5.1%,2.8%
0,Team,82.0,19780,2979,6877,0.433,512,1444,0.355,2467,5433,0.454,1448,1964,0.737,1044,2583,3627,1970,1136,1820,7918,2001,552,538
1,Team/G,,241.2,36.3,83.9,0.433,6.2,17.6,0.355,30.1,66.3,0.454,17.7,24.0,0.737,12.7,31.5,44.2,24.0,13.9,22.2,96.6,2001,6.7,6.6
2,Lg Rank,,21,10,5,21.0,4,3,12.0,20,18,21.0,21,20,22.0,7,7,8,4,4,13,11,2001,27,2
3,Year/Year,,-0.4%,-2.6%,-0.5%,-0.009,8.9%,3.4%,0.018,-4.6%,-1.5%,-0.015,-5.4%,-7.2%,0.014,-2.7%,-0.3%,-1.0%,3.1%,-11.3%,-7.2%,-2.4%,2001,-0.4%,-12.9%
4,Opponent,82.0,19780,3081,6914,0.446,416,1168,0.356,2665,5746,0.464,1542,2049,0.753,1012,2642,3654,2042,1075,1758,8120,2001,588,497
5,Opponent/G,,241.2,37.6,84.3,0.446,5.1,14.2,0.356,32.5,70.1,0.464,18.8,25.0,0.753,12.3,32.2,44.6,24.9,13.1,21.4,99.0,2001,7.2,6.1
6,Lg Rank,,21,25,28,19.0,19,20,19.0,25,28,20.0,14,14,19.0,18,25,24,28,27,24,27,2001,3,24
7,Year/Year,,-0.4%,-1.5%,-0.6%,-0.004,4.3%,3.7%,0.002,-2.4%,-1.4%,-0.005,-5.5%,-5.7%,0.002,-1.5%,1.4%,0.6%,1.9%,-8.8%,-9.2%,-2.0%,2001,-4.5%,7.6%
0,Team,82.0,19805,2915,6870,0.424,423,1285,0.329,2492,5585,0.446,1306,1756,0.744,1117,2310,3427,1817,1205,1873,7559,2002,613,462
1,Team/G,,241.5,35.5,83.8,0.424,5.2,15.7,0.329,30.4,68.1,0.446,15.9,21.4,0.744,13.6,28.2,41.8,22.2,14.7,22.8,92.2,2002,7.5,5.6
2,Lg Rank,,15,17,7,28.0,13,11,25.0,20,11,29.0,25,24,19.0,2,29,21,12,19,26,23,2002,20,10
3,Year/Year,,0.1%,-2.1%,-0.1%,-0.009,-17.4%,-11.0%,-0.025,1.0%,2.8%,-0.008,-9.8%,-10.6%,0.006,7.0%,-10.6%,-5.5%,-7.8%,6.1%,2.9%,-4.5%,2002,11.1%,-14.1%
4,Opponent,82.0,19805,3005,6540,0.459,424,1173,0.361,2581,5367,0.481,1602,2144,0.747,995,2529,3524,1968,1173,1646,8036,2002,671,560
5,Opponent/G,,241.5,36.6,79.8,0.459,5.2,14.3,0.361,31.5,65.5,0.481,19.5,26.1,0.747,12.1,30.8,43.0,24.0,14.3,20.1,98.0,2002,8.2,6.8
6,Lg Rank,,15,18,8,27.0,16,12,23.0,20,13,25.0,25,27,10.0,13,22,19,26,17,24,24,2002,22,29
7,Year/Year,,0.1%,-2.5%,-5.4%,0.014,1.9%,0.4%,0.005,-3.2%,-6.6%,0.017,3.9%,4.6%,-0.005,-1.7%,-4.3%,-3.6%,-3.6%,9.1%,-6.4%,-1.0%,2002,14.1%,12.7%
0,Team,82.0,19730,2689,6544,0.411,229,824,0.278,2460,5720,0.43,1294,1850,0.699,1112,2363,3475,1737,1514,2056,6901,2003,712,422
1,Team/G,,240.6,32.8,79.8,0.411,2.8,10.0,0.278,30.0,69.8,0.43,15.8,22.6,0.699,13.6,28.8,42.4,21.2,18.5,25.1,84.2,2003,8.7,5.1
2,Lg Rank,,29,28,19,29.0,28,25,29.0,17,4,29.0,28,23,29.0,3,28,14,16,29,29,29,2003,6,16
3,Year/Year,,-0.4%,-7.8%,-4.7%,-0.013,-45.9%,-35.9%,-0.051,-1.3%,2.4%,-0.016,-0.9%,5.4%,-0.044,-0.4%,2.3%,1.4%,-4.4%,25.6%,9.8%,-8.7%,2003,16.2%,-8.7%
4,Opponent,82.0,19730,2696,6087,0.443,420,1134,0.37,2276,4953,0.46,1768,2337,0.757,861,2443,3304,1764,1405,1789,7580,2003,742,538
5,Opponent/G,,240.6,32.9,74.2,0.443,5.1,13.8,0.37,27.8,60.4,0.46,21.6,28.5,0.757,10.5,29.8,40.3,21.5,17.1,21.8,92.4,2003,9.0,6.6
6,Lg Rank,,29,1,1,18.0,11,7,25.0,1,1,12.0,28,28,12.0,2,9,4,14,1,15,9,2003,27,29
7,Year/Year,,-0.4%,-10.3%,-6.9%,-0.017,-0.9%,-3.3%,0.009,-11.8%,-7.7%,-0.021,10.4%,9.0%,0.009,-13.5%,-3.4%,-6.2%,-10.4%,19.8%,8.7%,-5.7%,2003,10.6%,-3.9%
0,Team,82.0,19730,2993,6763,0.443,331,985,0.336,2662,5778,0.461,1655,2159,0.767,1083,2387,3470,1794,1278,1804,7972,2004,745,520
1,Team/G,,240.6,36.5,82.5,0.443,4.0,12.0,0.336,32.5,70.5,0.461,20.2,26.3,0.767,13.2,29.1,42.3,21.9,15.6,22.0,97.2,2004,9.1,6.3
2,Lg Rank,,26,5,3,11.0,25,25,21.0,5,2,14.0,3,6,9.0,7,24,15,9,20,20,5,2004,3,5
3,Year/Year,,0.0%,11.3%,3.3%,0.032,44.5%,19.5%,0.058,8.2%,1.0%,0.031,27.9%,16.7%,0.067,-2.6%,1.0%,-0.1%,3.3%,-15.6%,-12.3%,15.5%,2004,4.6%,23.2%
4,Opponent,82.0,19730,3019,6662,0.453,376,1056,0.356,2643,5606,0.471,1470,2020,0.728,1056,2465,3521,1931,1399,1895,7884,2004,664,479
5,Opponent/G,,240.6,36.8,81.2,0.453,4.6,12.9,0.356,32.2,68.4,0.471,17.9,24.6,0.728,12.9,30.1,42.9,23.5,17.1,23.1,96.1,2004,8.1,5.8
6,Lg Rank,,26,23,20,24.0,6,4,21.0,27,28,21.0,14,17,1.0,24,12,19,26,2,3,19,2004,18,27
