,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
5,Opponent/G,,241.8,42.3,93.3,0.454,1.8,5.8,0.314,40.5,87.5,0.463,26.6,35.5,0.75,18.0,35.7,53.7,22.4,18.5,25.3,113.1,1972,,
6,Lg Rank,,6,2,2,5.0,10,8,8.0,2,2,6.0,11,11,2.0,6,8,9,8,5,6,7,1972,,
7,Year/Year,,-0.6%,-14.3%,-11.8%,-0.013,-15.5%,-20.4%,0.018,-14.2%,-11.2%,-0.017,22.4%,20.6%,0.011,,,-3.8%,-0.2%,1.6%,-2.8%,-7.8%,1972,,
0,Team,84.0,20045,3433,7501,0.458,74,301,0.246,3359,7200,0.467,2253,2994,0.753,1457,2668,4125,1936,1596,2237,9193,1973,,
1,Team/G,,238.6,40.9,89.3,0.458,0.9,3.6,0.246,40.0,85.7,0.467,26.8,35.6,0.753,17.3,31.8,49.1,23.0,19.0,26.6,109.4,1973,,
2,Lg Rank,,9,9,8,9.0,7,6,9.0,8,8,8.0,2,1,4.0,4,6,5,6,6,6,8,1973,,
3,Year/Year,,-1.3%,-7.3%,-9.0%,0.009,80.5%,69.1%,0.016,-8.3%,-10.8%,0.013,15.4%,15.1%,0.002,-10.4%,-6.5%,-7.9%,-3.0%,10.1%,-4.2%,-2.2%,1973,,
4,Opponent,84.0,20045,3397,7234,0.47,93,329,0.283,3304,6905,0.478,2045,2736,0.747,1156,2546,3702,2046,1540,2236,8932,1973,,
5,Opponent/G,,238.6,40.4,86.1,0.47,1.1,3.9,0.283,39.3,82.2,0.478,24.3,32.6,0.747,13.8,30.3,44.1,24.4,18.3,26.6,106.3,1973,,
6,Lg Rank,,9,1,1,5.0,6,8,6.0,1,1,5.0,5,5,7.0,1,1,1,7,6,4,2,1973,,
7,Year/Year,,-1.3%,-4.5%,-7.7%,0.016,-39.2%,-32.6%,-0.031,-2.9%,-6.1%,0.015,-8.4%,-8.2%,-0.002,-23.7%,-15.1%,-18.0%,8.5%,-1.1%,5.4%,-6.0%,1973,,
0,Team,84.0,20285,3553,8042,0.442,107,325,0.329,3446,7717,0.447,1776,2271,0.782,1455,2697,4152,2004,1477,2079,8989,1974,595.0,408.0
1,Team/G,,241.5,42.3,95.7,0.442,1.3,3.9,0.329,41.0,91.9,0.447,21.1,27.0,0.782,17.3,32.1,49.4,23.9,17.6,24.8,107.0,1974,7.1,4.9
2,Lg Rank,,5,6,3,10.0,3,5,1.0,6,4,10.0,3,3,2.0,3,5,4,4,5,6,5,1974,10.0,5.0
3,Year/Year,,1.2%,3.5%,7.2%,-0.016,44.6%,8.0%,0.083,2.6%,7.2%,-0.02,-21.2%,-24.1%,0.03,-0.1%,1.1%,0.7%,3.5%,-7.5%,-7.1%,-2.2%,1974,,
4,Opponent,84.0,20285,3670,7842,0.468,105,362,0.29,3565,7480,0.477,1587,2094,0.758,1237,2718,3955,2321,1417,2072,9032,1974,760.0,548.0
5,Opponent/G,,241.5,43.7,93.4,0.468,1.3,4.3,0.29,42.4,89.0,0.477,18.9,24.9,0.758,14.7,32.4,47.1,27.6,16.9,24.7,107.5,1974,9.0,6.5
6,Lg Rank,,5,8,6,8.0,7,7,6.0,8,6,8.0,5,5,4.0,2,7,4,10,7,3,7,1974,8.0,10.0
7,Year/Year,,1.2%,8.0%,8.4%,-0.002,12.9%,10.0%,0.007,7.9%,8.3%,-0.002,-22.4%,-23.5%,0.01,7.0%,6.8%,6.8%,13.4%,-8.0%,-7.3%,1.1%,1974,,
0,Team,84.0,20335,3953,7764,0.509,22,102,0.216,3931,7662,0.513,2041,2546,0.802,1285,2531,3816,2450,1821,2065,9969,1975,975,501
1,Team/G,,242.1,47.1,92.4,0.509,0.3,1.2,0.216,46.8,91.2,0.513,24.3,30.3,0.802,15.3,30.1,45.4,29.2,21.7,24.6,118.7,1975,11.6,6.0
2,Lg Rank,,5,1,8,1.0,10,10,10.0,1,5,1.0,1,1,2.0,6,8,8,1,10,9,1,1975,1,3
3,Year/Year,,0.2%,11.3%,-3.5%,0.067,-79.4%,-68.6%,-0.114,14.1%,-0.7%,0.067,14.9%,12.1%,0.02,-11.7%,-6.2%,-8.1%,22.3%,23.3%,-0.7%,10.9%,1975,63.9%,22.8%
4,Opponent,84.0,20335,3809,8049,0.473,112,373,0.3,3697,7676,0.482,1629,2152,0.757,1478,2325,3803,2073,1843,2128,9359,1975,954,560
5,Opponent/G,,242.1,45.3,95.8,0.473,1.3,4.4,0.3,44.0,91.4,0.482,19.4,25.6,0.757,17.6,27.7,45.3,24.7,21.9,25.3,111.4,1975,11.4,6.7
6,Lg Rank,,5,6,9,5.0,8,8,6.0,6,8,5.0,6,7,3.0,9,1,2,6,1,2,7,1975,10,10
7,Year/Year,,0.2%,3.8%,2.6%,0.005,6.7%,3.0%,0.01,3.7%,2.6%,0.005,2.6%,2.8%,-0.001,19.5%,-14.5%,-3.8%,-10.7%,30.1%,2.7%,3.6%,1975,25.5%,2.2%
0,Team,84.0,20310,4059,8036,0.505,41,178,0.23,4018,7858,0.511,2078,2667,0.779,1311,2776,4087,2442,1755,1988,10237,1976,891,539
1,Team/G,,241.8,48.3,95.7,0.505,0.5,2.1,0.23,47.8,93.5,0.511,24.7,31.8,0.779,15.6,33.0,48.7,29.1,20.9,23.7,121.9,1976,10.6,6.4
2,Lg Rank,,5,1,4,1.0,8,8,8.0,1,2,1.0,1,1,4.0,8,4,8,1,8,3,1,1976,4,3
3,Year/Year,,-0.1%,2.7%,3.5%,-0.004,86.4%,74.5%,0.015,2.2%,2.6%,-0.002,1.8%,4.8%,-0.022,2.0%,9.7%,7.1%,-0.3%,-3.6%,-3.7%,2.7%,1976,-8.6%,7.6%
4,Opponent,84.0,20310,4027,8683,0.464,113,418,0.27,3914,8265,0.474,1567,2061,0.76,1662,2578,4240,2133,1763,2287,9734,1976,952,485
5,Opponent/G,,241.8,47.9,103.4,0.464,1.3,5.0,0.27,46.6,98.4,0.474,18.7,24.5,0.76,19.8,30.7,50.5,25.4,21.0,27.2,115.9,1976,11.3,5.8
6,Lg Rank,,5,9,9,5.0,8,8,1.0,9,9,6.0,1,1,2.0,9,2,7,7,1,2,7,1976,9,5
7,Year/Year,,-0.1%,5.7%,7.9%,-0.009,0.9%,12.1%,-0.03,5.9%,7.7%,-0.008,-3.8%,-4.2%,0.003,12.4%,10.9%,11.5%,2.9%,-4.3%,7.5%,4.0%,1976,-0.2%,-13.4%
0,Team,82.0,19780,3590,7471,0.481,,,,,,,2053,2783,0.738,1288,2700,3988,2262,2011,2142,9233,1977,953,471
1,Team/G,,241.2,43.8,91.1,0.481,,,,,,,25.0,33.9,0.738,15.7,32.9,48.6,27.6,24.5,26.1,112.6,1977,11.6,5.7
2,Lg Rank,,6,8,16,6.0,,,,,,,1,1,16.0,7,7,6,1,22,16,2,1977,1,6
3,Year/Year,,-0.2%,-9.4%,-4.8%,-0.025,,,,,,,1.2%,6.9%,-0.041,0.6%,-0.4%,-0.0%,-5.1%,17.4%,10.4%,-7.6%,1977,9.6%,-10.5%
4,Opponent,82.0,19780,3585,7743,0.463,,,,,,,1635,2231,0.733,1269,2481,3750,2082,1944,2285,8805,1977,941,470
5,Opponent/G,,241.2,43.7,94.4,0.463,,,,,,,19.9,27.2,0.733,15.5,30.3,45.7,25.4,23.7,27.9,107.4,1977,11.5,5.7
6,Lg Rank,,6,18,15,10.0,,,,,,,8,8,1.0,16,3,6,17,1,2,14,1977,22,19
7,Year/Year,,-0.2%,-8.8%,-8.7%,-0.001,,,,,,,6.9%,10.9%,-0.027,-21.8%,-1.4%,-9.4%,-0.0%,13.0%,2.3%,-7.3%,1977,1.3%,-0.7%
