,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19805,3382,6817,0.496,1571,1943,0.809,967,2359,3326,2005,656,362,1543,2006,8394,1980,59.0,185.0,0.319,3323,6632,0.501
1,Team/G,,241.5,41.2,83.1,0.496,19.2,23.7,0.809,11.8,28.8,40.6,24.5,8.0,4.4,18.8,24.5,102.4,1980,0.7,2.3,0.319,40.5,80.9,0.501
2,Lg Rank,,12,20,22,3.0,19,21,1.0,22,18,22,18,21,15,12,14,22,1980,10.0,15.0,5.0,20,22,5.0
3,Year/Year,,0.5%,-3.8%,-9.2%,0.028,-15.0%,-19.3%,0.041,-21.6%,-11.8%,-14.9%,-3.6%,-13.7%,-35.2%,-12.5%,3.4%,-5.5%,1980,,,,-5.5%,-11.7%,0.033
4,Opponent,82.0,19805,3559,7182,0.496,1702,2205,0.772,1159,2288,3447,1997,710,398,1274,1782,8887,1980,67.0,211.0,0.318,3492,6971,0.501
5,Opponent/G,,241.5,43.4,87.6,0.496,20.8,26.9,0.772,14.1,27.9,42.0,24.4,8.7,4.9,15.5,21.7,108.4,1980,0.8,2.6,0.318,42.6,85.0,0.501
6,Lg Rank,,12,10,5,17.0,10,9,18.0,4,2,1,4,5,9,21,22,10,1980,14.0,9.0,19.0,11,5,16.0
7,Year/Year,,0.5%,-7.9%,-10.7%,0.015,2.2%,-1.8%,0.03,-22.0%,-14.1%,-16.9%,-11.8%,-25.7%,-29.7%,-20.4%,-13.5%,-5.4%,1980,,,,-9.6%,-13.3%,0.02
0,Team,82.0,19730,3332,6825,0.488,1595,2080,0.767,962,2325,3287,1948,637,386,1423,2110,8301,1981,42,163,0.258,3290,6662,0.494
1,Team/G,,240.6,40.6,83.2,0.488,19.5,25.4,0.767,11.7,28.4,40.1,23.8,7.8,4.7,17.4,25.7,101.2,1981,0.5,2.0,0.258,40.1,81.2,0.494
2,Lg Rank,,20,20,23,11.0,18,21,9.0,23,16,22,19,19,16,4,17,22,1981,9,11,9.0,20,23,11.0
