,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
14,15,Eric Fernsten,22,33,,7.8,1.0,2.5,0.393,,,,1.0,2.5,0.393,0.393,0.8,1.1,0.703,0.8,1.3,2.1,0.6,0.2,0.4,,0.6,2.8,1976
15,16,John Block,31,2,,3.5,1.0,2.0,0.5,,,,1.0,2.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,,1.0,2.0,1976
0,1,Norm Van Lier,29,82,,37.8,3.7,8.9,0.412,,,,3.7,8.9,0.412,0.412,2.9,3.7,0.778,1.3,3.2,4.5,7.8,1.6,0.2,,3.3,10.2,1977
1,2,Bob Love,34,14,,35.4,4.9,14.4,0.338,,,,4.9,14.4,0.338,0.338,2.5,3.3,0.761,2.7,2.5,5.2,1.6,0.6,0.1,,3.4,12.2,1977
2,3,Artis Gilmore,27,82,,35.1,7.0,13.3,0.522,,,,7.0,13.3,0.522,0.522,4.7,7.1,0.66,3.8,9.2,13.0,2.4,0.5,2.5,,3.2,18.6,1977
3,4,Mickey Johnson,24,81,,35.1,6.6,14.9,0.446,,,,6.6,14.9,0.446,0.446,4.0,5.0,0.796,3.7,6.6,10.2,2.4,1.3,0.8,,3.9,17.3,1977
4,5,Scott May,22,72,,32.9,6.0,13.3,0.451,,,,6.0,13.3,0.451,0.451,2.6,3.2,0.828,2.0,4.1,6.1,2.0,1.1,0.2,,2.6,14.6,1977
5,6,Wilbur Holland,25,79,,31.1,6.4,14.2,0.454,,,,6.4,14.2,0.454,0.454,2.0,2.4,0.823,1.0,2.2,3.2,3.2,2.1,0.2,,2.5,14.9,1977
6,7,John Mengelt,27,61,,19.3,3.4,7.5,0.456,,,,3.4,7.5,0.456,0.456,1.5,1.9,0.788,0.5,1.3,1.8,1.9,0.6,0.1,,1.7,8.3,1977
7,8,Jack Marin,32,54,,16.1,3.1,6.6,0.465,,,,3.1,6.6,0.465,0.465,0.6,0.7,0.795,0.5,1.2,1.7,1.1,0.2,0.1,,1.6,6.8,1977
8,9,Paul McCracken,26,9,,13.2,2.0,5.2,0.383,,,,2.0,5.2,0.383,0.383,1.2,2.0,0.611,0.7,1.1,1.8,1.6,0.7,0.0,,1.9,5.2,1977
9,10,Tom Boerwinkle,31,82,,13.0,1.6,3.3,0.491,,,,1.6,3.3,0.491,0.491,0.4,0.8,0.54,1.2,2.6,3.8,2.3,0.2,0.2,,1.8,3.7,1977
10,11,Cliff Pondexter,22,78,,12.8,1.4,3.3,0.416,,,,1.4,3.3,0.416,0.416,0.5,0.8,0.646,1.0,2.0,3.0,0.5,0.4,0.1,,1.1,3.3,1977
11,12,Eric Fernsten,23,5,,12.2,0.6,3.0,0.2,,,,0.6,3.0,0.2,0.2,1.6,2.2,0.727,1.8,1.4,3.2,1.2,0.2,0.6,,1.8,2.8,1977
12,13,John Laskowski,23,47,,12.0,1.6,4.5,0.354,,,,1.6,4.5,0.354,0.354,0.6,0.6,0.9,0.3,1.0,1.3,0.9,0.7,0.0,,0.5,3.8,1977
13,14,Tom Kropp,23,53,,9.1,1.4,2.9,0.48,,,,1.4,2.9,0.48,0.48,0.5,0.8,0.683,0.4,0.5,0.9,0.7,0.3,0.0,,1.5,3.3,1977
14,15,Phil Hicks,24,35,,7.3,1.2,2.5,0.471,,,,1.2,2.5,0.471,0.471,0.3,0.4,0.846,0.7,1.1,1.9,0.7,0.2,0.0,,1.0,2.7,1977
15,16,Willie Smith,23,2,,5.5,0.0,0.5,0.0,,,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,1977
16,17,Keith Starr,22,17,,3.8,0.4,1.4,0.25,,,,0.4,1.4,0.25,0.25,0.1,0.1,1.0,0.4,0.2,0.6,0.4,0.1,0.0,,0.6,0.8,1977
0,1,Artis Gilmore,28,82,,37.4,8.6,15.4,0.559,,,,8.6,15.4,0.559,0.559,5.7,8.2,0.704,3.9,9.2,13.1,3.2,0.5,2.2,4.5,3.2,22.9,1978
1,2,Mickey Johnson,25,81,,35.4,6.9,15.0,0.462,,,,6.9,15.0,0.462,0.462,4.5,5.5,0.812,2.7,6.4,9.1,3.3,1.1,0.8,3.3,3.9,18.3,1978
2,3,Wilbur Holland,26,82,,35.2,6.9,15.7,0.443,,,,6.9,15.7,0.443,0.443,2.7,3.4,0.799,1.3,2.3,3.6,3.8,2.0,0.2,2.7,3.1,16.6,1978
3,4,Scott May,23,55,,32.8,5.1,11.2,0.454,,,,5.1,11.2,0.454,0.454,3.2,3.9,0.81,2.1,3.9,6.0,2.1,0.9,0.1,2.3,3.1,13.4,1978
4,5,Norm Van Lier,30,78,,32.4,2.6,6.1,0.419,,,,2.6,6.1,0.419,0.419,2.2,2.9,0.751,1.1,2.5,3.6,6.8,1.8,0.1,2.6,3.6,7.3,1978
5,6,Cazzie Russell,33,36,,21.9,3.7,8.4,0.438,,,,3.7,8.4,0.438,0.438,1.4,1.6,0.86,0.9,1.4,2.3,1.7,0.5,0.1,1.0,1.8,8.8,1978
6,7,John Mengelt,28,81,,21.8,4.0,8.3,0.481,,,,4.0,8.3,0.481,0.481,2.3,2.9,0.773,0.5,1.1,1.6,2.9,0.6,0.0,1.5,2.1,10.3,1978
7,8,Mark Landsberger,22,62,,14.9,2.0,4.0,0.506,,,,2.0,4.0,0.506,0.506,1.5,2.5,0.58,1.8,3.1,4.9,0.7,0.3,0.1,1.1,1.3,5.6,1978
8,9,Nick Weatherspoon,27,41,,14.9,2.1,4.7,0.443,,,,2.1,4.7,0.443,0.443,0.9,1.0,0.881,1.4,1.7,3.0,0.8,0.5,0.2,1.2,1.8,5.1,1978
9,10,Cliff Pondexter,23,44,,12.1,0.8,1.9,0.435,,,,0.8,1.9,0.435,0.435,0.3,0.5,0.7,0.8,2.1,3.0,2.0,0.4,0.3,0.7,1.5,2.0,1978
10,11,Steve Sheppard,23,64,,10.9,1.9,4.1,0.454,,,,1.9,4.1,0.454,0.454,0.6,0.9,0.661,1.0,1.0,2.0,0.7,0.2,0.0,0.7,1.1,4.3,1978
11,12,Tate Armstrong,22,66,,10.8,2.0,4.2,0.468,,,,2.0,4.2,0.468,0.468,0.3,0.4,0.815,0.4,0.7,1.0,1.1,0.3,0.0,0.9,0.6,4.3,1978
12,13,Tom Boerwinkle,32,22,,10.3,1.0,2.3,0.46,,,,1.0,2.3,0.46,0.46,0.5,0.6,0.769,0.6,2.0,2.7,2.0,0.1,0.2,1.2,1.6,2.5,1978
13,14,Derrek Dickey,26,25,,8.8,1.1,2.7,0.397,,,,1.1,2.7,0.397,0.397,0.6,0.8,0.737,0.6,1.3,1.9,0.4,0.2,0.1,0.9,1.1,2.7,1978
14,15,Jim Ard,29,14,,8.3,0.6,1.1,0.5,,,,0.6,1.1,0.5,0.5,0.1,0.2,0.667,0.6,1.7,2.3,0.5,0.0,0.0,1.0,1.3,1.3,1978
15,16,Glenn Hansen,25,2,,2.0,0.0,1.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1978
0,1,Artis Gilmore,29,82,,39.8,9.2,16.0,0.575,,,,9.2,16.0,0.575,0.575,5.3,7.2,0.739,3.6,9.1,12.7,3.3,0.6,1.9,3.8,3.4,23.7,1979
1,2,Reggie Theus,21,82,,33.6,6.5,13.6,0.48,,,,6.5,13.6,0.48,0.48,3.2,4.2,0.761,1.1,1.7,2.8,5.2,1.1,0.2,3.7,3.3,16.3,1979
2,3,Mickey Johnson,26,82,,31.6,6.0,13.5,0.449,,,,6.0,13.5,0.449,0.449,3.3,4.0,0.83,2.4,5.3,7.6,4.6,1.1,0.7,3.8,3.5,15.4,1979
3,4,Wilbur Holland,27,82,,30.3,5.4,11.5,0.473,,,,5.4,11.5,0.473,0.473,1.7,2.1,0.801,1.0,2.1,3.1,4.0,1.5,0.1,2.3,2.9,12.6,1979
4,5,Mark Landsberger,23,80,,24.5,3.5,7.3,0.475,,,,3.5,7.3,0.475,0.475,1.1,2.4,0.469,3.7,5.6,9.3,0.9,0.3,0.3,1.9,1.6,8.1,1979
5,6,Ollie Johnson,29,71,,24.4,4.0,7.6,0.52,,,,4.0,7.6,0.52,0.52,1.2,1.5,0.8,0.8,2.4,3.2,2.3,0.8,0.5,1.6,2.6,9.2,1979
6,7,John Mengelt,29,75,,22.7,4.5,9.2,0.491,,,,4.5,9.2,0.491,0.491,2.0,2.4,0.824,0.3,1.2,1.6,2.5,0.6,0.1,1.6,2.0,11.0,1979
7,8,John Brown,27,77,,16.4,2.0,4.1,0.479,,,,2.0,4.1,0.479,0.479,1.1,1.3,0.857,1.1,2.0,3.1,1.4,0.2,0.1,1.2,2.3,5.0,1979
8,9,Charles Dudley,28,43,,15.9,1.0,2.9,0.36,,,,1.0,2.9,0.36,0.36,0.7,1.0,0.667,0.6,1.4,2.0,2.7,0.7,0.0,1.5,1.9,2.7,1979
9,10,Scott May,24,37,,10.9,1.6,3.7,0.434,,,,1.6,3.7,0.434,0.434,0.8,1.1,0.75,0.4,1.4,1.7,1.1,0.6,0.0,1.4,1.4,4.0,1979
10,11,Tate Armstrong,23,26,,10.0,1.1,2.7,0.4,,,,1.1,2.7,0.4,0.4,0.4,0.5,0.769,0.3,0.5,0.8,1.2,0.4,0.0,0.8,0.8,2.5,1979
11,12,Steve Sheppard,24,22,,9.2,1.1,2.3,0.471,,,,1.1,2.3,0.471,0.471,0.5,0.9,0.632,0.7,0.5,1.3,0.7,0.2,0.0,1.0,0.7,2.7,1979
12,13,Scott Lloyd,26,67,,6.9,0.6,1.8,0.35,,,,0.6,1.8,0.35,0.35,0.4,0.7,0.574,0.7,0.7,1.4,0.5,0.1,0.1,0.6,1.3,1.7,1979
13,14,Andre Wakefield,24,2,,4.0,0.0,0.5,0.0,,,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,1979
0,1,Reggie Theus,22,82,,36.9,6.9,14.3,0.483,0.3,1.3,0.267,6.6,13.0,0.504,0.495,6.1,7.3,0.838,1.7,2.3,4.0,6.3,1.4,0.2,4.2,3.2,20.2,1980
1,2,Dave Greenwood,22,82,,34.0,6.1,12.8,0.474,0.0,0.1,0.143,6.1,12.7,0.476,0.474,4.1,5.1,0.81,2.7,6.7,9.4,2.2,0.7,1.6,2.6,3.8,16.3,1980
2,3,Artis Gilmore,30,48,,32.7,6.4,10.7,0.595,0.0,0.0,,6.4,10.7,0.595,0.595,5.1,7.2,0.712,2.3,6.8,9.0,2.8,0.6,1.2,2.8,3.5,17.8,1980
3,4,Ricky Sobers,27,82,,32.6,5.7,12.2,0.469,0.3,0.8,0.309,5.5,11.4,0.481,0.48,2.4,2.9,0.837,0.9,2.0,3.0,5.2,1.7,0.2,3.4,3.6,14.2,1980
4,5,Scott May,25,54,,24.0,4.9,10.9,0.45,0.0,0.1,0.0,4.9,10.8,0.453,0.45,2.7,3.2,0.837,1.4,2.6,4.0,1.9,0.8,0.1,1.4,2.3,12.4,1980
5,6,Coby Dietrick,31,79,,23.2,2.9,6.3,0.454,0.0,0.1,0.111,2.9,6.2,0.46,0.455,1.1,1.5,0.763,1.3,3.3,4.6,2.7,1.1,0.6,1.4,2.9,6.9,1980
6,7,Ollie Mack,22,23,,22.9,3.3,6.5,0.517,0.0,0.2,0.0,3.3,6.3,0.531,0.517,1.3,1.4,0.879,1.1,1.0,2.1,1.4,0.9,0.1,1.1,1.5,8.0,1980
7,8,Dwight Jones,27,53,,22.1,3.9,7.3,0.535,0.0,0.0,,3.9,7.3,0.535,0.535,2.2,3.1,0.721,1.6,4.0,5.6,1.7,0.5,0.7,1.9,3.0,10.1,1980
8,9,Dennis Awtrey,31,26,,21.5,1.0,2.3,0.45,0.0,0.0,,1.0,2.3,0.45,0.45,1.2,1.9,0.64,1.1,3.3,4.4,1.5,0.5,0.6,1.0,2.5,3.3,1980
9,10,Mark Landsberger,24,54,,21.0,3.4,6.4,0.529,0.0,0.0,,3.4,6.4,0.529,0.529,1.6,3.1,0.524,2.9,5.4,8.3,0.6,0.4,0.3,1.4,2.1,8.4,1980
10,11,Ollie Johnson,30,79,,19.4,3.3,6.7,0.497,0.0,0.1,0.091,3.3,6.5,0.506,0.498,1.0,1.2,0.882,0.6,1.4,2.1,2.0,0.7,0.3,1.2,2.1,7.7,1980
11,12,Sam Smith,25,30,,16.5,3.2,7.7,0.422,0.3,1.2,0.229,3.0,6.5,0.456,0.439,1.9,2.1,0.905,0.7,1.1,1.8,1.4,0.8,0.2,1.1,1.8,8.6,1980
12,13,Del Beshore,23,68,,12.8,1.3,3.7,0.352,0.1,0.4,0.385,1.1,3.3,0.348,0.372,0.9,1.3,0.667,0.2,0.7,0.9,2.0,0.9,0.1,1.5,1.5,3.6,1980
13,14,John Mengelt,30,36,,10.8,2.5,4.6,0.542,0.0,0.2,0.0,2.5,4.4,0.563,0.542,1.1,1.4,0.796,0.1,0.6,0.6,1.1,0.3,0.0,1.0,1.5,6.1,1980
14,15,Roger Brown,29,4,,9.3,0.3,0.8,0.333,0.0,0.0,,0.3,0.8,0.333,0.333,0.0,0.0,,0.5,2.0,2.5,0.3,0.0,0.8,0.0,1.0,0.5,1980
0,1,Artis Gilmore,31,82,,34.5,6.7,10.0,0.67,0.0,0.0,,6.7,10.0,0.67,0.67,4.6,6.5,0.705,2.7,7.4,10.1,2.1,0.6,2.4,2.9,3.6,17.9,1981
1,2,Reggie Theus,23,82,,34.4,6.6,13.4,0.495,0.2,1.1,0.2,6.4,12.3,0.521,0.503,5.4,6.7,0.809,1.5,2.0,3.5,5.2,1.5,0.2,3.2,3.1,18.9,1981
2,3,Dave Greenwood,23,82,,33.0,5.9,12.1,0.486,0.0,0.0,0.0,5.9,12.0,0.487,0.486,2.6,3.5,0.748,3.0,5.9,8.8,2.7,0.9,1.5,2.3,3.4,14.4,1981
3,4,Larry Kenon,28,77,,28.1,5.9,12.3,0.48,0.0,0.0,,5.9,12.3,0.48,0.48,2.3,3.2,0.735,2.3,2.8,5.2,1.6,1.0,0.2,2.1,2.1,14.1,1981
4,5,Bob Wilkerson,26,80,,28.0,4.1,8.9,0.462,0.0,0.1,0.1,4.1,8.8,0.467,0.462,1.7,2.0,0.84,1.1,2.5,3.5,3.4,1.3,0.3,2.2,2.1,10.0,1981
5,6,Ricky Sobers,28,71,,25.4,5.0,10.8,0.462,0.2,0.9,0.258,4.8,9.9,0.481,0.473,3.3,3.5,0.935,0.6,1.4,2.0,4.0,1.4,0.2,2.9,3.2,13.5,1981
6,7,Dwight Jones,28,81,,19.4,3.0,6.3,0.483,0.0,0.0,,3.0,6.3,0.483,0.483,1.5,2.0,0.776,1.6,3.4,5.0,1.2,0.5,0.4,1.6,2.5,7.6,1981
7,8,Coby Dietrick,32,82,,15.2,1.8,3.9,0.456,0.0,0.1,0.333,1.8,3.8,0.459,0.459,0.9,1.4,0.694,1.0,2.3,3.2,1.4,0.6,0.6,1.1,2.1,4.5,1981
8,9,Sam Worthen,23,64,,14.8,1.5,3.0,0.495,0.0,0.1,0.0,1.5,2.9,0.505,0.495,0.7,0.9,0.75,0.3,1.5,1.8,1.8,0.9,0.1,1.4,1.8,3.7,1981
9,10,Scott May,26,63,,12.9,2.6,5.4,0.488,0.0,0.0,,2.6,5.4,0.488,0.488,1.8,2.4,0.758,1.0,1.5,2.5,1.0,0.6,0.1,1.1,1.3,7.0,1981
10,11,James Wilkes,22,48,,11.3,1.8,3.8,0.462,0.0,0.0,0.0,1.8,3.8,0.464,0.462,0.6,0.9,0.69,0.8,1.3,2.0,0.6,0.5,0.3,0.7,1.8,4.1,1981
11,12,Ronnie Lester,22,8,,10.4,1.3,3.0,0.417,0.0,0.0,,1.3,3.0,0.417,0.417,1.3,1.4,0.909,0.4,0.4,0.8,0.9,0.3,0.0,1.1,0.6,3.8,1981
12,13,Ollie Mack,23,3,,5.3,0.3,2.0,0.167,0.0,0.0,,0.3,2.0,0.167,0.167,0.3,0.7,0.5,0.0,0.3,0.3,0.3,0.3,0.0,0.0,1.0,1.0,1981
0,1,Dave Greenwood,24,82,82.0,35.5,5.9,12.4,0.473,0.0,0.0,0.0,5.9,12.3,0.475,0.473,2.9,3.5,0.825,2.3,7.2,9.6,3.2,0.9,1.1,2.2,3.6,14.6,1982
1,2,Reggie Theus,24,82,82.0,34.6,6.8,14.6,0.469,0.3,1.2,0.25,6.5,13.3,0.489,0.479,4.4,5.5,0.808,1.4,2.4,3.8,5.8,1.1,0.2,3.4,3.0,18.4,1982
2,3,Artis Gilmore,32,82,82.0,34.1,6.7,10.2,0.652,0.0,0.0,1.0,6.6,10.2,0.652,0.653,5.2,6.7,0.768,2.7,7.5,10.2,1.7,0.6,2.7,2.8,3.5,18.5,1982
3,4,Ronnie Lester,23,75,74.0,30.0,4.4,8.8,0.501,0.1,0.1,0.5,4.3,8.7,0.501,0.504,2.8,3.4,0.813,1.0,1.8,2.8,4.8,1.1,0.2,2.5,2.1,11.6,1982
4,5,Dwight Jones,29,78,18.0,26.2,3.9,7.3,0.53,0.0,0.0,1.0,3.9,7.3,0.529,0.531,2.2,3.1,0.723,2.0,4.5,6.5,1.5,0.6,0.5,2.0,2.8,10.0,1982
5,6,Ricky Sobers,29,80,6.0,24.2,4.5,10.0,0.453,0.2,1.0,0.25,4.3,9.1,0.474,0.465,2.4,3.2,0.768,0.5,1.3,1.8,3.8,0.9,0.2,2.7,3.0,11.8,1982
6,7,Larry Kenon,29,60,30.0,17.3,3.2,6.9,0.466,0.0,0.0,,3.2,6.9,0.466,0.466,0.8,1.5,0.568,1.2,1.8,3.0,1.1,0.5,0.1,1.4,1.2,7.2,1982
7,8,Orlando Woolridge,22,75,12.0,15.8,2.7,5.3,0.513,0.0,0.0,0.0,2.7,5.2,0.517,0.513,1.9,2.7,0.699,1.1,1.9,3.0,1.1,0.3,0.3,1.4,2.0,7.3,1982
8,9,James Wilkes,23,57,22.0,15.1,2.2,4.7,0.481,0.0,0.0,0.0,2.2,4.6,0.483,0.481,1.0,1.4,0.725,1.1,1.7,2.8,1.1,0.5,0.3,1.1,2.0,5.5,1982
9,10,Coby Dietrick,33,74,0.0,13.5,1.2,2.7,0.46,0.0,0.0,0.0,1.2,2.7,0.462,0.46,0.5,0.7,0.704,0.9,1.7,2.5,1.2,0.7,0.4,0.6,1.8,3.0,1982
10,11,Ray Blume,23,49,2.0,11.1,2.1,4.5,0.459,0.1,0.4,0.222,2.0,4.2,0.48,0.468,0.4,0.6,0.643,0.3,0.6,0.8,1.4,0.5,0.0,1.1,1.2,4.6,1982
11,12,Tracy Jackson,22,38,0.0,10.8,1.8,3.8,0.473,0.0,0.0,,1.8,3.8,0.473,0.473,0.8,1.0,0.821,0.7,0.6,1.3,0.6,0.3,0.1,0.5,1.1,4.5,1982
12,13,Jackie Robinson,26,3,0.0,9.7,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.3,1.3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,3.3,1982
13,14,Roger Burkman,23,6,0.0,5.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.8,1.0,0.833,0.3,0.7,1.0,0.8,1.0,0.3,0.5,1.0,0.8,1982
0,1,Reggie Theus,25,82,81.0,34.8,9.1,19.1,0.478,0.3,1.1,0.231,8.9,18.0,0.493,0.485,5.3,6.6,0.801,1.1,2.5,3.7,5.9,1.7,0.2,3.9,3.4,23.8,1983
1,2,Dave Corzine,26,82,71.0,30.4,5.6,11.2,0.497,0.0,0.0,0.0,5.6,11.2,0.498,0.497,2.8,3.9,0.72,3.0,5.8,8.7,1.9,0.6,1.3,2.8,3.0,14.0,1983
2,3,Dave Greenwood,25,79,61.0,29.8,3.9,8.7,0.455,0.0,0.1,0.0,3.9,8.6,0.457,0.455,2.1,2.9,0.708,2.7,6.9,9.7,1.9,0.7,1.1,1.9,3.3,10.0,1983
3,4,Orlando Woolridge,23,57,38.0,28.5,6.3,10.9,0.58,0.0,0.1,0.0,6.3,10.9,0.583,0.58,3.8,6.0,0.638,2.1,3.1,5.2,1.7,0.7,0.8,2.8,3.1,16.5,1983
4,5,Quintin Dailey,22,76,32.0,27.4,6.2,13.3,0.466,0.1,0.3,0.2,6.1,12.9,0.473,0.469,2.7,3.7,0.73,1.1,2.3,3.4,3.7,0.9,0.1,2.7,3.3,15.1,1983
5,6,Rod Higgins,23,82,42.0,26.8,3.8,8.5,0.448,0.2,0.5,0.317,3.7,8.0,0.457,0.458,2.5,3.2,0.792,1.9,2.5,4.5,2.1,0.8,0.8,1.5,3.0,10.3,1983
6,7,Mark Olberding,26,80,31.0,22.7,3.1,6.5,0.481,0.0,0.2,0.167,3.1,6.4,0.488,0.483,2.4,3.1,0.782,1.4,3.1,4.5,1.6,0.6,0.1,1.9,3.1,8.7,1983
7,8,Ronnie Lester,24,65,38.0,22.1,3.1,6.9,0.453,0.0,0.1,0.0,3.1,6.8,0.458,0.453,1.9,2.6,0.725,0.7,1.9,2.6,5.1,0.8,0.1,2.1,1.9,8.1,1983
8,9,Tracy Jackson,23,78,3.0,16.8,2.6,5.5,0.467,0.0,0.2,0.154,2.5,5.3,0.477,0.469,1.2,1.6,0.73,1.1,1.2,2.3,1.3,0.8,0.1,1.1,1.7,6.3,1983
9,10,Dwight Jones,30,49,2.0,13.7,1.8,3.9,0.446,0.0,0.0,,1.8,3.9,0.446,0.446,1.0,1.5,0.627,1.1,2.8,4.0,0.8,0.4,0.3,1.3,1.8,4.5,1983
10,11,Dudley Bradley,25,58,11.0,11.8,1.4,2.7,0.516,0.0,0.1,0.2,1.4,2.7,0.526,0.519,0.6,0.8,0.8,0.5,1.3,1.8,1.8,0.8,0.2,1.0,1.6,3.5,1983
11,12,Jawann Oldham,25,16,0.0,10.7,1.9,3.6,0.534,0.0,0.0,,1.9,3.6,0.534,0.534,0.8,1.4,0.545,1.1,1.8,2.9,0.3,0.3,0.8,0.8,1.9,4.6,1983
12,13,Mike Bratz,27,15,0.0,9.3,0.9,2.8,0.333,0.1,0.5,0.125,0.9,2.3,0.382,0.345,0.7,0.9,0.769,0.2,1.1,1.3,1.5,0.5,0.0,0.9,1.3,2.6,1983
13,14,Larry Kenon,30,5,0.0,5.0,0.4,1.2,0.333,0.0,0.0,,0.4,1.2,0.333,0.333,0.0,0.0,,0.2,0.6,0.8,0.0,0.2,0.0,0.4,0.4,0.8,1983
14,15,Larry Spriggs,23,9,0.0,4.3,0.9,2.2,0.4,0.0,0.0,,0.9,2.2,0.4,0.4,0.6,0.8,0.714,0.2,0.8,1.0,0.3,0.1,0.2,0.2,0.3,2.3,1983
0,1,Dave Greenwood,26,78,76.0,34.8,4.7,9.7,0.49,0.0,0.0,0.0,4.7,9.6,0.491,0.49,2.7,3.7,0.737,2.7,7.3,10.1,1.8,0.9,0.9,1.9,3.4,12.2,1984
1,2,Orlando Woolridge,24,75,74.0,33.9,7.6,14.5,0.525,0.0,0.0,0.5,7.6,14.5,0.525,0.525,4.0,5.7,0.715,1.7,3.2,4.9,1.8,0.9,0.8,2.5,3.4,19.3,1984
2,3,Dave Corzine,27,82,82.0,32.6,4.7,10.0,0.467,0.0,0.1,0.333,4.7,9.9,0.469,0.469,2.8,3.4,0.84,2.1,5.0,7.0,2.5,0.7,1.5,2.1,2.8,12.2,1984
3,4,Quintin Dailey,23,82,42.0,29.9,7.1,15.0,0.474,0.0,0.4,0.125,7.1,14.6,0.484,0.476,3.9,4.8,0.811,0.7,2.1,2.9,3.1,1.3,0.1,2.7,2.7,18.2,1984
4,5,Ennis Whatley,21,80,73.0,27.0,3.3,7.0,0.469,0.0,0.0,0.0,3.3,6.9,0.471,0.469,1.8,2.5,0.73,0.8,1.7,2.5,8.3,1.5,0.2,3.4,2.8,8.4,1984
5,6,Mitchell Wiggins,24,82,40.0,25.9,4.9,10.9,0.448,0.1,0.4,0.241,4.8,10.5,0.455,0.452,2.6,3.5,0.742,1.7,2.3,4.0,2.3,1.3,0.1,1.7,3.4,12.4,1984
6,7,Rod Higgins,24,78,6.0,20.2,2.5,5.5,0.447,0.0,0.3,0.045,2.5,5.3,0.468,0.448,1.4,2.0,0.724,1.1,1.5,2.6,1.5,0.6,0.4,1.0,2.1,6.4,1984
7,8,Reggie Theus,26,31,5.0,19.4,3.0,7.6,0.388,0.1,0.5,0.2,2.9,7.2,0.401,0.395,2.7,3.5,0.778,0.7,0.8,1.5,4.6,0.7,0.1,1.9,2.5,8.7,1984
8,9,Steve Johnson,26,31,9.0,19.2,3.6,6.4,0.571,0.0,0.0,,3.6,6.4,0.571,0.571,2.1,3.5,0.582,2.2,3.2,5.4,0.6,0.5,0.7,1.9,3.8,9.4,1984
9,10,Ronnie Lester,25,43,3.0,16.0,1.8,4.4,0.415,0.0,0.1,0.2,1.8,4.3,0.421,0.418,1.7,2.0,0.862,0.5,0.6,1.1,3.9,0.7,0.1,1.7,1.4,5.4,1984
10,11,Sidney Green,23,49,0.0,13.6,2.0,4.7,0.439,0.0,0.0,,2.0,4.7,0.439,0.439,1.1,1.6,0.714,1.2,2.4,3.6,0.5,0.4,0.3,1.2,2.6,5.2,1984
11,12,Jawann Oldham,26,64,0.0,13.6,1.7,3.4,0.505,0.0,0.0,,1.7,3.4,0.505,0.505,0.6,1.0,0.591,1.2,2.5,3.6,0.5,0.2,1.2,1.3,2.2,4.0,1984
12,13,Wallace Bryant,24,29,0.0,10.9,1.8,4.6,0.391,0.0,0.0,,1.8,4.6,0.391,0.391,0.5,1.1,0.424,1.3,1.5,2.8,0.4,0.3,0.4,0.6,1.7,4.1,1984
0,1,Michael Jordan,21,82,82.0,38.3,10.2,19.8,0.515,0.1,0.6,0.173,10.1,19.2,0.526,0.518,7.7,9.1,0.845,2.0,4.5,6.5,5.9,2.4,0.8,3.5,3.5,28.2,1985
1,2,Orlando Woolridge,25,77,76.0,36.6,8.8,15.9,0.554,0.0,0.1,0.0,8.8,15.8,0.557,0.554,5.3,6.8,0.785,2.1,3.6,5.6,1.8,0.8,0.5,2.3,2.4,22.9,1985
2,3,Quintin Dailey,24,79,0.0,26.6,6.6,14.1,0.473,0.1,0.4,0.233,6.6,13.7,0.479,0.476,2.6,3.2,0.817,0.7,1.9,2.6,2.4,0.9,0.1,1.9,2.4,16.0,1985
3,4,Dave Corzine,28,82,50.0,25.1,3.4,6.9,0.486,0.0,0.0,0.0,3.4,6.9,0.487,0.486,1.8,2.4,0.745,1.6,3.6,5.1,1.7,0.4,0.8,1.5,2.3,8.5,1985
4,5,Dave Greenwood,27,61,28.0,25.0,2.5,5.4,0.458,0.0,0.0,0.0,2.5,5.4,0.459,0.458,1.1,1.5,0.713,1.8,4.6,6.4,1.3,0.6,0.3,1.0,3.1,6.1,1985
5,6,Steve Johnson,27,74,54.0,22.4,3.8,7.0,0.545,0.0,0.0,0.0,3.8,6.9,0.548,0.545,2.4,3.4,0.718,2.0,3.9,5.9,0.9,0.5,0.8,2.0,3.6,10.0,1985
6,7,Caldwell Jones,34,42,32.0,21.1,1.3,2.7,0.461,0.0,0.0,0.0,1.3,2.7,0.469,0.461,0.9,1.1,0.766,1.2,3.9,5.0,0.8,0.3,0.7,1.0,3.0,3.4,1985
7,8,Ennis Whatley,22,70,44.0,19.8,2.0,4.5,0.447,0.0,0.1,0.111,2.0,4.3,0.457,0.449,1.0,1.2,0.791,0.5,1.0,1.4,5.4,0.9,0.1,2.1,2.0,5.0,1985
