,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Team/G,,240.9,42.8,87.9,0.487,2.1,6.5,0.326,40.7,81.4,0.5,22.3,29.0,0.771,13.4,30.6,43.9,26.4,7.8,5.8,16.2,21.8,110.1,1993
2,Lg Rank,,22,2,9,5.0,20,22,16.0,3,4,6.0,7,9,5.0,17,7,10,4,21,8,15,7,2,1993
3,Year/Year,,-0.3%,-2.8%,-4.7%,0.01,49.6%,45.5%,0.009,-4.5%,-7.3%,0.014,11.9%,9.5%,0.016,-5.9%,6.0%,2.0%,-5.4%,-22.3%,53.1%,4.1%,-1.6%,0.6%,1993
4,Opponent,82.0,19755,3634,7698,0.472,234,753,0.311,3400,6945,0.49,1548,2080,0.744,1350,2403,3753,2277,599,438,1245,1923,9050,1993
5,Opponent/G,,240.9,44.3,93.9,0.472,2.9,9.2,0.311,41.5,84.7,0.49,18.9,25.4,0.744,16.5,29.3,45.8,27.8,7.3,5.3,15.2,23.5,110.4,1993
6,Lg Rank,,22,26,27,14.0,9,15,3.0,27,27,15.0,7,9,7.0,27,16,25,26,2,16,19,12,24,1993
7,Year/Year,,-0.3%,-2.2%,2.7%,-0.024,14.1%,19.1%,-0.014,-3.2%,1.2%,-0.022,-6.8%,-7.2%,0.003,7.7%,-6.9%,-2.1%,-3.8%,-3.5%,-16.4%,-10.6%,9.9%,-2.7%,1993
0,Team,82.0,19830,3382,7100,0.476,336,916,0.367,3046,6184,0.493,1632,2135,0.764,1019,2475,3494,2214,724,394,1266,1747,8732,1994
1,Team/G,,241.8,41.2,86.6,0.476,4.1,11.2,0.367,37.1,75.4,0.493,19.9,26.0,0.764,12.4,30.2,42.6,27.0,8.8,4.8,15.4,21.3,106.5,1994
2,Lg Rank,,3,3,6,7.0,6,8,2.0,8,10,7.0,12,17,4.0,24,6,15,2,13,18,11,10,4,1994
3,Year/Year,,0.4%,-3.7%,-1.5%,-0.011,92.0%,70.6%,0.041,-8.7%,-7.3%,-0.008,-10.9%,-10.1%,-0.007,-6.9%,-1.3%,-3.0%,2.5%,13.3%,-16.7%,-4.5%,-2.4%,-3.3%,1994
4,Opponent,82.0,19830,3463,7359,0.471,317,916,0.346,3146,6443,0.488,1507,2036,0.74,1217,2467,3684,2116,629,430,1260,1761,8750,1994
5,Opponent/G,,241.8,42.2,89.7,0.471,3.9,11.2,0.346,38.4,78.6,0.488,18.4,24.8,0.74,14.8,30.1,44.9,25.8,7.7,5.2,15.4,21.5,106.7,1994
6,Lg Rank,,3,24,26,16.0,26,25,17.0,24,24,16.0,9,9,18.0,24,17,21,22,3,15,18,19,24,1994
7,Year/Year,,0.4%,-4.7%,-4.4%,-0.001,35.5%,21.6%,0.035,-7.5%,-7.2%,-0.001,-2.6%,-2.1%,-0.004,-9.9%,2.7%,-1.8%,-7.1%,5.0%,-1.8%,1.2%,-8.4%,-3.3%,1994
