,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
5,Opponent/G,,241.5,,,,,,,,,,,,120.2,1967,,,,,,,,,
6,Lg Rank,,4,,,,,,,,,,,,9,1967,,,,,,,,,
7,Year/Year,,0.4%,,,,,,,,,,,,3.3%,1967,,,,,,,,,
0,Team,82.0,19855,3827,8031,0.477,2283,3143,0.726,,,5225,1983,2152,9937,1968,,,,,,,,,
1,Team/G,,242.1,46.7,97.9,0.477,27.8,38.3,0.726,,,63.7,24.2,26.2,121.2,1968,,,,,,,,,
2,Lg Rank,,3,2,10,1.0,2,3,5.0,,,9,5,7,2,1968,,,,,,,,,
3,Year/Year,,0.2%,-0.1%,-6.3%,0.029,2.9%,6.4%,-0.025,,,-4.7%,2.8%,-1.9%,0.5%,1968,,,,,,,,,
4,Opponent,82.0,19855,,,,,,,,,,,,9477,1968,,,,,,,,,
5,Opponent/G,,242.1,,,,,,,,,,,,115.6,1968,,,,,,,,,
6,Lg Rank,,3,,,,,,,,,,,,6,1968,,,,,,,,,
7,Year/Year,,0.2%,,,,,,,,,,,,-3.8%,1968,,,,,,,,,
0,Team,82.0,19905,3574,7620,0.469,2056,3161,0.65,,,4749,2068,1773,9204,1969,,,,,,,,,
1,Team/G,,242.7,43.6,92.9,0.469,25.1,38.5,0.65,,,57.9,25.2,21.6,112.2,1969,,,,,,,,,
2,Lg Rank,,1,8,14,1.0,8,1,14.0,,,5,3,1,6,1969,,,,,,,,,
3,Year/Year,,0.3%,-6.6%,-5.1%,-0.007,-9.9%,0.6%,-0.076,,,-9.1%,4.3%,-17.6%,-7.4%,1969,,,,,,,,,
4,Opponent,82.0,19905,,,,,,,,,,,,8864,1969,,,,,,,,,
5,Opponent/G,,242.7,,,,,,,,,,,,108.1,1969,,,,,,,,,
6,Lg Rank,,1,,,,,,,,,,,,4,1969,,,,,,,,,
7,Year/Year,,0.3%,,,,,,,,,,,,-6.5%,1969,,,,,,,,,
0,Team,82.0,19830,3668,7952,0.461,1991,2641,0.754,,,4154,2030,1896,9327,1970,,,,,,,,,
1,Team/G,,241.8,44.7,97.0,0.461,24.3,32.2,0.754,,,50.7,24.8,23.1,113.7,1970,,,,,,,,,
2,Lg Rank,,5,10,11,8.0,12,12,6.0,,,12,9,2,12,1970,,,,,,,,,
3,Year/Year,,-0.4%,2.6%,4.4%,-0.008,-3.2%,-16.5%,0.103,,,-12.5%,-1.8%,6.9%,1.3%,1970,,,,,,,,,
4,Opponent,82.0,19830,,,,,,,,,,,,9164,1970,,,,,,,,,
5,Opponent/G,,241.8,,,,,,,,,,,,111.8,1970,,,,,,,,,
6,Lg Rank,,5,,,,,,,,,,,,2,1970,,,,,,,,,
7,Year/Year,,-0.4%,,,,,,,,,,,,3.4%,1970,,,,,,,,,
0,Team,82.0,19755,3739,7857,0.476,1933,2717,0.711,,,4269,2205,1709,9411,1971,,,,,,,,,
1,Team/G,,240.9,45.6,95.8,0.476,23.6,33.1,0.711,,,52.1,26.9,20.8,114.8,1971,,,,,,,,,
2,Lg Rank,,8,4,11,2.0,10,8,17.0,,,11,3,1,7,1971,,,,,,,,,
3,Year/Year,,-0.4%,1.9%,-1.2%,0.015,-2.9%,2.9%,-0.042,,,2.8%,8.6%,-9.9%,0.9%,1971,,,,,,,,,
4,Opponent,82.0,19755,3796,8511,0.446,1567,2107,0.744,,,4552,2078,1951,9159,1971,,,,,,,,,
5,Opponent/G,,240.9,46.3,103.8,0.446,19.1,25.7,0.744,,,55.5,25.3,23.8,111.7,1971,,,,,,,,,
6,Lg Rank,,8,14,16,7.0,1,1,9.0,,,14,14,12,6,1971,,,,,,,,,
7,Year/Year,,-0.4%,,,,,,,,,,,,-0.1%,1971,,,,,,,,,
0,Team,82.0,19755,3920,7998,0.49,2080,2833,0.734,,,4628,2232,1636,9920,1972,,,,,,,,,
1,Team/G,,240.9,47.8,97.5,0.49,25.4,34.5,0.734,,,56.4,27.2,20.0,121.0,1972,,,,,,,,,
2,Lg Rank,,11,1,5,2.0,2,2,15.0,,,1,1,1,1,1972,,,,,,,,,
3,Year/Year,,0.0%,4.8%,1.8%,0.014,7.6%,4.3%,0.023,,,8.4%,1.2%,-4.3%,5.4%,1972,,,,,,,,,
4,Opponent,82.0,19755,3699,8553,0.432,1515,1972,0.768,,,4290,1994,1997,8913,1972,,,,,,,,,
5,Opponent/G,,240.9,45.1,104.3,0.432,18.5,24.0,0.768,,,52.3,24.3,24.4,108.7,1972,,,,,,,,,
6,Lg Rank,,11,15,17,2.0,1,1,17.0,,,12,11,4,6,1972,,,,,,,,,
7,Year/Year,,0.0%,-2.6%,0.5%,-0.014,-3.3%,-6.4%,0.025,,,-5.8%,-4.0%,2.4%,-2.7%,1972,,,,,,,,,
0,Team,82.0,19755,3740,7819,0.478,1679,2264,0.742,,,4562,2302,1636,9159,1973,,,,,,,,,
1,Team/G,,240.9,45.6,95.4,0.478,20.5,27.6,0.742,,,55.6,28.1,20.0,111.7,1973,,,,,,,,,
2,Lg Rank,,7,4,13,2.0,5,4,14.0,,,2,2,1,4,1973,,,,,,,,,
3,Year/Year,,0.0%,-4.6%,-2.2%,-0.012,-19.3%,-20.1%,0.007,,,-1.4%,3.1%,0.0%,-7.7%,1973,,,,,,,,,
4,Opponent,82.0,19755,3646,8409,0.434,1167,1583,0.737,,,4101,1963,1941,8459,1973,,,,,,,,,
5,Opponent/G,,240.9,44.5,102.5,0.434,14.2,19.3,0.737,,,50.0,23.9,23.7,103.2,1973,,,,,,,,,
6,Lg Rank,,7,8,17,2.0,1,1,1.0,,,7,7,4,5,1973,,,,,,,,,
7,Year/Year,,0.0%,-1.4%,-1.7%,0.001,-23.0%,-19.7%,-0.031,,,-4.4%,-1.6%,-2.8%,-5.1%,1973,,,,,,,,,
0,Team,82.0,19755,3536,7803,0.453,1879,2443,0.769,1365.0,2970.0,4335,2179,2032,8951,1974,794.0,653.0,1913.0,,,,,,
1,Team/G,,240.9,43.1,95.2,0.453,22.9,29.8,0.769,16.6,36.2,52.9,26.6,24.8,109.2,1974,9.7,8.0,23.3,,,,,,
2,Lg Rank,,6,10,5,12.0,1,1,10.0,3.0,3.0,3,4,12,3,1974,3.0,1.0,17.0,,,,,,
3,Year/Year,,0.0%,-5.5%,-0.2%,-0.025,11.9%,7.9%,0.028,,,-5.0%,-5.3%,24.2%,-2.3%,1974,,,,,,,,,
4,Opponent,82.0,19755,3667,8364,0.438,1546,2044,0.756,1525.0,2786.0,4311,2061,2135,8880,1974,797.0,430.0,1719.0,,,,,,
5,Opponent/G,,240.9,44.7,102.0,0.438,18.9,24.9,0.756,18.6,34.0,52.6,25.1,26.0,108.3,1974,9.7,5.2,21.0,,,,,,
6,Lg Rank,,6,16,17,2.0,8,9,3.0,17.0,12.0,16,11,2,12,1974,13.0,14.0,9.0,,,,,,
7,Year/Year,,0.0%,0.6%,-0.5%,0.005,32.5%,29.1%,0.019,,,5.1%,5.0%,10.0%,5.0%,1974,,,,,,,,,
0,Team,82.0,19855,3409,7577,0.45,1641,2182,0.752,1312,2763,4075,2091,2079,8459,1975,755,423,1785,,,,,,
1,Team/G,,242.1,41.6,92.4,0.45,20.0,26.6,0.752,16.0,33.7,49.7,25.5,25.4,103.2,1975,9.2,5.2,21.8,,,,,,
2,Lg Rank,,5,10,6,12.0,7,7,11.0,5,6,4,4,15,8,1975,4,2,16,,,,,,
3,Year/Year,,0.5%,-3.6%,-2.9%,-0.003,-12.7%,-10.7%,-0.017,-3.9%,-7.0%,-6.0%,-4.0%,2.3%,-5.5%,1975,-4.9%,-35.2%,-6.7%,,,,,,
4,Opponent,82.0,19855,3595,7914,0.454,1603,2117,0.757,1422,2807,4229,2239,2015,8793,1975,822,442,1606,,,,,,
5,Opponent/G,,242.1,43.8,96.5,0.454,19.5,25.8,0.757,17.3,34.2,51.6,27.3,24.6,107.2,1975,10.0,5.4,19.6,,,,,,
6,Lg Rank,,5,18,17,8.0,11,13,6.0,18,13,18,18,9,17,1975,16,18,10,,,,,,
7,Year/Year,,0.5%,-2.0%,-5.4%,0.016,3.7%,3.6%,0.001,-6.8%,0.8%,-1.9%,8.6%,-5.6%,-1.0%,1975,3.1%,2.8%,-6.6%,,,,,,
0,Team,82.0,19705,3547,7622,0.465,1670,2164,0.772,1132,2870,4002,1939,2025,8764,1976,674,528,1612,,,,,,
1,Team/G,,240.3,43.3,93.0,0.465,20.4,26.4,0.772,13.8,35.0,48.8,23.6,24.7,106.9,1976,8.2,6.4,19.7,,,,,,
2,Lg Rank,,17,2,6,6.0,8,11,5.0,11,3,5,7,10,3,1976,13,1,7,,,,,,
3,Year/Year,,-0.8%,4.0%,0.6%,0.015,1.8%,-0.8%,0.02,-13.7%,3.9%,-1.8%,-7.3%,-2.6%,3.6%,1976,-10.7%,24.8%,-9.7%,,,,,,
4,Opponent,82.0,19705,3592,7980,0.45,1573,2148,0.732,1384,2837,4221,2032,1987,8757,1976,775,363,1564,,,,,,
