Player,Salary,Year
Corey Brewer,"$2,725,920 ",2009
Mark Madsen,"$2,630,000 ",2009
Craig Smith,"$2,500,000 ",2009
Sebastian Telfair,"$2,300,000 ",2009
Rodney Carney,"$1,655,760 ",2009
Kevin Ollie,"$1,262,275 ",2009
Bobby Brown,"$442,114 ",2009
Al Jefferson,"$12,000,000 ",2010
Mark Blount,"$7,962,500 ",2010
Darko Milicic,"$7,500,000 ",2010
Antonio Daniels,"$5,863,580 ",2010
Ryan Gomes,"$3,867,500 ",2010
Ramon Sessions,"$3,670,667 ",2010
Kevin Love,"$3,401,040 ",2010
Damien Wilkins,"$3,300,000 ",2010
Jonny Flynn,"$2,969,280 ",2010
Corey Brewer,"$2,916,120 ",2010
Ryan Hollins,"$2,183,333 ",2010
Oleksiy Pecherov,"$1,547,640 ",2010
Sasha Pavlovic,"$1,500,000 ",2010
Alando Tucker,"$1,071,720 ",2010
Wayne Ellington,"$1,003,560 ",2010
Chucky Atkins,"$760,000 ",2010
Nathan Jawai,"$736,420 ",2010
Eddy Curry,"$11,530,592 ",2011
Michael Beasley,"$4,962,240 ",2011
Martell Webster,"$4,800,000 ",2011
Darko Milicic,"$4,325,000 ",2011
Nikola Pekovic,"$4,000,000 ",2011
Luke Ridnour,"$4,000,000 ",2011
Wesley Johnson,"$3,726,600 ",2011
Kevin Love,"$3,638,280 ",2011
Jonny Flynn,"$3,192,000 ",2011
Sebastian Telfair,"$2,700,000 ",2011
Anthony Tolliver,"$2,200,000 ",2011
Anthony Randolph,"$1,965,720 ",2011
Wayne Ellington,"$1,078,800 ",2011
Lazar Hayward,"$1,020,960 ",2011
Sundiata Gaines,"$237,626 ",2011
Maurice Ager,"$83,305 ",2011
Michael Beasley,"$6,262,347 ",2012
Martell Webster,"$5,256,000 ",2012
Darko Milicic,"$4,776,500 ",2012
Brad Miller,"$4,752,000 ",2012
Kevin Love,"$4,609,701 ",2012
Derrick Williams,"$4,602,720 ",2012
Nikola Pekovic,"$4,503,600 ",2012
Jose Barea,"$4,300,000 ",2012
Wesley Johnson,"$4,006,080 ",2012
Luke Ridnour,"$3,680,000 ",2012
Ricky Rubio,"$3,480,120 ",2012
Anthony Randolph,"$2,911,231 ",2012
Anthony Tolliver,"$2,050,000 ",2012
Wayne Ellington,"$1,154,040 ",2012
Malcolm Lee,"$500,000 ",2012
Kevin Love,"$13,668,750 ",2013
Andrei Kirilenko,"$9,779,349 ",2013
Darko Milicic,"$5,228,000 ",2013
Brandon Roy,"$5,100,000 ",2013
Derrick Williams,"$4,947,840 ",2013
Nikola Pekovic,"$4,837,200 ",2013
Jose Barea,"$4,493,500 ",2013
Luke Ridnour,"$4,000,000 ",2013
Ricky Rubio,"$3,741,120 ",2013
Alexey Shved,"$2,934,610 ",2013
Greg Stiemsma,"$2,575,000 ",2013
Dante Cunningham,"$2,090,000 ",2013
Josh Howard,"$1,229,255 ",2013
Louis Amundson,"$1,069,509 ",2013
Chase Budinger,"$885,120 ",2013
Malcolm Lee,"$762,195 ",2013
Martell Webster,"$600,000 ",2013
Mickael Gelabale,"$447,298 ",2013
Chris Johnson,"$447,298 ",2013
Will Conroy,"$85,439 ",2013
Lazar Hayward,"$80,413 ",2013
Kevin Love,"$14,693,906 ",2014
Nikola Pekovic,"$12,100,000 ",2014
Kevin Martin,"$6,500,000 ",2014
Derrick Williams,"$5,016,960 ",2014
Chase Budinger,"$5,000,000 ",2014
Jose Barea,"$4,687,000 ",2014
Corey Brewer,"$4,500,000 ",2014
Ricky Rubio,"$4,002,120 ",2014
Alexey Shved,"$3,150,000 ",2014
Dante Cunningham,"$2,180,000 ",2014
Shabazz Muhammad,"$1,887,120 ",2014
Ronny Turiaf,"$1,500,000 ",2014
Gorgui Dieng,"$1,352,640 ",2014
Chris Johnson,"$916,099 ",2014
Nikola Pekovic,"$12,100,000 ",2015
Kevin Garnett,"$12,000,000 ",2015
Kevin Martin,"$6,792,500 ",2015
Anthony Bennett,"$5,563,920 ",2015
Andrew Wiggins,"$5,510,640 ",2015
Ricky Rubio,"$5,070,686 ",2015
Chase Budinger,"$5,000,000 ",2015
Gary Neal,"$3,250,000 ",2015
Zach LaVine,"$2,055,840 ",2015
Shabazz Muhammad,"$1,971,960 ",2015
Adreian Payne,"$1,855,320 ",2015
Gorgui Dieng,"$1,413,480 ",2015
Robbie Hummel,"$880,000 ",2015
Justin Hamilton,"$816,482 ",2015
Lorenzo Brown,"$283,367 ",2015
Miroslav Raduljica,"$96,100 ",2015
Arinze Onuaku,"$43,226 ",2015
Sean Kilpatrick,"$29,843 ",2015
Ricky Rubio,"$12,365,000 ",2016
Nikola Pekovic,"$12,100,000 ",2016
Kevin Garnett,"$8,500,000 ",2016
Kevin Martin,"$7,085,000 ",2016
Andrew Wiggins,"$5,758,680 ",2016
Karl-Anthony Towns,"$5,703,600 ",2016
Nemanja Bjelica,"$4,000,000 ",2016
Anthony Bennett,"$3,650,000 ",2016
Zach LaVine,"$2,148,360 ",2016
Shabazz Muhammad,"$2,056,920 ",2016
Adreian Payne,"$1,938,840 ",2016
Andre Miller,"$1,499,187 ",2016
Tayshaun Prince,"$1,499,187 ",2016
Gorgui Dieng,"$1,474,440 ",2016
Tyus Jones,"$1,282,080 ",2016
