,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
5,Opponent/G,,241.9,,,,,,,,,,,,116.8,1967,,,,,,,,,
6,Lg Rank,,2,,,,,,,,,,,,4,1967,,,,,,,,,
7,Year/Year,,0.8%,,,,,,,,,,,,-0.3%,1967,,,,,,,,,
0,Team,82.0,19780,3755,8386,0.448,2215,3129,0.708,,,5452,1700,2240,9725,1968,,,,,,,,,
1,Team/G,,241.2,45.8,102.3,0.448,27.0,38.2,0.708,,,66.5,20.7,27.3,118.6,1968,,,,,,,,,
2,Lg Rank,,7,4,6,6.0,5,4,11.0,,,4,10,9,4,1968,,,,,,,,,
3,Year/Year,,-0.3%,5.3%,-3.0%,0.035,11.1%,13.4%,-0.015,,,-2.3%,14.6%,0.7%,6.6%,1968,,,,,,,,,
4,Opponent,82.0,19780,,,,,,,,,,,,9889,1968,,,,,,,,,
5,Opponent/G,,241.2,,,,,,,,,,,,120.6,1968,,,,,,,,,
6,Lg Rank,,7,,,,,,,,,,,,10,1968,,,,,,,,,
7,Year/Year,,-0.3%,,,,,,,,,,,,3.2%,1968,,,,,,,,,
0,Team,82.0,19755,3609,7997,0.451,2141,3025,0.708,,,4471,1757,2105,9359,1969,,,,,,,,,
1,Team/G,,240.9,44.0,97.5,0.451,26.1,36.9,0.708,,,54.5,21.4,25.7,114.1,1969,,,,,,,,,
2,Lg Rank,,9,4,10,6.0,3,4,9.0,,,13,12,9,5,1969,,,,,,,,,
3,Year/Year,,-0.1%,-3.9%,-4.6%,0.004,-3.3%,-3.3%,-0.0,,,-18.0%,3.4%,-6.0%,-3.8%,1969,,,,,,,,,
4,Opponent,82.0,19755,,,,,,,,,,,,9618,1969,,,,,,,,,
5,Opponent/G,,240.9,,,,,,,,,,,,117.3,1969,,,,,,,,,
6,Lg Rank,,9,,,,,,,,,,,,13,1969,,,,,,,,,
7,Year/Year,,-0.1%,,,,,,,,,,,,-2.7%,1969,,,,,,,,,
0,Team,82.0,19855,3565,7657,0.466,2116,2881,0.734,,,3831,1709,1930,9246,1970,,,,,,,,,
1,Team/G,,242.1,43.5,93.4,0.466,25.8,35.1,0.734,,,46.7,20.8,23.5,112.8,1970,,,,,,,,,
2,Lg Rank,,4,13,14,6.0,6,3,10.0,,,14,14,4,13,1970,,,,,,,,,
3,Year/Year,,0.5%,-1.2%,-4.3%,0.014,-1.2%,-4.8%,0.027,,,-14.3%,-2.7%,-8.3%,-1.2%,1970,,,,,,,,,
4,Opponent,82.0,19855,,,,,,,,,,,,9518,1970,,,,,,,,,
5,Opponent/G,,242.1,,,,,,,,,,,,116.1,1970,,,,,,,,,
6,Lg Rank,,4,,,,,,,,,,,,5,1970,,,,,,,,,
7,Year/Year,,0.5%,,,,,,,,,,,,-1.0%,1970,,,,,,,,,
0,Team,82.0,19855,3468,7730,0.449,2093,2808,0.745,,,3923,1696,1969,9029,1971,,,,,,,,,
1,Team/G,,242.1,42.3,94.3,0.449,25.5,34.2,0.745,,,47.8,20.7,24.0,110.1,1971,,,,,,,,,
2,Lg Rank,,1,13,15,9.0,7,5,10.0,,,17,17,9,13,1971,,,,,,,,,
3,Year/Year,,0.0%,-2.7%,1.0%,-0.017,-1.1%,-2.5%,0.011,,,2.4%,-0.8%,2.0%,-2.3%,1971,,,,,,,,,
4,Opponent,82.0,19855,3525,7713,0.457,2040,2703,0.755,,,4292,1912,2087,9090,1971,,,,,,,,,
5,Opponent/G,,242.1,43.0,94.1,0.457,24.9,33.0,0.755,,,52.3,23.3,25.5,110.9,1971,,,,,,,,,
6,Lg Rank,,1,8,4,13.0,11,9,16.0,,,7,4,5,5,1971,,,,,,,,,
7,Year/Year,,0.0%,,,,,,,,,,,,-4.5%,1971,,,,,,,,,
0,Team,82.0,19805,3482,7665,0.454,1981,2653,0.747,,,3970,1687,1954,8945,1972,,,,,,,,,
1,Team/G,,241.5,42.5,93.5,0.454,24.2,32.4,0.747,,,48.4,20.6,23.8,109.1,1972,,,,,,,,,
2,Lg Rank,,2,10,12,8.0,7,7,10.0,,,15,17,9,10,1972,,,,,,,,,
3,Year/Year,,-0.3%,0.4%,-0.8%,0.006,-5.4%,-5.5%,0.001,,,1.2%,-0.5%,-0.8%,-0.9%,1972,,,,,,,,,
4,Opponent,82.0,19805,3822,8106,0.472,1862,2474,0.753,,,4377,2214,1931,9506,1972,,,,,,,,,
5,Opponent/G,,241.5,46.6,98.9,0.472,22.7,30.2,0.753,,,53.4,27.0,23.5,115.9,1972,,,,,,,,,
6,Lg Rank,,2,16,16,15.0,6,6,12.0,,,14,15,10,16,1972,,,,,,,,,
7,Year/Year,,-0.3%,8.4%,5.1%,0.014,-8.7%,-8.5%,-0.002,,,2.0%,15.8%,-7.5%,4.6%,1972,,,,,,,,,
0,Team,82.0,19780,3666,7916,0.463,1710,2294,0.745,,,4105,1882,1812,9042,1973,,,,,,,,,
1,Team/G,,241.2,44.7,96.5,0.463,20.9,28.0,0.745,,,50.1,23.0,22.1,110.3,1973,,,,,,,,,
2,Lg Rank,,4,7,7,6.0,3,3,12.0,,,10,16,7,6,1973,,,,,,,,,
3,Year/Year,,-0.1%,5.3%,3.3%,0.009,-13.7%,-13.5%,-0.001,,,3.4%,11.6%,-7.3%,1.1%,1973,,,,,,,,,
4,Opponent,82.0,19780,3803,8064,0.472,1418,1862,0.762,,,4019,2263,1891,9024,1973,,,,,,,,,
5,Opponent/G,,241.2,46.4,98.3,0.472,17.3,22.7,0.762,,,49.0,27.6,23.1,110.0,1973,,,,,,,,,
6,Lg Rank,,4,15,10,14.0,4,4,11.0,,,5,14,7,10,1973,,,,,,,,,
7,Year/Year,,-0.1%,-0.5%,-0.5%,0.0,-23.8%,-24.7%,0.009,,,-8.2%,2.2%,-2.1%,-5.1%,1973,,,,,,,,,
0,Team,82.0,19755,3453,7515,0.459,1654,2164,0.764,1200.0,2681.0,3881,1956,1930,8560,1974,793.0,419.0,1763.0,,,,,,
1,Team/G,,240.9,42.1,91.6,0.459,20.2,26.4,0.764,14.6,32.7,47.3,23.9,23.5,104.4,1974,9.7,5.1,21.5,,,,,,
2,Lg Rank,,6,13,13,9.0,8,6,13.0,9.0,11.0,9,12,10,11,1974,4.0,6.0,11.0,,,,,,
3,Year/Year,,-0.1%,-5.8%,-5.1%,-0.004,-3.3%,-5.7%,0.019,,,-5.5%,3.9%,6.5%,-5.3%,1974,,,,,,,,,
4,Opponent,82.0,19755,3376,7499,0.45,1475,1932,0.763,1173.0,2632.0,3805,1980,1996,8227,1974,772.0,410.0,1822.0,,,,,,
5,Opponent/G,,240.9,41.2,91.5,0.45,18.0,23.6,0.763,14.3,32.1,46.4,24.1,24.3,100.3,1974,9.4,5.0,22.2,,,,,,
6,Lg Rank,,6,4,5,5.0,3,3,7.0,7.0,4.0,4,8,6,4,1974,12.0,12.0,4.0,,,,,,
7,Year/Year,,-0.1%,-11.2%,-7.0%,-0.021,4.0%,3.8%,0.002,,,-5.3%,-12.5%,5.6%,-8.8%,1974,,,,,,,,,
0,Team,82.0,19705,3289,7053,0.466,1533,1975,0.776,1002,2515,3517,1916,1866,8111,1975,679,380,1557,,,,,,
1,Team/G,,240.3,40.1,86.0,0.466,18.7,24.1,0.776,12.2,30.7,42.9,23.4,22.8,98.9,1975,8.3,4.6,19.0,,,,,,
2,Lg Rank,,18,16,18,5.0,11,11,6.0,16,16,18,10,1,17,1975,11,6,7,,,,,,
3,Year/Year,,-0.3%,-4.7%,-6.1%,0.007,-7.3%,-8.7%,0.012,-16.5%,-6.2%,-9.4%,-2.0%,-3.3%,-5.2%,1975,-14.4%,-9.3%,-11.7%,,,,,,
4,Opponent,82.0,19705,3409,7257,0.47,1410,1793,0.786,1104,2550,3654,2012,1875,8228,1975,663,306,1523,,,,,,
5,Opponent/G,,240.3,41.6,88.5,0.47,17.2,21.9,0.786,13.5,31.1,44.6,24.5,22.9,100.3,1975,8.1,3.7,18.6,,,,,,
6,Lg Rank,,18,8,4,15.0,2,1,17.0,6,2,2,11,15,4,1975,6,5,15,,,,,,
7,Year/Year,,-0.3%,1.0%,-3.2%,0.02,-4.4%,-7.2%,0.023,-5.9%,-3.1%,-4.0%,1.6%,-6.1%,0.0%,1975,-14.1%,-25.4%,-16.4%,,,,,,
0,Team,82.0,19780,3524,7598,0.464,1557,2049,0.76,1205,2545,3750,1751,2086,8605,1976,786,332,1619,,,,,,
1,Team/G,,241.2,43.0,92.7,0.464,19.0,25.0,0.76,14.7,31.0,45.7,21.4,25.4,104.9,1976,9.6,4.0,19.7,,,,,,
2,Lg Rank,,10,6,7,8.0,15,14,8.0,7,16,13,14,14,9,1976,6,13,10,,,,,,
3,Year/Year,,0.4%,7.1%,7.7%,-0.003,1.6%,3.7%,-0.016,20.3%,1.2%,6.6%,-8.6%,11.8%,6.1%,1976,15.8%,-12.6%,4.0%,,,,,,
4,Opponent,82.0,19780,3492,7479,0.467,1707,2211,0.772,1218,2690,3908,2014,1914,8691,1976,724,437,1671,,,,,,
5,Opponent/G,,241.2,42.6,91.2,0.467,20.8,27.0,0.772,14.9,32.8,47.7,24.6,23.3,106.0,1976,8.8,5.3,20.4,,,,,,
6,Lg Rank,,10,14,9,13.0,13,11,17.0,13,8,9,14,15,12,1976,8,17,6,,,,,,
7,Year/Year,,0.4%,2.4%,3.1%,-0.003,21.1%,23.3%,-0.014,10.3%,5.5%,7.0%,0.1%,2.1%,5.6%,1976,9.2%,42.8%,9.7%,,,,,,
0,Team,82.0,19730,3764,7792,0.483,1442,1960,0.736,1169,2495,3664,2004,2200,8970,1977,877,459,1718,,,,,,
1,Team/G,,240.6,45.9,95.0,0.483,17.6,23.9,0.736,14.3,30.4,44.7,24.4,26.8,109.4,1977,10.7,5.6,21.0,,,,,,
2,Lg Rank,,15,1,4,3.0,21,21,19.0,18,20,19,8,20,6,1977,5,7,15,,,,,,
3,Year/Year,,-0.3%,6.8%,2.6%,0.019,-7.4%,-4.3%,-0.024,-3.0%,-2.0%,-2.3%,14.4%,5.5%,4.2%,1977,11.6%,38.3%,6.1%,,,,,,
4,Opponent,82.0,19730,3561,7539,0.472,1933,2543,0.76,1317,2637,3954,1952,1827,9055,1977,793,381,1828,,,,,,
5,Opponent/G,,240.6,43.4,91.9,0.472,23.6,31.0,0.76,16.1,32.2,48.2,23.8,22.3,110.4,1977,9.7,4.6,22.3,,,,,,
6,Lg Rank,,15,14,10,17.0,22,22,20.0,17,11,16,13,21,20,1977,13,7,4,,,,,,
