,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
5,Opponent/G,,243.0,38.9,86.4,0.45,1.4,5.1,0.284,37.5,81.3,0.461,25.1,33.1,0.757,16.0,32.9,48.9,19.4,17.3,24.8,104.3,1972,,
6,Lg Rank,,2,1,1,3.0,4,5,5.0,1,1,2.0,7,7,6.0,1,4,1,2,9,10,1,1972,,
7,Year/Year,,0.1%,-21.0%,-19.0%,-0.011,-33.5%,-25.9%,-0.032,-20.4%,-18.6%,-0.011,4.9%,5.6%,-0.005,,,-15.7%,-26.3%,-7.0%,-1.5%,-16.2%,1972,,
0,Team,84.0,20335,3500,7644,0.458,145,440,0.33,3355,7204,0.466,2157,2861,0.754,1399,2612,4011,1898,1509,2145,9302,1973,,
1,Team/G,,242.1,41.7,91.0,0.458,1.7,5.2,0.33,39.9,85.8,0.466,25.7,34.1,0.754,16.7,31.1,47.8,22.6,18.0,25.5,110.7,1973,,
2,Lg Rank,,2,8,7,8.0,2,2,1.0,9,7,9.0,3,4,2.0,6,7,8,9,3,5,7,1973,,
3,Year/Year,,-0.4%,4.1%,1.9%,0.01,40.8%,43.3%,-0.006,2.9%,0.1%,0.013,11.0%,14.5%,-0.024,5.1%,-1.8%,0.5%,27.7%,24.1%,-7.3%,6.1%,1973,,
4,Opponent,84.0,20335,3790,7646,0.496,88,256,0.344,3702,7390,0.501,2001,2691,0.744,1270,2749,4019,2197,1550,2300,9669,1973,,
5,Opponent/G,,242.1,45.1,91.0,0.496,1.0,3.0,0.344,44.1,88.0,0.501,23.8,32.0,0.744,15.1,32.7,47.8,26.2,18.5,27.4,115.1,1973,,
6,Lg Rank,,2,10,5,10.0,4,1,10.0,10,5,10.0,4,4,4.0,2,7,3,10,5,1,9,1973,,
7,Year/Year,,-0.4%,16.0%,5.4%,0.045,-27.3%,-39.9%,0.06,17.7%,8.2%,0.04,-4.9%,-3.2%,-0.013,-5.7%,-0.4%,-2.2%,34.7%,6.6%,10.2%,10.4%,1973,,
0,Team,84.0,20360,3343,7347,0.455,51,241,0.212,3292,7106,0.463,1462,1878,0.778,1236,2645,3881,1808,1326,2197,8199,1974,600.0,225.0
1,Team/G,,242.4,39.8,87.5,0.455,0.6,2.9,0.212,39.2,84.6,0.463,17.4,22.4,0.778,14.7,31.5,46.2,21.5,15.8,26.2,97.6,1974,7.1,2.7
2,Lg Rank,,1,10,10,6.0,9,9,9.0,10,9,6.0,9,9,3.0,9,6,8,9,2,9,10,1974,9.0,10.0
3,Year/Year,,0.1%,-4.5%,-3.9%,-0.003,-64.8%,-45.2%,-0.118,-1.9%,-1.4%,-0.002,-32.2%,-34.4%,0.025,-11.7%,1.3%,-3.2%,-4.7%,-12.1%,2.4%,-11.9%,1974,,
4,Opponent,84.0,20360,3149,6964,0.452,107,372,0.288,3042,6592,0.461,1721,2268,0.759,1054,2557,3611,1764,1383,1970,8126,1974,601.0,409.0
5,Opponent/G,,242.4,37.5,82.9,0.452,1.3,4.4,0.288,36.2,78.5,0.461,20.5,27.0,0.759,12.5,30.4,43.0,21.0,16.5,23.5,96.7,1974,7.2,4.9
6,Lg Rank,,1,1,1,4.0,8,8,5.0,1,1,4.0,7,7,5.0,1,3,1,2,9,6,1,1974,1.0,5.0
7,Year/Year,,0.1%,-16.9%,-8.9%,-0.044,21.6%,45.3%,-0.056,-17.8%,-10.8%,-0.039,-14.0%,-15.7%,0.015,-17.0%,-7.0%,-10.2%,-19.7%,-10.8%,-14.3%,-16.0%,1974,,
0,Team,84.0,20285,3779,7909,0.478,41,157,0.261,3738,7752,0.482,1926,2373,0.812,1459,2801,4260,1870,1421,2043,9525,1975,695,373
1,Team/G,,241.5,45.0,94.2,0.478,0.5,1.9,0.261,44.5,92.3,0.482,22.9,28.3,0.812,17.4,33.3,50.7,22.3,16.9,24.3,113.4,1975,8.3,4.4
2,Lg Rank,,6,5,5,4.0,8,8,8.0,4,3,4.0,2,2,1.0,3,2,3,8,3,7,2,1975,6,7
3,Year/Year,,-0.4%,13.0%,7.6%,0.023,-19.6%,-34.9%,0.05,13.5%,9.1%,0.019,31.7%,26.4%,0.033,18.0%,5.9%,9.8%,3.4%,7.2%,-7.0%,16.2%,1975,15.8%,65.8%
4,Opponent,84.0,20285,3731,7909,0.472,112,396,0.283,3619,7513,0.482,1599,2129,0.751,1316,2570,3886,2082,1392,2157,9173,1975,698,447
5,Opponent/G,,241.5,44.4,94.2,0.472,1.3,4.7,0.283,43.1,89.4,0.482,19.0,25.3,0.751,15.7,30.6,46.3,24.8,16.6,25.7,109.2,1975,8.3,5.3
6,Lg Rank,,6,5,7,4.0,8,9,3.0,5,5,6.0,5,6,1.0,3,4,5,7,8,1,5,1975,3,8
7,Year/Year,,-0.4%,18.5%,13.6%,0.02,4.7%,6.5%,-0.005,19.0%,14.0%,0.02,-7.1%,-6.1%,-0.008,24.9%,0.5%,7.6%,18.0%,0.7%,9.5%,12.9%,1975,16.1%,9.3%
0,Team,84.0,20310,3888,7945,0.489,26,130,0.2,3862,7815,0.494,1905,2342,0.813,1305,2927,4232,2146,1576,2032,9707,1976,759,583
1,Team/G,,241.8,46.3,94.6,0.489,0.3,1.5,0.2,46.0,93.0,0.494,22.7,27.9,0.813,15.5,34.8,50.4,25.5,18.8,24.2,115.6,1976,9.0,6.9
2,Lg Rank,,5,2,6,2.0,9,9,9.0,2,3,2.0,4,4,2.0,9,1,5,2,5,4,2,1976,6,1
3,Year/Year,,0.1%,2.9%,0.5%,0.012,-36.6%,-17.2%,-0.061,3.3%,0.8%,0.012,-1.1%,-1.3%,0.002,-10.6%,4.5%,-0.7%,14.8%,10.9%,-0.5%,1.9%,1976,9.2%,56.3%
4,Opponent,84.0,20310,3760,8111,0.464,122,419,0.291,3638,7692,0.473,1720,2254,0.763,1307,2628,3935,2036,1475,2141,9362,1976,822,457
5,Opponent/G,,241.8,44.8,96.6,0.464,1.5,5.0,0.291,43.3,91.6,0.473,20.5,26.8,0.763,15.6,31.3,46.8,24.2,17.6,25.5,111.5,1976,9.8,5.4
6,Lg Rank,,5,5,7,4.0,9,9,4.0,5,5,4.0,3,3,3.0,1,3,2,5,7,4,4,1976,5,4
7,Year/Year,,0.1%,0.8%,2.6%,-0.008,8.9%,5.8%,0.008,0.5%,2.4%,-0.009,7.6%,5.9%,0.012,-0.7%,2.3%,1.3%,-2.2%,6.0%,-0.7%,2.1%,1976,17.8%,2.2%
0,Team,82.0,19755,3711,7657,0.485,,,,,,,2010,2522,0.797,1110,2550,3660,2115,1770,1966,9432,1977,857,499
1,Team/G,,240.9,45.3,93.4,0.485,,,,,,,24.5,30.8,0.797,13.5,31.1,44.6,25.8,21.6,24.0,115.0,1977,10.5,6.1
2,Lg Rank,,12,3,8,2.0,,,,,,,3,3,2.0,20,16,20,3,18,6,1,1977,7,3
3,Year/Year,,-0.4%,-2.2%,-1.3%,-0.005,,,,,,,8.1%,10.3%,-0.016,-12.9%,-10.8%,-11.4%,1.0%,15.0%,-0.9%,-0.5%,1977,15.7%,-12.3%
4,Opponent,82.0,19755,3935,8075,0.487,,,,,,,1512,2059,0.734,1329,2687,4016,2159,1822,2189,9382,1977,811,420
5,Opponent/G,,240.9,48.0,98.5,0.487,,,,,,,18.4,25.1,0.734,16.2,32.8,49.0,26.3,22.2,26.7,114.4,1977,9.9,5.1
6,Lg Rank,,12,22,22,22.0,,,,,,,5,5,2.0,19,14,19,20,5,5,22,1977,16,12
7,Year/Year,,-0.4%,7.2%,2.0%,0.024,,,,,,,-9.9%,-6.4%,-0.029,4.2%,4.7%,4.5%,8.6%,26.5%,4.7%,2.7%,1977,1.1%,-5.9%
0,Team,82.0,19780,3794,7594,0.5,,,,,,,1797,2234,0.804,1030,2594,3624,2240,1665,1871,9385,1978,797,553
1,Team/G,,241.2,46.3,92.6,0.5,,,,,,,21.9,27.2,0.804,12.6,31.6,44.2,27.3,20.3,22.8,114.5,1978,9.7,6.7
2,Lg Rank,,15,3,15,1.0,,,,,,,9,15,1.0,22,16,20,4,12,2,2,1978,13,2
3,Year/Year,,0.1%,2.2%,-0.8%,0.015,,,,,,,-10.6%,-11.4%,0.007,-7.2%,1.7%,-1.0%,5.9%,-5.9%,-4.8%,-0.5%,1978,-7.0%,10.8%
4,Opponent,82.0,19780,3808,8063,0.472,,,,,,,1494,1996,0.748,1345,2576,3921,2145,1662,2059,9110,1978,837,379
5,Opponent/G,,241.2,46.4,98.3,0.472,,,,,,,18.2,24.3,0.748,16.4,31.4,47.8,26.2,20.3,25.1,111.1,1978,10.2,4.6
6,Lg Rank,,15,22,21,13.0,,,,,,,3,3,8.0,19,8,15,19,11,13,18,1978,16,7
