,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
7,Year/Year,,0.1%,-0.4%,0.2%,-0.003,36.1%,33.1%,0.007,-1.1%,-0.9%,-0.001,-3.1%,-2.2%,-0.007,1.8%,1.7%,1.8%,-0.6%,2.0%,-2.1%,-0.7%,1986,6.8%,-4.0%
0,Team,82.0,19805,3532,7456,0.474,117,403,0.29,3415,7053,0.484,1701,2292,0.742,1285,2347,3632,2220,1406,1930,8882,1987,786,325
1,Team/G,,241.5,43.1,90.9,0.474,1.4,4.9,0.29,41.6,86.0,0.484,20.7,28.0,0.742,15.7,28.6,44.3,27.1,17.1,23.5,108.3,1987,9.6,4.0
2,Lg Rank,,10,10,3,16.0,10,9,12.0,9,6,15.0,22,20,18.0,5,18,12,8,14,8,14,1987,3,21
3,Year/Year,,0.0%,-1.8%,5.0%,-0.032,154.3%,105.6%,0.056,-3.8%,2.1%,-0.03,-9.6%,-9.2%,-0.004,20.2%,-2.7%,4.3%,-1.8%,-13.4%,-8.7%,-2.6%,1987,-1.7%,-16.7%
4,Opponent,82.0,19805,3704,7310,0.507,106,379,0.28,3598,6931,0.519,1786,2364,0.755,1100,2461,3561,2375,1417,1844,9300,1987,699,463
5,Opponent/G,,241.5,45.2,89.1,0.507,1.3,4.6,0.28,43.9,84.5,0.519,21.8,28.8,0.755,13.4,30.0,43.4,29.0,17.3,22.5,113.4,1987,8.5,5.6
6,Lg Rank,,10,22,11,22.0,7,11,4.0,22,12,22.0,8,8,5.0,2,16,12,22,8,22,16,1987,9,14
7,Year/Year,,0.0%,2.1%,-0.7%,0.014,8.2%,17.7%,-0.025,1.9%,-1.6%,0.018,-6.8%,-5.1%,-0.014,-4.9%,6.8%,2.9%,4.7%,-6.7%,-12.5%,0.3%,1987,-12.6%,2.2%
0,Team,82.0,19805,3706,7559,0.49,133,412,0.323,3573,7147,0.5,1769,2412,0.733,1184,2335,3519,2344,1418,1991,9314,1988,739,468
1,Team/G,,241.5,45.2,92.2,0.49,1.6,5.0,0.323,43.6,87.2,0.5,21.6,29.4,0.733,14.4,28.5,42.9,28.6,17.3,24.3,113.6,1988,9.0,5.7
2,Lg Rank,,5,2,2,7.0,11,11,8.0,2,2,5.0,16,11,21.0,11,15,16,4,16,15,4,1988,6,9
3,Year/Year,,0.0%,4.9%,1.4%,0.017,13.7%,2.2%,0.032,4.6%,1.3%,0.016,4.0%,5.2%,-0.009,-7.9%,-0.5%,-3.1%,5.6%,0.9%,3.2%,4.9%,1988,-6.0%,44.0%
4,Opponent,82.0,19805,3851,7678,0.502,157,450,0.349,3694,7228,0.511,1855,2390,0.776,1292,2513,3805,2470,1427,1969,9714,1988,690,537
5,Opponent/G,,241.5,47.0,93.6,0.502,1.9,5.5,0.349,45.0,88.1,0.511,22.6,29.1,0.776,15.8,30.6,46.4,30.1,17.4,24.0,118.5,1988,8.4,6.5
6,Lg Rank,,5,23,23,23.0,22,19,22.0,23,23,22.0,13,12,19.0,23,21,21,23,9,11,23,1988,9,23
7,Year/Year,,0.0%,4.0%,5.0%,-0.005,48.1%,18.7%,0.069,2.7%,4.3%,-0.008,3.9%,1.1%,0.021,17.5%,2.1%,6.9%,4.0%,0.7%,6.8%,4.5%,1988,-1.3%,16.0%
0,Team,82.0,19755,3469,7409,0.468,63,293,0.215,3406,7116,0.479,1651,2367,0.698,1295,2181,3476,2037,1712,2153,8652,1989,961,423
1,Team/G,,240.9,42.3,90.4,0.468,0.8,3.6,0.215,41.5,86.8,0.479,20.1,28.9,0.698,15.8,26.6,42.4,24.8,20.9,26.3,105.5,1989,11.7,5.2
2,Lg Rank,,21,12,10,19.0,23,23,24.0,8,6,20.0,21,13,25.0,7,25,21,16,24,25,19,1989,1,12
3,Year/Year,,-0.3%,-6.4%,-2.0%,-0.022,-52.6%,-28.9%,-0.108,-4.7%,-0.4%,-0.021,-6.7%,-1.9%,-0.036,9.4%,-6.6%,-1.2%,-13.1%,20.7%,8.1%,-7.1%,1989,30.0%,-9.6%
4,Opponent,82.0,19755,3486,7148,0.488,172,532,0.323,3314,6616,0.501,2105,2714,0.776,1256,2462,3718,2062,1728,1938,9249,1989,915,545
5,Opponent/G,,240.9,42.5,87.2,0.488,2.1,6.5,0.323,40.4,80.7,0.501,25.7,33.1,0.776,15.3,30.0,45.3,25.1,21.1,23.6,112.8,1989,11.2,6.6
6,Lg Rank,,21,13,8,18.0,14,11,14.0,12,8,19.0,25,25,18.0,21,17,19,9,1,13,19,1989,23,23
7,Year/Year,,-0.3%,-9.5%,-6.9%,-0.014,9.6%,18.2%,-0.026,-10.3%,-8.5%,-0.01,13.5%,13.6%,-0.001,-2.8%,-2.0%,-2.3%,-16.5%,21.1%,-1.6%,-4.8%,1989,32.6%,1.5%
0,Team,82.0,19730,3388,6997,0.484,54,226,0.239,3334,6771,0.492,1888,2535,0.745,1163,2474,3637,2037,1399,1854,8718,1990,799,554
1,Team/G,,240.6,41.3,85.3,0.484,0.7,2.8,0.239,40.7,82.6,0.492,23.0,30.9,0.745,14.2,30.2,44.4,24.8,17.1,22.6,106.3,1990,9.7,6.8
2,Lg Rank,,22,15,20,11.0,26,26,26.0,7,7,13.0,9,6,21.0,13,7,10,15,20,8,17,1990,5,1
3,Year/Year,,-0.1%,-2.3%,-5.6%,0.016,-14.3%,-22.9%,0.024,-2.1%,-4.8%,0.014,14.4%,7.1%,0.047,-10.2%,13.4%,4.6%,0.0%,-18.3%,-13.9%,0.8%,1990,-16.9%,31.0%
4,Opponent,82.0,19730,3269,7090,0.461,231,624,0.37,3038,6466,0.47,1663,2169,0.767,1125,2241,3366,1967,1420,1919,8432,1990,760,416
5,Opponent/G,,240.6,39.9,86.5,0.461,2.8,7.6,0.37,37.0,78.9,0.47,20.3,26.5,0.767,13.7,27.3,41.0,24.0,17.3,23.4,102.8,1990,9.3,5.1
6,Lg Rank,,22,5,12,3.0,26,25,27.0,4,9,3.0,8,8,15.0,11,4,6,9,7,10,5,1990,22,14
7,Year/Year,,-0.1%,-6.2%,-0.8%,-0.027,34.3%,17.3%,0.047,-8.3%,-2.3%,-0.031,-21.0%,-20.1%,-0.009,-10.4%,-9.0%,-9.5%,-4.6%,-17.8%,-1.0%,-8.8%,1990,-16.9%,-23.7%
0,Team,82.0,19830,3409,6988,0.488,81,297,0.273,3328,6691,0.497,1883,2459,0.766,1131,2657,3788,2140,1445,1896,8782,1991,670,571
1,Team/G,,241.8,41.6,85.2,0.488,1.0,3.6,0.273,40.6,81.6,0.497,23.0,30.0,0.766,13.8,32.4,46.2,26.1,17.6,23.1,107.1,1991,8.2,7.0
2,Lg Rank,,9,9,18,7.0,26,26,25.0,7,9,11.0,7,7,12.0,15,2,2,9,26,14,9,1991,17,2
3,Year/Year,,0.5%,0.6%,-0.1%,0.004,50.0%,31.4%,0.034,-0.2%,-1.2%,0.005,-0.3%,-3.0%,0.021,-2.8%,7.4%,4.2%,5.1%,3.3%,2.3%,0.7%,1991,-16.1%,3.1%
4,Opponent,82.0,19830,3265,7289,0.448,218,704,0.31,3047,6585,0.463,1664,2187,0.761,1122,2270,3392,1928,1260,2008,8412,1991,801,437
5,Opponent/G,,241.8,39.8,88.9,0.448,2.7,8.6,0.31,37.2,80.3,0.463,20.3,26.7,0.761,13.7,27.7,41.4,23.5,15.4,24.5,102.6,1991,9.8,5.3
6,Lg Rank,,9,4,20,1.0,24,26,9.0,4,14,1.0,10,11,10.0,14,5,6,7,15,6,5,1991,25,14
7,Year/Year,,0.5%,-0.1%,2.8%,-0.013,-5.6%,12.8%,-0.061,0.3%,1.8%,-0.007,0.1%,0.8%,-0.006,-0.3%,1.3%,0.8%,-2.0%,-11.3%,4.6%,-0.2%,1991,5.4%,5.0%
0,Team,82.0,19780,3377,7090,0.476,118,404,0.292,3259,6686,0.487,1652,2246,0.736,1229,2552,3781,2010,1308,1799,8524,1992,729,608
1,Team/G,,241.2,41.2,86.5,0.476,1.4,4.9,0.292,39.7,81.5,0.487,20.1,27.4,0.736,15.0,31.1,46.1,24.5,16.0,21.9,104.0,1992,8.9,7.4
2,Lg Rank,,20,13,17,10.0,25,24,24.0,7,9,12.0,12,12,23.0,7,4,4,17,16,11,16,1992,11,4
3,Year/Year,,-0.3%,-0.9%,1.5%,-0.012,45.7%,36.0%,0.019,-2.1%,-0.1%,-0.01,-12.3%,-8.7%,-0.03,8.7%,-4.0%,-0.2%,-6.1%,-9.5%,-5.1%,-2.9%,1992,8.8%,6.5%
4,Opponent,82.0,19780,3211,7098,0.452,243,700,0.347,2968,6398,0.464,1587,2061,0.77,1103,2362,3465,1882,1252,1810,8252,1992,753,463
5,Opponent/G,,241.2,39.2,86.6,0.452,3.0,8.5,0.347,36.2,78.0,0.464,19.4,25.1,0.77,13.5,28.8,42.3,23.0,15.3,22.1,100.6,1992,9.2,5.6
6,Lg Rank,,20,4,11,1.0,24,24,22.0,3,8,1.0,9,9,24.0,4,12,7,7,17,14,4,1992,21,18
7,Year/Year,,-0.3%,-1.7%,-2.6%,0.004,11.5%,-0.6%,0.037,-2.6%,-2.8%,0.001,-4.6%,-5.8%,0.009,-1.7%,4.1%,2.2%,-2.4%,-0.6%,-9.9%,-1.9%,1992,-6.0%,5.9%
0,Team,82.0,19855,3311,6762,0.49,236,692,0.341,3075,6070,0.507,1794,2346,0.765,919,2542,3461,2012,1227,1844,8652,1993,582,514
1,Team/G,,242.1,40.4,82.5,0.49,2.9,8.4,0.341,37.5,74.0,0.507,21.9,28.6,0.765,11.2,31.0,42.2,24.5,15.0,22.5,105.5,1993,7.1,6.3
2,Lg Rank,,7,15,24,3.0,16,15,11.0,17,21,4.0,9,11,10.0,27,4,21,16,6,11,12,1993,25,6
3,Year/Year,,0.4%,-2.0%,-4.6%,0.013,100.0%,71.3%,0.049,-5.6%,-9.2%,0.019,8.6%,4.5%,0.029,-25.2%,-0.4%,-8.5%,0.1%,-6.2%,2.5%,1.5%,1993,-20.2%,-15.5%
4,Opponent,82.0,19855,3290,7177,0.458,270,747,0.361,3020,6430,0.47,1583,2051,0.772,1082,2388,3470,1905,1131,1998,8433,1993,655,373
5,Opponent/G,,242.1,40.1,87.5,0.458,3.3,9.1,0.361,36.8,78.4,0.47,19.3,25.0,0.772,13.2,29.1,42.3,23.2,13.8,24.4,102.8,1993,8.0,4.5
6,Lg Rank,,7,10,19,4.0,20,13,27.0,8,20,2.0,9,7,26.0,8,14,11,5,26,6,9,1993,8,6
7,Year/Year,,0.4%,2.5%,1.1%,0.006,11.1%,6.7%,0.014,1.8%,0.5%,0.006,-0.3%,-0.5%,0.002,-1.9%,1.1%,0.1%,1.2%,-9.7%,10.4%,2.2%,1993,-13.0%,-19.4%
0,Team,82.0,19780,3178,6688,0.475,249,714,0.349,2929,5974,0.49,1597,2151,0.742,1189,2597,3786,1896,1198,1662,8202,1994,561,450
1,Team/G,,241.2,38.8,81.6,0.475,3.0,8.7,0.349,35.7,72.9,0.49,19.5,26.2,0.742,14.5,31.7,46.2,23.1,14.6,20.3,100.0,1994,6.8,5.5
2,Lg Rank,,8,17,25,9.0,16,20,7.0,17,20,9.0,14,16,13.0,8,2,2,21,5,5,20,1994,27,10
3,Year/Year,,-0.4%,-4.0%,-1.1%,-0.014,5.5%,3.2%,0.008,-4.7%,-1.6%,-0.016,-11.0%,-8.3%,-0.022,29.4%,2.2%,9.4%,-5.8%,-2.4%,-9.9%,-5.2%,1994,-3.6%,-12.5%
4,Opponent,82.0,19780,3066,6880,0.446,290,871,0.333,2776,6009,0.462,1349,1875,0.719,1089,2153,3242,1769,1020,1791,7771,1994,632,346
5,Opponent/G,,241.2,37.4,83.9,0.446,3.5,10.6,0.333,33.9,73.3,0.462,16.5,22.9,0.719,13.3,26.3,39.5,21.6,12.4,21.8,94.8,1994,7.7,4.2
6,Lg Rank,,8,8,12,4.0,20,21,13.0,6,9,4.0,3,4,4.0,9,1,2,3,27,16,2,1994,4,4
7,Year/Year,,-0.4%,-6.8%,-4.1%,-0.013,7.4%,16.6%,-0.028,-8.1%,-6.5%,-0.008,-14.8%,-8.6%,-0.052,0.6%,-9.8%,-6.6%,-7.1%,-9.8%,-10.4%,-7.9%,1994,-3.5%,-7.2%
0,Team,82.0,19855,3236,6687,0.484,434,1158,0.375,2802,5529,0.507,1836,2487,0.738,1029,2661,3690,1919,1246,1871,8742,1995,656,456
1,Team/G,,242.1,39.5,81.5,0.484,5.3,14.1,0.375,34.2,67.4,0.507,22.4,30.3,0.738,12.5,32.5,45.0,23.4,15.2,22.8,106.6,1995,8.0,5.6
2,Lg Rank,,9,6,14,4.0,15,19,7.0,6,10,6.0,3,2,12.0,20,1,4,12,7,12,4,1995,16,9
3,Year/Year,,0.4%,1.8%,-0.0%,0.009,74.3%,62.2%,0.026,-4.3%,-7.4%,0.016,15.0%,15.6%,-0.004,-13.5%,2.5%,-2.5%,1.2%,4.0%,12.6%,6.6%,1995,16.9%,1.3%
4,Opponent,82.0,19855,3168,6974,0.454,426,1251,0.341,2742,5723,0.479,1491,2089,0.714,1017,2303,3320,1878,1182,2063,8253,1995,633,408
5,Opponent/G,,242.1,38.6,85.0,0.454,5.2,15.3,0.341,33.4,69.8,0.479,18.2,25.5,0.714,12.4,28.1,40.5,22.9,14.4,25.2,100.6,1995,7.7,5.0
6,Lg Rank,,9,16,22,7.0,9,17,4.0,17,21,7.0,6,9,2.0,5,10,7,13,25,2,12,1995,4,11
7,Year/Year,,0.4%,3.3%,1.4%,0.009,46.9%,43.6%,0.008,-1.2%,-4.8%,0.017,10.5%,11.4%,-0.006,-6.6%,7.0%,2.4%,6.2%,15.9%,15.2%,6.2%,1995,0.2%,17.9%
0,Team,82.0,19780,3148,6602,0.477,518,1320,0.392,2630,5282,0.498,1663,2261,0.736,937,2586,3523,2044,1195,1820,8477,1996,645,536
1,Team/G,,241.2,38.4,80.5,0.477,6.3,16.1,0.392,32.1,64.4,0.498,20.3,27.6,0.736,11.4,31.5,43.0,24.9,14.6,22.2,103.4,1996,7.9,6.5
2,Lg Rank,,17,7,16,8.0,12,16,4.0,10,17,9.0,9,11,18.0,24,1,6,4,5,10,6,1996,14,3
3,Year/Year,,-0.4%,-2.7%,-1.3%,-0.007,19.4%,14.0%,0.018,-6.1%,-4.5%,-0.009,-9.4%,-9.1%,-0.003,-8.9%,-2.8%,-4.5%,6.5%,-4.1%,-2.7%,-3.0%,1996,-1.7%,17.5%
4,Opponent,82.0,19780,3017,6866,0.439,441,1337,0.33,2576,5529,0.466,1485,2034,0.73,1109,2473,3582,1849,1257,1972,7960,1996,604,428
5,Opponent/G,,241.2,36.8,83.7,0.439,5.4,16.3,0.33,31.4,67.4,0.466,18.1,24.8,0.73,13.5,30.2,43.7,22.5,15.3,24.0,97.1,1996,7.4,5.2
6,Lg Rank,,17,12,27,3.0,4,16,1.0,16,24,4.0,10,9,6.0,25,24,24,14,21,8,11,1996,9,20
7,Year/Year,,-0.4%,-4.8%,-1.5%,-0.015,3.5%,6.9%,-0.011,-6.1%,-3.4%,-0.013,-0.4%,-2.6%,0.016,9.0%,7.4%,7.9%,-1.5%,6.3%,-4.4%,-3.6%,1996,-4.6%,4.9%
0,Team,82.0,19730,2827,6391,0.442,378,1180,0.32,2449,5211,0.47,1386,1929,0.719,1101,2129,3230,1661,1243,1764,7418,1997,646,431
1,Team/G,,240.6,34.5,77.9,0.442,4.6,14.4,0.32,29.9,63.5,0.47,16.9,23.5,0.719,13.4,26.0,39.4,20.3,15.2,21.5,90.5,1997,7.9,5.3
2,Lg Rank,,27,23,20,21.0,25,23,28.0,15,12,19.0,25,25,24.0,5,29,24,26,9,10,27,1997,19,10
3,Year/Year,,-0.3%,-10.2%,-3.2%,-0.034,-27.0%,-10.6%,-0.072,-6.9%,-1.3%,-0.028,-16.7%,-14.7%,-0.017,17.5%,-17.7%,-8.3%,-18.7%,4.0%,-3.1%,-12.5%,1997,0.2%,-19.6%
4,Opponent,82.0,19730,3002,6379,0.471,552,1425,0.387,2450,4954,0.495,1508,2042,0.738,1048,2302,3350,1955,1180,1646,8064,1997,664,448
5,Opponent/G,,240.6,36.6,77.8,0.471,6.7,17.4,0.387,29.9,60.4,0.495,18.4,24.9,0.738,12.8,28.1,40.9,23.8,14.4,20.1,98.3,1997,8.1,5.5
6,Lg Rank,,27,18,9,25.0,26,19,28.0,13,7,23.0,12,12,16.0,15,13,13,23,26,28,19,1997,13,24
7,Year/Year,,-0.3%,-0.5%,-7.1%,0.031,25.2%,6.6%,0.058,-4.9%,-10.4%,0.029,1.5%,0.4%,0.008,-5.5%,-6.9%,-6.5%,5.7%,-6.1%,-16.5%,1.3%,1997,9.9%,4.7%
0,Team,82.0,19830,2898,6187,0.468,302,863,0.35,2596,5324,0.488,1489,2164,0.688,984,2638,3622,1839,1318,1731,7587,1998,516,568
1,Team/G,,241.8,35.3,75.5,0.468,3.7,10.5,0.35,31.7,64.9,0.488,18.2,26.4,0.688,12.0,32.2,44.2,22.4,16.1,21.1,92.5,1998,6.3,6.9
2,Lg Rank,,10,18,28,5.0,20,23,14.0,14,22,6.0,20,12,27.0,24,1,3,12,20,6,23,1998,29,2
3,Year/Year,,0.5%,2.5%,-3.2%,0.026,-20.1%,-26.9%,0.03,6.0%,2.2%,0.018,7.4%,12.2%,-0.03,-10.6%,23.9%,12.1%,10.7%,6.0%,-1.9%,2.3%,1998,-20.1%,31.8%
4,Opponent,82.0,19830,2737,6656,0.411,338,1029,0.328,2399,5627,0.426,1448,1956,0.74,1017,2236,3253,1556,1045,1845,7260,1998,730,378
5,Opponent/G,,241.8,33.4,81.2,0.411,4.1,12.5,0.328,29.3,68.6,0.426,17.7,23.9,0.74,12.4,27.3,39.7,19.0,12.7,22.5,88.5,1998,8.9,4.6
6,Lg Rank,,10,4,19,1.0,10,13,8.0,3,19,1.0,7,5,16.0,10,6,7,1,29,14,1,1998,21,11
7,Year/Year,,0.5%,-8.8%,4.3%,-0.059,-38.8%,-27.8%,-0.059,-2.1%,13.6%,-0.068,-4.0%,-4.2%,0.002,-3.0%,-2.9%,-2.9%,-20.4%,-11.4%,12.1%,-10.0%,1998,9.9%,-15.6%
0,Team,50.0,12075,1740,3812,0.456,172,521,0.33,1568,3291,0.476,988,1415,0.698,614,1584,2198,1101,759,1010,4640,1999,421,351
1,Team/G,,241.5,34.8,76.2,0.456,3.4,10.4,0.33,31.4,65.8,0.476,19.8,28.3,0.698,12.3,31.7,44.0,22.0,15.2,20.2,92.8,1999,8.4,7.0
2,Lg Rank,,13,12,21,5.0,24,25,19.0,5,12,6.0,11,5,24.0,17,1,4,6,12,4,13,1999,15,1
3,Year/Year,,-0.1%,-1.5%,1.0%,-0.012,-6.6%,-1.0%,-0.02,-0.9%,1.4%,-0.011,8.8%,7.2%,0.01,2.3%,-1.5%,-0.5%,-1.8%,-5.6%,-4.3%,0.3%,1999,33.8%,1.3%
4,Opponent,50.0,12075,1631,4061,0.402,170,559,0.304,1461,3502,0.417,805,1148,0.701,696,1407,2103,941,730,1148,4237,1999,437,243
5,Opponent/G,,241.5,32.6,81.2,0.402,3.4,11.2,0.304,29.2,70.0,0.417,16.1,23.0,0.701,13.9,28.1,42.1,18.8,14.6,23.0,84.7,1999,8.7,4.9
6,Lg Rank,,13,10,27,1.0,1,1,2.0,12,28,2.0,5,5,2.0,28,12,16,5,22,9,3,1999,21,13
7,Year/Year,,-0.1%,-2.3%,0.1%,-0.01,-17.5%,-10.9%,-0.024,-0.1%,2.1%,-0.009,-8.8%,-3.7%,-0.039,12.2%,3.2%,6.0%,-0.8%,14.6%,2.0%,-4.3%,1999,-1.8%,5.4%
0,Team,82.0,19855,2952,6393,0.462,330,882,0.374,2622,5511,0.476,1652,2214,0.746,927,2666,3593,1819,1233,1716,7886,2000,614,551
1,Team/G,,242.1,36.0,78.0,0.462,4.0,10.8,0.374,32.0,67.2,0.476,20.1,27.0,0.746,11.3,32.5,43.8,22.2,15.0,20.9,96.2,2000,7.5,6.7
2,Lg Rank,,2,24,26,5.0,23,24,6.0,15,19,13.0,5,5,17.0,24,2,9,16,13,3,21,2000,18,2
3,Year/Year,,0.3%,3.4%,2.3%,0.005,17.0%,3.2%,0.044,2.0%,2.1%,-0.001,2.0%,-4.6%,0.048,-7.9%,2.6%,-0.3%,0.7%,-0.9%,3.6%,3.6%,2000,-11.1%,-4.3%
4,Opponent,82.0,19855,2884,6781,0.425,355,1036,0.343,2529,5745,0.44,1276,1726,0.739,986,2410,3396,1667,1181,1893,7399,2000,645,429
5,Opponent/G,,242.1,35.2,82.7,0.425,4.3,12.6,0.343,30.8,70.1,0.44,15.6,21.0,0.739,12.0,29.4,41.4,20.3,14.4,23.1,90.2,2000,7.9,5.2
6,Lg Rank,,2,8,18,5.0,4,7,11.0,9,22,4.0,1,1,3.0,12,6,9,5,22,15,1,2000,17,16
7,Year/Year,,0.3%,7.8%,1.8%,0.024,27.3%,13.0%,0.039,5.5%,0.0%,0.023,-3.3%,-8.3%,0.038,-13.6%,4.4%,-1.5%,8.0%,-1.4%,0.5%,6.5%,2000,-10.0%,7.6%
0,Team,82.0,19830,2884,6262,0.461,445,1094,0.407,2439,5168,0.472,1673,2340,0.715,902,2712,3614,1778,1145,1551,7886,2001,568,576
1,Team/G,,241.8,35.2,76.4,0.461,5.4,13.3,0.407,29.7,63.0,0.472,20.4,28.5,0.715,11.0,33.1,44.1,21.7,14.0,18.9,96.2,2001,6.9,7.0
2,Lg Rank,,13,19,27,4.0,10,15,1.0,22,25,9.0,4,1,25.0,24,1,9,16,7,1,12,2001,24,1
3,Year/Year,,-0.1%,-2.3%,-2.0%,-0.001,34.8%,24.0%,0.033,-7.0%,-6.2%,-0.004,1.3%,5.7%,-0.031,-2.7%,1.7%,0.6%,-2.3%,-7.1%,-9.6%,0.0%,2001,-7.5%,4.5%
4,Opponent,82.0,19830,2837,6770,0.419,343,1043,0.329,2494,5727,0.435,1233,1664,0.741,967,2432,3399,1617,1107,1946,7250,2001,600,426
5,Opponent/G,,241.8,34.6,82.6,0.419,4.2,12.7,0.329,30.4,69.8,0.435,15.0,20.3,0.741,11.8,29.7,41.5,19.7,13.5,23.7,88.4,2001,7.3,5.2
6,Lg Rank,,13,9,22,2.0,2,5,1.0,11,27,2.0,1,2,9.0,11,10,9,4,25,5,3,2001,8,14
7,Year/Year,,-0.1%,-1.6%,-0.2%,-0.006,-3.4%,0.7%,-0.014,-1.4%,-0.3%,-0.005,-3.4%,-3.6%,0.002,-1.9%,0.9%,0.1%,-3.0%,-6.3%,2.8%,-2.0%,2001,-7.0%,-0.7%
0,Team,82.0,19855,2913,6363,0.458,438,1211,0.362,2475,5152,0.48,1668,2249,0.742,907,2566,3473,1643,1180,1575,7932,2002,625,537
1,Team/G,,242.1,35.5,77.6,0.458,5.3,14.8,0.362,30.2,62.8,0.48,20.3,27.4,0.742,11.1,31.3,42.4,20.0,14.4,19.2,96.7,2002,7.6,6.5
2,Lg Rank,,6,18,28,7.0,11,12,10.0,23,25,6.0,3,3,20.0,24,6,13,27,14,4,10,2002,18,3
3,Year/Year,,0.1%,1.0%,1.6%,-0.003,-1.6%,10.7%,-0.045,1.5%,-0.3%,0.008,-0.3%,-3.9%,0.027,0.6%,-5.4%,-3.9%,-7.6%,3.1%,1.5%,0.6%,2002,10.0%,-6.8%
4,Opponent,82.0,19855,2883,6775,0.426,374,1108,0.338,2509,5667,0.443,1283,1651,0.777,1003,2429,3432,1543,1192,1896,7423,2002,635,428
5,Opponent/G,,242.1,35.2,82.6,0.426,4.6,13.5,0.338,30.6,69.1,0.443,15.6,20.1,0.777,12.2,29.6,41.9,18.8,14.5,23.1,90.5,2002,7.7,5.2
6,Lg Rank,,6,9,19,4.0,3,4,4.0,13,23,2.0,2,2,29.0,16,10,11,2,14,3,3,2002,17,17
7,Year/Year,,0.1%,1.6%,0.1%,0.006,9.0%,6.2%,0.009,0.6%,-1.0%,0.007,4.1%,-0.8%,0.036,3.7%,-0.1%,1.0%,-4.6%,7.7%,-2.6%,2.4%,2002,5.8%,0.5%
0,Team,82.0,19830,2908,6297,0.462,449,1270,0.354,2459,5027,0.489,1591,2194,0.725,939,2556,3495,1636,1295,1672,7856,2003,629,529
1,Team/G,,241.8,35.5,76.8,0.462,5.5,15.5,0.354,30.0,61.3,0.489,19.4,26.8,0.725,11.5,31.2,42.6,20.0,15.8,20.4,95.8,2003,7.7,6.5
2,Lg Rank,,14,16,27,4.0,11,11,11.0,19,27,1.0,10,6,26.0,21,6,11,22,23,5,12,2003,17,1
3,Year/Year,,-0.1%,-0.2%,-1.0%,0.004,2.5%,4.9%,-0.008,-0.6%,-2.4%,0.009,-4.6%,-2.4%,-0.017,3.5%,-0.4%,0.6%,-0.4%,9.7%,6.2%,-1.0%,2003,0.6%,-1.5%
4,Opponent,82.0,19830,2862,6703,0.427,354,1043,0.339,2508,5660,0.443,1334,1737,0.768,1029,2322,3351,1559,1231,1915,7412,2003,665,422
5,Opponent/G,,241.8,34.9,81.7,0.427,4.3,12.7,0.339,30.6,69.0,0.443,16.3,21.2,0.768,12.5,28.3,40.9,19.0,15.0,23.4,90.4,2003,8.1,5.1
6,Lg Rank,,14,9,20,3.0,3,4,7.0,15,25,3.0,2,2,24.0,21,3,7,3,12,5,3,2003,19,18
7,Year/Year,,-0.1%,-0.7%,-1.1%,0.001,-5.3%,-5.9%,0.002,-0.0%,-0.1%,0.0,4.0%,5.2%,-0.009,2.6%,-4.4%,-2.4%,1.0%,3.3%,1.0%,-0.1%,2003,4.7%,-1.4%
0,Team,82.0,19755,2842,6434,0.442,408,1140,0.358,2434,5294,0.46,1409,2069,0.681,1029,2669,3698,1676,1203,1667,7501,2004,661,537
1,Team/G,,240.9,34.7,78.5,0.442,5.0,13.9,0.358,29.7,64.6,0.46,17.2,25.2,0.681,12.5,32.5,45.1,20.4,14.7,20.3,91.5,2004,8.1,6.5
2,Lg Rank,,23,16,20,14.0,17,18,6.0,17,16,15.0,20,10,29.0,11,1,3,19,11,5,19,2004,11,3
3,Year/Year,,-0.4%,-2.3%,2.2%,-0.02,-9.1%,-10.2%,0.004,-1.0%,5.3%,-0.029,-11.4%,-5.7%,-0.044,9.6%,4.4%,5.8%,2.4%,-7.1%,-0.3%,-4.5%,2004,5.1%,1.5%
4,Opponent,82.0,19755,2613,6388,0.409,311,951,0.327,2302,5437,0.423,1372,1844,0.744,909,2459,3368,1419,1254,1837,6909,2004,635,380
5,Opponent/G,,240.9,31.9,77.9,0.409,3.8,11.6,0.327,28.1,66.3,0.423,16.7,22.5,0.744,11.1,30.0,41.1,17.3,15.3,22.4,84.3,2004,7.7,4.6
6,Lg Rank,,23,2,8,1.0,2,2,4.0,6,20,2.0,5,6,9.0,6,11,7,1,11,8,1,2004,11,6
7,Year/Year,,-0.4%,-8.7%,-4.7%,-0.018,-12.1%,-8.8%,-0.012,-8.2%,-3.9%,-0.02,2.8%,6.2%,-0.024,-11.7%,5.9%,0.5%,-9.0%,1.9%,-4.1%,-6.8%,2004,-4.5%,-10.0%
0,Team,82.0,19805,2923,6450,0.453,507,1395,0.363,2416,5055,0.478,1535,2120,0.724,987,2489,3476,1771,1126,1717,7888,2005,613,543
1,Team/G,,241.5,35.6,78.7,0.453,6.2,17.0,0.363,29.5,61.6,0.478,18.7,25.9,0.724,12.0,30.4,42.4,21.6,13.7,20.9,96.2,2005,7.5,6.6
2,Lg Rank,,17,19,21,10.0,12,13,8.0,20,23,8.0,23,16,26.0,15,11,12,14,8,5,18,2005,17,2
