,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
4,Opponent,82.0,19705,3558,7722,0.461,1611,2156,0.747,1183,2645,3828,2079,2137,8727,1976,729,319,1660,,,,,,
5,Opponent/G,,240.3,43.4,94.2,0.461,19.6,26.3,0.747,14.4,32.3,46.7,25.4,26.1,106.4,1976,8.9,3.9,20.2,,,,,,
6,Lg Rank,,17,16,14,11.0,9,9,8.0,11,4,6,17,5,15,1976,9,2,8,,,,,,
7,Year/Year,,-0.1%,-0.5%,-2.8%,0.011,6.5%,11.0%,-0.031,-8.6%,1.0%,-2.2%,-3.3%,5.3%,0.7%,1976,-0.1%,-16.7%,-0.6%,,,,,,
0,Team,82.0,19730,3366,7475,0.45,1880,2492,0.754,1213,2623,3836,1883,1842,8612,1977,683,392,1699,,,,,,
1,Team/G,,240.6,41.0,91.2,0.45,22.9,30.4,0.754,14.8,32.0,46.8,23.0,22.5,105.0,1977,8.3,4.8,20.7,,,,,,
2,Lg Rank,,15,19,15,17.0,5,5,10.0,15,12,12,17,1,14,1977,17,14,13,,,,,,
3,Year/Year,,0.1%,-3.3%,2.3%,-0.026,2.6%,5.2%,-0.02,21.1%,-3.5%,3.1%,-10.8%,-8.7%,-2.1%,1977,-5.1%,7.1%,-2.5%,,,,,,
4,Opponent,82.0,19730,3786,7917,0.478,1404,1859,0.755,1268,2721,3989,2192,2129,8976,1977,729,446,1607,,,,,,
5,Opponent/G,,240.6,46.2,96.5,0.478,17.1,22.7,0.755,15.5,33.2,48.6,26.7,26.0,109.5,1977,8.9,5.4,19.6,,,,,,
6,Lg Rank,,15,21,20,20.0,1,1,16.0,15,17,18,21,8,19,1977,8,16,16,,,,,,
7,Year/Year,,0.1%,6.4%,2.5%,0.017,-12.8%,-13.8%,0.008,7.2%,2.9%,4.2%,5.4%,-0.4%,2.9%,1977,0.0%,39.8%,-3.2%,,,,,,
0,Team,82.0,19805,3413,7323,0.466,1808,2314,0.781,1083,2538,3621,1975,2017,8634,1978,650,327,1575,,,,,,
1,Team/G,,241.5,41.6,89.3,0.466,22.0,28.2,0.781,13.2,31.0,44.2,24.1,24.6,105.3,1978,7.9,4.0,19.2,,,,,,
2,Lg Rank,,13,20,20,12.0,8,11,4.0,21,19,21,14,10,17,1978,21,19,5,,,,,,
3,Year/Year,,0.4%,1.4%,-2.0%,0.016,-3.8%,-7.1%,0.027,-10.7%,-3.2%,-5.6%,4.9%,9.5%,0.3%,1978,-4.8%,-16.6%,-7.3%,,,,,,
4,Opponent,82.0,19805,3623,7609,0.476,1695,2250,0.753,1178,2587,3765,2137,2003,8941,1978,722,375,1476,,,,,,
5,Opponent/G,,241.5,44.2,92.8,0.476,20.7,27.4,0.753,14.4,31.5,45.9,26.1,24.4,109.0,1978,8.8,4.6,18.0,,,,,,
6,Lg Rank,,13,13,8,18.0,9,10,11.0,6,9,7,17,15,11,1978,3,6,18,,,,,,
7,Year/Year,,0.4%,-4.3%,-3.9%,-0.002,20.7%,21.0%,-0.002,-7.1%,-4.9%,-5.6%,-2.5%,-5.9%,-0.4%,1978,-1.0%,-15.9%,-8.2%,,,,,,
0,Team,82.0,19730,3721,7706,0.483,1836,2471,0.743,1392,2413,3805,1539,2127,9278,1979,703,392,1623,,,,,,
1,Team/G,,240.6,45.4,94.0,0.483,22.4,30.1,0.743,17.0,29.4,46.4,18.8,25.9,113.1,1979,8.6,4.8,19.8,,,,,,
2,Lg Rank,,17,8,5,12.0,7,4,15.0,1,14,6,22,16,6,1979,14,16,12,,,,,,
3,Year/Year,,-0.4%,9.0%,5.2%,0.017,1.5%,6.8%,-0.038,28.5%,-4.9%,5.1%,-22.1%,5.5%,7.5%,1979,8.2%,19.9%,3.0%,,,,,,
4,Opponent,82.0,19730,3832,7801,0.491,1760,2295,0.767,1294,2322,3616,1896,2064,9424,1979,747,350,1517,,,,,,
5,Opponent/G,,240.6,46.7,95.1,0.491,21.5,28.0,0.767,15.8,28.3,44.1,23.1,25.2,114.9,1979,9.1,4.3,18.5,,,,,,
6,Lg Rank,,17,20,18,16.0,14,11,21.0,18,2,6,2,12,22,1979,12,1,18,,,,,,
7,Year/Year,,-0.4%,5.8%,2.5%,0.015,3.8%,2.0%,0.014,9.8%,-10.2%,-4.0%,-11.3%,3.0%,5.4%,1979,3.5%,-6.7%,2.8%,,,,,,
0,Team,82.0,19755,3524,7494,0.47,1595,2167,0.736,1294,2308,3602,1688,1896,8820,1980,664,288,1443,177.0,543.0,0.326,3347,6951,0.482
1,Team/G,,240.9,43.0,91.4,0.47,19.5,26.4,0.736,15.8,28.1,43.9,20.6,23.1,107.6,1980,8.1,3.5,17.6,2.2,6.6,0.326,40.8,84.8,0.482
2,Lg Rank,,20,15,11,17.0,17,15,22.0,9,20,17,22,6,16,1980,20,22,4,1.0,1.0,2.0,19,20,14.0
3,Year/Year,,0.1%,-5.3%,-2.8%,-0.013,-13.1%,-12.3%,-0.007,-7.0%,-4.4%,-5.3%,9.7%,-10.9%,-4.9%,1980,-5.5%,-26.5%,-11.1%,,,,-10.1%,-9.8%,-0.001
4,Opponent,82.0,19755,3752,7508,0.5,1613,2086,0.773,1222,2487,3709,2012,1889,9160,1980,764,408,1391,43.0,187.0,0.23,3709,7321,0.507
5,Opponent/G,,240.9,45.8,91.6,0.5,19.7,25.4,0.773,14.9,30.3,45.2,24.5,23.0,111.7,1980,9.3,5.0,17.0,0.5,2.3,0.23,45.2,89.3,0.507
6,Lg Rank,,20,19,14,20.0,3,2,20.0,11,14,13,6,17,16,1980,12,10,20,2.0,4.0,1.0,19,16,20.0
7,Year/Year,,0.1%,-2.1%,-3.8%,0.009,-8.4%,-9.1%,0.006,-5.6%,7.1%,2.6%,6.1%,-8.5%,-2.8%,1980,2.3%,16.6%,-8.3%,,,,-3.2%,-6.2%,0.015
0,Team,82.0,19730,3477,7283,0.477,1651,2246,0.735,1169,2144,3313,2098,2078,8737,1981,764,292,1407,132,407,0.324,3345,6876,0.486
1,Team/G,,240.6,42.4,88.8,0.477,20.1,27.4,0.735,14.3,26.1,40.4,25.6,25.3,106.5,1981,9.3,3.6,17.2,1.6,5.0,0.324,40.8,83.9,0.486
2,Lg Rank,,20,16,11,16.0,17,16,16.0,13,22,20,10,14,16,1981,9,22,2,1,1,1.0,18,18,15.0
3,Year/Year,,-0.1%,-1.3%,-2.8%,0.007,3.5%,3.6%,-0.001,-9.7%,-7.1%,-8.0%,24.3%,9.6%,-0.9%,1981,15.1%,1.4%,-2.5%,-25.4%,-25.0%,-0.002,-0.1%,-1.1%,0.005
4,Opponent,82.0,19730,3508,6951,0.505,1818,2433,0.747,1091,2377,3468,2097,2006,8867,1981,683,392,1553,33,153,0.216,3475,6798,0.511
5,Opponent/G,,240.6,42.8,84.8,0.505,22.2,29.7,0.747,13.3,29.0,42.3,25.6,24.5,108.1,1981,8.3,4.8,18.9,0.4,1.9,0.216,42.4,82.9,0.511
6,Lg Rank,,20,11,3,20.0,16,16,9.0,3,12,6,13,16,16,1981,3,8,11,6,8,6.0,11,3,21.0
7,Year/Year,,-0.1%,-6.5%,-7.4%,0.005,12.7%,16.6%,-0.026,-10.7%,-4.4%,-6.5%,4.2%,6.2%,-3.2%,1981,-10.6%,-3.9%,11.6%,-23.3%,-18.2%,-0.014,-6.3%,-7.1%,0.005
