,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
4,Opponent,81.0,19490,,,,,,,,,,,,9672,1967,,,,,,,,,
5,Opponent/G,,240.6,,,,,,,,,,,,119.4,1967,,,,,,,,,
6,Lg Rank,,9,,,,,,,,,,,,7,1967,,,,,,,,,
7,Year/Year,,-0.1%,,,,,,,,,,,,0.1%,1967,,,,,,,,,
0,Team,82.0,19880,3682,8070,0.456,2159,3042,0.71,,,5122,1967,2364,9523,1968,,,,,,,,,
1,Team/G,,242.4,44.9,98.4,0.456,26.3,37.1,0.71,,,62.5,24.0,28.8,116.1,1968,,,,,,,,,
2,Lg Rank,,1,7,9,4.0,8,6,10.0,,,11,6,11,8,1968,,,,,,,,,
3,Year/Year,,0.8%,0.0%,-0.7%,0.003,-0.9%,0.8%,-0.012,,,-2.3%,9.0%,10.7%,-0.2%,1968,,,,,,,,,
4,Opponent,82.0,19880,,,,,,,,,,,,9374,1968,,,,,,,,,
5,Opponent/G,,242.4,,,,,,,,,,,,114.3,1968,,,,,,,,,
6,Lg Rank,,1,,,,,,,,,,,,5,1968,,,,,,,,,
7,Year/Year,,0.8%,,,,,,,,,,,,-4.3%,1968,,,,,,,,,
0,Team,82.0,19730,3588,7813,0.459,1911,2596,0.736,,,4246,2071,2175,9087,1969,,,,,,,,,
1,Team/G,,240.6,43.8,95.3,0.459,23.3,31.7,0.736,,,51.8,25.3,26.5,110.8,1969,,,,,,,,,
2,Lg Rank,,12,6,12,4.0,13,13,3.0,,,14,1,12,11,1969,,,,,,,,,
3,Year/Year,,-0.8%,-2.6%,-3.2%,0.003,-11.5%,-14.7%,0.026,,,-17.1%,5.3%,-8.0%,-4.6%,1969,,,,,,,,,
4,Opponent,82.0,19730,,,,,,,,,,,,8616,1969,,,,,,,,,
5,Opponent/G,,240.6,,,,,,,,,,,,105.1,1969,,,,,,,,,
6,Lg Rank,,12,,,,,,,,,,,,1,1969,,,,,,,,,
7,Year/Year,,-0.8%,,,,,,,,,,,,-8.1%,1969,,,,,,,,,
0,Team,82.0,19730,3803,7975,0.477,1821,2484,0.733,,,4006,2135,2016,9427,1970,,,,,,,,,
1,Team/G,,240.6,46.4,97.3,0.477,22.2,30.3,0.733,,,48.9,26.0,24.6,115.0,1970,,,,,,,,,
2,Lg Rank,,14,6,10,3.0,14,14,12.0,,,13,4,6,9,1970,,,,,,,,,
3,Year/Year,,0.0%,6.0%,2.1%,0.018,-4.7%,-4.3%,-0.003,,,-5.7%,3.1%,-7.3%,3.7%,1970,,,,,,,,,
4,Opponent,82.0,19730,,,,,,,,,,,,8682,1970,,,,,,,,,
5,Opponent/G,,240.6,,,,,,,,,,,,105.9,1970,,,,,,,,,
6,Lg Rank,,14,,,,,,,,,,,,1,1970,,,,,,,,,
7,Year/Year,,0.0%,,,,,,,,,,,,0.8%,1970,,,,,,,,,
0,Team,82.0,19755,3633,8076,0.45,1760,2377,0.74,,,4075,1779,1916,9026,1971,,,,,,,,,
1,Team/G,,240.9,44.3,98.5,0.45,21.5,29.0,0.74,,,49.7,21.7,23.4,110.1,1971,,,,,,,,,
2,Lg Rank,,8,8,6,7.0,17,17,13.0,,,15,15,5,14,1971,,,,,,,,,
3,Year/Year,,0.1%,-4.5%,1.3%,-0.027,-3.3%,-4.3%,0.007,,,1.7%,-16.7%,-5.0%,-4.3%,1971,,,,,,,,,
4,Opponent,82.0,19755,3343,7752,0.431,1928,2565,0.752,,,4591,1509,1889,8614,1971,,,,,,,,,
5,Opponent/G,,240.9,40.8,94.5,0.431,23.5,31.3,0.752,,,56.0,18.4,23.0,105.0,1971,,,,,,,,,
6,Lg Rank,,8,1,5,3.0,7,6,14.0,,,15,1,15,1,1971,,,,,,,,,
7,Year/Year,,0.1%,,,,,,,,,,,,-0.8%,1971,,,,,,,,,
0,Team,82.0,19805,3521,7673,0.459,1743,2303,0.757,,,3909,1985,1899,8785,1972,,,,,,,,,
1,Team/G,,241.5,42.9,93.6,0.459,21.3,28.1,0.757,,,47.7,24.2,23.2,107.1,1972,,,,,,,,,
2,Lg Rank,,2,8,11,6.0,16,16,6.0,,,16,8,7,13,1972,,,,,,,,,
3,Year/Year,,0.3%,-3.1%,-5.0%,0.009,-1.0%,-3.1%,0.016,,,-4.1%,11.6%,-0.9%,-2.7%,1972,,,,,,,,,
4,Opponent,82.0,19805,3332,7513,0.443,1920,2565,0.749,,,4169,1626,1892,8584,1972,,,,,,,,,
5,Opponent/G,,241.5,40.6,91.6,0.443,23.4,31.3,0.749,,,50.8,19.8,23.1,104.7,1972,,,,,,,,,
6,Lg Rank,,2,2,2,4.0,9,9,10.0,,,6,1,13,3,1972,,,,,,,,,
7,Year/Year,,0.3%,-0.3%,-3.1%,0.012,-0.4%,0.0%,-0.003,,,-9.2%,7.8%,0.2%,-0.3%,1972,,,,,,,,,
0,Team,82.0,19730,3627,7764,0.467,1356,1739,0.78,,,3882,2187,1775,8610,1973,,,,,,,,,
