Player,Salary,Year
Dan Gadzuric,"$6,250,195 ",2009
Damon Jones,"$4,460,186 ",2009
Charlie Villanueva,"$3,448,050 ",2009
Charlie Bell,"$3,354,480 ",2009
Keith Bogans,"$2,565,000 ",2009
Joe Alexander,"$2,403,120 ",2009
Adrian Griffin,"$1,711,000 ",2009
Francisco Elson,"$1,700,000 ",2009
Malik Allen,"$1,300,000 ",2009
Luc Mbah a Moute,"$757,000 ",2009
Ramon Sessions,"$722,517 ",2009
Austin Croshere,"$527,185 ",2009
Eddie Gill,"$387,613 ",2009
Michael Redd,"$17,040,000 ",2010
Andrew Bogut,"$10,000,000 ",2010
Dan Gadzuric,"$6,749,260 ",2010
Luke Ridnour,"$6,500,000 ",2010
John Salmons,"$5,456,000 ",2010
Kurt Thomas,"$3,800,000 ",2010
Charlie Bell,"$3,596,000 ",2010
Carlos Delfino,"$3,500,000 ",2010
Brandon Jennings,"$2,168,520 ",2010
Ersan Ilyasova,"$2,100,000 ",2010
Bruce Bowen,"$2,000,000 ",2010
Primoz Brezec,"$1,107,572 ",2010
Royal Ivey,"$1,050,000 ",2010
Luc Mbah a Moute,"$736,420 ",2010
Jerry Stackhouse,"$668,598 ",2010
Roko Ukic,"$303,232 ",2010
Michael Redd,"$18,300,000 ",2011
Andrew Bogut,"$11,000,000 ",2011
Corey Maggette,"$9,600,000 ",2011
John Salmons,"$8,000,000 ",2011
Drew Gooden,"$5,760,000 ",2011
Carlos Delfino,"$3,500,000 ",2011
Brandon Jennings,"$2,331,120 ",2011
Ersan Ilyasova,"$2,320,500 ",2011
Keyon Dooling,"$2,000,000 ",2011
Larry Sanders,"$1,731,960 ",2011
Earl Boykins,"$1,352,181 ",2011
Jon Brockman,"$1,000,000 ",2011
Chris Douglas-Roberts,"$854,389 ",2011
Luc Mbah a Moute,"$854,389 ",2011
Brian Skinner,"$270,436 ",2011
Darington Hobson,"$103,078 ",2011
Garrett Temple,"$98,637 ",2011
Andrew Bogut,"$12,000,000 ",2012
Stephen Jackson,"$9,256,500 ",2012
Beno Udrih,"$6,925,400 ",2012
Drew Gooden,"$6,226,200 ",2012
Luc Mbah a Moute,"$5,000,000 ",2012
Mike Dunleavy,"$3,750,000 ",2012
Carlos Delfino,"$3,500,000 ",2012
Shaun Livingston,"$3,500,000 ",2012
Ersan Ilyasova,"$2,541,000 ",2012
Brandon Jennings,"$2,493,720 ",2012
Larry Sanders,"$1,861,920 ",2012
Tobias Harris,"$1,418,160 ",2012
Jon Brockman,"$1,000,000 ",2012
Jon Leuer,"$473,604 ",2012
Darington Hobson,"$245,884 ",2012
Monta Ellis,"$11,000,000 ",2013
Ersan Ilyasova,"$7,900,000 ",2013
Samuel Dalembert,"$6,698,565 ",2013
Drew Gooden,"$6,687,400 ",2013
J.J. Redick,"$6,190,000 ",2013
Luc Mbah a Moute,"$4,795,192 ",2013
Mike Dunleavy,"$3,750,000 ",2013
Ekpe Udoh,"$3,524,880 ",2013
Brandon Jennings,"$3,179,493 ",2013
Larry Sanders,"$1,991,760 ",2013
John Henson,"$1,823,280 ",2013
Gustavo Ayon,"$1,500,000 ",2013
Joel Przybilla,"$1,352,181 ",2013
Marquis Daniels,"$1,229,255 ",2013
Ishmael Smith,"$854,389 ",2013
O.J. Mayo,"$8,000,000 ",2014
Ersan Ilyasova,"$7,900,000 ",2014
Zaza Pachulia,"$5,200,000 ",2014
Ekpe Udoh,"$4,469,548 ",2014
Luke Ridnour,"$4,320,000 ",2014
Carlos Delfino,"$3,250,000 ",2014
Gary Neal,"$3,250,000 ",2014
Larry Sanders,"$3,053,368 ",2014
Brandon Knight,"$2,793,960 ",2014
John Henson,"$1,905,360 ",2014
Giannis Antetokounmpo,"$1,792,560 ",2014
Viacheslav Kravtsov,"$1,500,000 ",2014
Ishmael Smith,"$951,463 ",2014
Khris Middleton,"$788,872 ",2014
Nate Wolters,"$500,000 ",2014
Larry Sanders,"$11,000,000 ",2015
O.J. Mayo,"$8,000,000 ",2015
Drew Gooden,"$6,680,000 ",2015
Zaza Pachulia,"$5,200,000 ",2015
Jabari Parker,"$4,930,560 ",2015
Caron Butler,"$4,500,000 ",2015
Jared Dudley,"$4,250,000 ",2015
Jerryd Bayless,"$3,000,000 ",2015
Michael Carter-Williams,"$2,300,040 ",2015
John Henson,"$1,987,320 ",2015
Giannis Antetokounmpo,"$1,873,200 ",2015
Tyler Ennis,"$1,590,720 ",2015
Shawne Williams,"$1,227,985 ",2015
Miles Plumlee,"$1,169,880 ",2015
Khris Middleton,"$915,243 ",2015
