,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
1,Team/G,,242.1,43.4,88.8,0.489,1.9,5.4,0.343,41.6,83.4,0.498,22.5,28.3,0.793,13.4,28.6,42.0,26.2,7.0,4.1,14.4,21.9,111.2,1985
2,Lg Rank,,2,11,12,13.0,1,1,2.0,16,19,12.0,13,14,3.0,17,15,19,13,22,20,1,2,10,1985
3,Year/Year,,-0.5%,-1.6%,0.6%,-0.011,261.9%,140.8%,0.115,-4.7%,-3.0%,-0.009,3.9%,-1.1%,0.039,0.5%,3.5%,2.5%,-0.6%,-0.7%,-6.9%,-9.1%,-5.8%,0.7%,1985
4,Opponent,82.0,19855,3626,7200,0.504,98,318,0.308,3528,6882,0.513,1588,2080,0.763,1062,2470,3532,2113,572,430,1340,2066,8938,1985
5,Opponent/G,,242.1,44.2,87.8,0.504,1.2,3.9,0.308,43.0,83.9,0.513,19.4,25.4,0.763,13.0,30.1,43.1,25.8,7.0,5.2,16.3,25.2,109.0,1985
6,Lg Rank,,2,13,8,20.0,23,23,18.0,12,5,20.0,2,2,11.0,1,17,12,9,1,12,20,11,7,1985
7,Year/Year,,-0.5%,-0.2%,-1.1%,0.005,55.6%,43.2%,0.024,-1.2%,-2.5%,0.007,-5.9%,-5.4%,-0.005,-10.0%,5.3%,0.2%,-0.8%,-9.5%,3.1%,-3.3%,-6.6%,-0.9%,1985
0,Team,82.0,19805,3631,7254,0.501,141,446,0.316,3490,6808,0.513,2050,2643,0.776,1059,2454,3513,2108,605,369,1289,1733,9453,1986
1,Team/G,,241.5,44.3,88.5,0.501,1.7,5.4,0.316,42.6,83.0,0.513,25.0,32.2,0.776,12.9,29.9,42.8,25.7,7.4,4.5,15.7,21.1,115.3,1986
2,Lg Rank,,8,7,10,5.0,1,1,6.0,11,20,4.0,5,8,7.0,21,8,15,14,22,17,1,1,2,1986
3,Year/Year,,-0.3%,2.0%,-0.4%,0.012,-7.2%,0.7%,-0.027,2.4%,-0.4%,0.014,11.2%,13.7%,-0.018,-3.3%,4.6%,2.1%,-2.0%,5.2%,10.1%,8.9%,-3.5%,3.7%,1986
4,Opponent,82.0,19805,3864,7689,0.503,90,311,0.289,3774,7378,0.512,1545,2049,0.754,1219,2469,3688,2381,617,423,1279,2196,9363,1986
5,Opponent/G,,241.5,47.1,93.8,0.503,1.1,3.8,0.289,46.0,90.0,0.512,18.8,25.0,0.754,14.9,30.1,45.0,29.0,7.5,5.2,15.6,26.8,114.2,1986
6,Lg Rank,,8,23,23,20.0,20,20,13.0,21,23,21.0,1,2,8.0,20,15,16,22,1,9,22,4,21,1986
7,Year/Year,,-0.3%,6.6%,6.8%,-0.001,-8.2%,-2.2%,-0.019,7.0%,7.2%,-0.001,-2.7%,-1.5%,-0.009,14.8%,-0.0%,4.4%,12.7%,7.9%,-1.6%,-4.6%,6.3%,4.8%,1986
0,Team,82.0,19880,3594,7373,0.487,231,653,0.354,3363,6720,0.5,2148,2717,0.791,1219,2494,3713,2017,688,424,1205,1873,9567,1987
1,Team/G,,242.4,43.8,89.9,0.487,2.8,8.0,0.354,41.0,82.0,0.5,26.2,33.1,0.791,14.9,30.4,45.3,24.6,8.4,5.2,14.7,22.8,116.7,1987
2,Lg Rank,,3,5,8,7.0,1,1,3.0,12,17,6.0,2,2,3.0,11,4,5,17,16,13,1,6,4,1987
3,Year/Year,,0.4%,-1.0%,1.6%,-0.013,63.8%,46.4%,0.038,-3.6%,-1.3%,-0.012,4.8%,2.8%,0.015,15.1%,1.6%,5.7%,-4.3%,13.7%,14.9%,-6.5%,8.1%,1.2%,1987
4,Opponent,82.0,19880,3586,7503,0.478,128,434,0.295,3458,7069,0.489,1750,2293,0.763,1254,2386,3640,2304,571,421,1332,2136,9050,1987
5,Opponent/G,,242.4,43.7,91.5,0.478,1.6,5.3,0.295,42.2,86.2,0.489,21.3,28.0,0.763,15.3,29.1,44.4,28.1,7.0,5.1,16.2,26.0,110.4,1987
6,Lg Rank,,3,16,21,10.0,19,21,11.0,15,17,12.0,7,7,13.0,18,13,14,21,2,7,18,3,14,1987
7,Year/Year,,0.4%,-7.2%,-2.4%,-0.025,42.2%,39.5%,0.006,-8.4%,-4.2%,-0.022,13.3%,11.9%,0.009,2.9%,-3.4%,-1.3%,-3.2%,-7.5%,-0.5%,4.1%,-2.7%,-3.3%,1987
0,Team,82.0,19755,3413,7191,0.475,154,526,0.293,3259,6665,0.489,1980,2510,0.789,1341,2495,3836,1984,645,446,1257,1734,8960,1988
1,Team/G,,240.9,41.6,87.7,0.475,1.9,6.4,0.293,39.7,81.3,0.489,24.1,30.6,0.789,16.4,30.4,46.8,24.2,7.9,5.4,15.3,21.1,109.3,1988
2,Lg Rank,,18,16,11,14.0,6,5,17.0,17,17,12.0,3,4,4.0,1,3,1,17,18,12,3,2,7,1988
3,Year/Year,,-0.6%,-5.0%,-2.5%,-0.013,-33.3%,-19.4%,-0.061,-3.1%,-0.8%,-0.011,-7.8%,-7.6%,-0.002,10.0%,0.0%,3.3%,-1.6%,-6.3%,5.2%,4.3%,-7.4%,-6.3%,1988
4,Opponent,82.0,19755,3468,7385,0.47,167,517,0.323,3301,6868,0.481,1499,1957,0.766,1200,2233,3433,2240,612,436,1228,1997,8602,1988
